Sentence,Label
I like Richards update as well :) What I did was out of pure anger so it may not have been the sexiest.,1
do you have access to Visual Studio Team Edition for Testers?,0
"You shoud use login.done() , not login.success() :) Success is used inside the ajax() funciton only! The success object function is deprecated, you can set success only as Ajax() param! And there is no need to Parse the data because its in Json format already!",0
"I'm not a big fan of globals, so if we can avoid this I'd like to.",-1
"rev-parse --short=12 HEAD also consider:  $(shell git status --porcelain && echo ""-dirty"")",-1
I think I'd rather have a CL option so it can still raise an error if you think (say) just one node is down but a second goes offline briefly as you run the loader.  But --skip-dead-nodes would also be reasonable.,0
Josh from card.io here. We've actually taken considerable pains to get the SDK to be as small as it is! The card.io SDK does a significant amount of non-trivial client-side work and the resources required to do that have already been shrunk as far as we feel currently possible without negatively impacting usability.,0
"I'm not a particularly big fan of this exception handler here. It's a test app server; if it blows up, let it blow up my test with the real exception. Then I can at least see what mistake I made.",-1
"I only have one important piece of advice - make absolutely sure you can revert back to the state before you started the refactor without losing anything. Then just dive in and go for it. You may well end up having to stop and start again, but that's nothing to be afraid of (as long as you heeded my one piece of advice). You'll learn a lot doing it.",0
snakeoil is all one word.  also chuck this sucker into cros_build_lib; wrapper and others could make use of it now.,-1
"strange error. One of which i cannot find any existing resources to solve the issue. The issue is, when using I get pointed to a folder at ""C:\Program Files (x86)\Common Files\Microsoft Shared\DevServer\10.0"". Naturally, this breaks everything which depends on the correct folder (the one my solution is actually in) being given. What is more strange is that there exists a unit-test to make sure that this path at least has the correct root folder and sometimes it will pass and will be working as expected, and then the very next debug, will point to the aforementioned folder again. Very confusing and very annoying ! Any ideas ?",-1
"This is done now. The regex will now not be applied on some invalid versions where it was before. Some types of invalid versions will still match the regex, though that is outside of the concerns of this function. It is not a version number validator after all.",0
How about patch 2?,0
And `NaN ==== NaN` will make you even angrier (syntax errors always do!),0
"one is could be provided, isn't it?",0
I'm pretty new to Angular but loving it! I am trying to create a modal dialog to display a partial view. ui.bootstap.modal has an option which takes the URL to the partial view to be displayed. I have a route configured on my application module that looks like this: I would like to show the partial template defined as from the above routes. So in my controller I'm attempting to open the modal dialog like so: The modal dialog opens but the contents are just . Do I need to define the route on the server side or can I use Angular routing to return the partial? Thanks!,1
I stumbled upon this site and really loved the way they have done the navigation on the left hand site. I noticed that site is using jquery but didnt see any plugins. Any ideas on how to go about doing this?,1
Is there any way to quickly jump to a scene in a storyboard? I have about 30 different scenes/view controllers and it has become incredibly tedious to locate the view controller I'm trying to edit.,-1
"Is there any way I can modify the URL of the current page without reloading the page? I would like to access the portion before the # hash if possible. I only need to change the portion after the domain, so its not like I'm violating cross-domain policies.",0
"Assuming I have only the class name of a generic as a string in the form of ""MyCustomGenericCollection(of MyCustomObjectClass)"" and don't know the assembly it comes from, what is the easiest way to create an instance of that object? If it helps, I know that the class implements IMyCustomInterface and is from an assembly loaded into the current AppDomain. Markus Olsson gave an excellent example , but I don't see how to apply it to generics.",0
"This is weird. Why are you adding another command line parameter to ART?I think it would be easier to read the property, test whether it is 1, and then call addOption(""-Xjit"").",-1
"For example, the following works great.",1
Web API is bundled with MVC 4. It can be used separately and in combination with MVC. There are some rough edges around the integration but nothing very painful.,0
The problem is that you wrote.,-1
"I attached our resolvers, sadly we have no file system resolvers, because our repository is hosted on a central server.",0
littlenikki tracks sometimes freezes or skips for some reason!,-1
"leppie, those are great news! I am looking forward to try out IronScheme!",1
"By clever, I mean NOT TO upload once again the files that has been already uploaded (with the same dates, size or checksum...). It would be great, because the Publish method takes a lot of time!",1
cricle and fill that with red.,0
"I noticed in another doc 'versions container' being referenced as 'archive container'. We should come up with a common terminology.I'm not a big fan of versions and versioned container just because they are easy to confuse. Is 'archive' better?? What is typically used in the industry? Are there any UX experts?",-1
"I am not familiar with the instance manager, but I have used on several systems (including a remotely hosted server) with great success. It supports MySQL 5.0 and 4.1.",1
Are we doing this because sysinfo was horrible? That has recently been updated by Dan and it will now start collecting on the logs that _changed_ during each test run.,-1
"Thanks, Jarcec!",1
"As part of GC, first minor GC is triggered.",0
I've used BeautifulSoup for such things in the past with great success.,1
Wow that's a very interesting question! I'm not exactly a pro at 16-bit C++ so I wonder why do you swap stacks at all?,1
cuz im a impatient bastard and it means it comes online faster :),-1
"damn, sorry, I'm a bit confused now, why I thought, that this is the deletion side :D Sorry :)",-1
"Hi Eli, didn't realize you were going to look at TestDatanodeBlockScanner too.  I did extensive mods to it as part of HDFS-1295.  Let's take a look and compare.",0
should the following be true?,0
"...that was supposed to be 5 minutes, but I'm an idiot.",-1
"You need to make the following changes to your code: However keep in mind that this is extremely vulnerable to SQL injection, and you should also swap MySQL for PDO/MySQLi immediately if you plan to use this code on a live website.",0
"Oops, stupid habit :)",-1
"I'm developing an OSX application () that runs with LSUIElement set (system menu only - no tray icon, doesn't appear in cmd-tab). It works totally fine, but someone just pointed out that it has a blank process name in the Activity Monitor listing. Just says nothing. Everything else in there has a name. Even other apps running at LSUIElement. I've tried to search around the web, but I can't spot anyone talking about this. What on earth should I be looking for?",-1
Dupe of HIVE-3869,0
# filter.filterRow() is called *after* filterKeyValue in the normal flow of things.,0
) - it should be in AJDT in a couple of days.,0
"Thanks for the patch Niall, +1",1
"Firebug is an excellent tool to to show a screen media CSS for some HTML element, but is there a way to look at the print media CSS too? Or is there any other tool to see the print media CSS?",1
"This is the way how we exclude ntp-dev as it is buggy, but provides ntp. Otherwise it will be pulled instead of stable one. We will remove this string after we merge the fixes and rebuild mirrors.",-1
"Yes, you can do it nicely using Andy Khan's JExcel library.",0
Closing all resolved tickets from 2010 or older,0
"I was originally suggesting you might sacrifice speed with the caches for RAM - but, its always best to use the best settings and have the necessary RAM.",0
Is this sort of thing possible:,0
"From the stack trace you can see I put this on the wrong line, oops.",0
"It depends on your OS, CPU, Compiler, and possibly other factors. In general it means the CPU bus could not complete a command, or suffered a conflict, but that could mean a whole range of things depending on the environment and code being run.",0
Lets fix this post rampart-1.3,0
"I understand you point. But please consider the flow of QosPolicy create() in case the RBAC is a inherited mixin. In order for RBAC logic to kick in, QosPolicy.create() still needs to call the RBACMixin logic, and pass it the shared flag.Same goes to get_by_id() and update(). I'd really appreciate  some guidance here on the code organization from your perspective.",1
"@Aggieboy that's really sad, and I have to hand-code stuff .",-1
"Let's assume I'm an idiot (shouldn't be hard), what if I'm using Neutron (recognize this is likely a section wide issue).",-1
@AndrewLazarus - Excellent point!!,1
I think this fits better as an overload in UnloggedFailure?,0
I feel like there should be some way of doing this with the FILE_NAME but I can't figure out a way to use it to get properties from an entity.,0
In that agent I can get an inputstream on the font file using this code.,0
I don't think it's a matter of which language is better. In the .NET world there are some inconsistencies between the libraries different languages provide. There are certain functionality that is available in VB.NET that you might like to use from C# but can't. I remember I had to use J# to use some ZIP libraries that were not available in any other language in .NET.,0
Which methods we talking about here?,0
"is in so u need not to worry! Internally the data is always stored as TEXT, so even if you create table with , SQLite is going to follow the rules of data type",1
"I have full control of the deployment enviroment, it's an internal intranet application. Office interop/autmation is horrible, and while the documents are generated by C#, we use Aspose.Words. I can accept using interop.automation for printing, going to give it a try.",-1
Thanks Avi!,1
"The 0x1A byte is a terrible, painful [source of agony](http://stackoverflow.com/questions/12483711/serialdata-eof-circumstances).",-1
"However, if the implementation of next is not capable of handling bad records, then it is most likely going to throw an exception, and, the proposal in this jira for handling bad input starts with that assumption.",0
"I'm trying to bake my controllers but I keep getting the following error: It's making me frightfully sad, has anyone ever come across this?",-1
I've been tackling the same issue. It's a pain!,-1
It is extremely unreliable and if there are constant builds going you never know the actual build is broke.,-1
"Pull request available here:https://github.com/SpringSource/spring-roo/pull/8The changes are minor.",0
Specifically for bower there looks to be a good maven plugin here.,1
"Could we have a single definition of such constants? :-)Perhaps some org.ovirt.engine.ui.uicommonweb.StringConstants class?",1
Does anyone know how to add an item to a list but do it so it's ordered alphabetically using jQuery? I've got the following code that just adds an item from a dropdown to the end of the list: but I'd like to be able to insert it in its appropriate place instead of just appending to the end of the existing list. Any help is greatly appreciated! Thanks!,1
are any changes needed to dd2spring for this?,0
it's not a merge setting and I think it's rather confusing today since we take the merge setting and use it for indexing.,0
"this should be called with client list lock held, instead of osc lock.",0
Here are my thoughts about how it can be approached.,0
Have you considered named parameters?,0
"Yep, I should wrap this in a try/except.Yeah, I wasn't a big fan either so I'll move it here.",-1
You could also use property for this:,0
path/to/build/dir/libtool --mode=execute gdb path/to/executable. I think libtool is an effective and terrible solution.,0
I read following codes in Why reverse the latin-1 to utf8 using above logic?,0
"We are using this pattern ""${ivy.dir.pattern}/[revision]/[artifact].",0
"If you would like to take up this work, that'd be great.",1
Does this really work for floating point too? I believe the * -1 was there to make sure that things like 0 becoming negative 0 worked. Please check.,0
"At some moments it could be upgraded to do IDEA 8 format, but it's not important for now.",0
I don't like either style. Don't like c here. I can change it if it helps to get this pulled.,-1
"I see what you mean, but especially if one of these tests start to fail, it's going to be a nightmare to debug unless the right assertXXXX are used. I don't think it'd be a problem to change that. :)",-1
"I don't think the name Sockaddr is a good choice here, since it means something very different in the C world.  What do you think of SocketConnAddr instead?",-1
Try but short answer is,0
Here it's the function that parses the json.,0
"I'm very, very keen on preserving backwards compatibility.",0
"Henry, you do need an instance of QCM to get the listener, but you don't need the listener because you're using LE. I'm uploading a patch in which I have commented out some lines of the new test you wrote. This is how I think it should look like. If you agree, please remove those lines and submit a new patch.Note that I have also changed the leader election parameter in the new instance of QuorumPeer in mockServer to 0.",0
I'm having trouble setting the default character set of my JVM . (and was a bit afraid of messing it up!),-1
I have a column containing the strings 'Operator (1)' and so on until 'Operator (600)' so far. I want to get them numerically ordered and I've come up with which is very very ugly. Better suggestions?,-1
"Would you happen to have another column in your table where you can group them as ""1 2 3 4"" , ""1 2 3 4"", etc?It would look something like this:1st column | second columnA | 1B | 1C | 1D | 1A | 2B | 2C | 2D | 2If you order it by 2nd column, it will return 1 1 1 1 2 2 2 2. But since you have another column, you can do order by 1st column, 2nd column, and it will be 1 2 1 2 1 2 1 2.This ia ofcourse assuming that you have a field like 1st column. But given that you're looking at having them order like 1 2 3 4 1 2 3 4, there must be something in your other fields that can help you achieved that Hope this helps!",1
"Awesome, I missed that function I guess :)  Done",1
"adding --rsyncable to our build system, does not seem to be a big task, I am experimenting with it.",0
"Thanks, Vijay.",0
In what context are you asking this question? Database type?,0
Is any function or api available to intercept addCookie ( ) so that the cookies set by the servlet will be encrypted using servlet filters.,0
-1 to jar hell.,-1
"Committed to branch and trunk, thanks for the review Stack.",1
[info] Line matches the illegal pattern 'check that a space is left after a colon on an assembled error message'.,0
Please prepare patch for trunk.,0
"There are still several rows for the distinct blocks and up to one separate row with no related block element, so we still need the gorup by clause",0
because it is terribly difficult to get right. But I mention `boost::iterator_facade`.,-1
"That this was removed is clearly wrong, and seems to be the cause for the test which hang. It doesn't always hang but sometimes. For more details: http://redmine.gromacs.org/boards/6/topics/261?r=266",-1
Thanks,0
"Hi Nick,Can you please re-create this patch as I can't get the code to compile?  For starters, I can't get the class AttributeImplItem to compile.  Please use the latest trunk when doing soThanks.-- George",1
"For coreboot, maybe you could insert:   assert(OpFlag == AccessWidth8);before the ""if"" to ensure that coreboot users aren't tripped up.  I'm the first guy to discourage unnecessary changes to vendorcode, but this code is broken and we should somehow warn users about it.  It would be even better if we could make the code fail by static analysis instead of a runtime assert.",1
"In my case sometimes begins work after ""Source Control/Update"". Actually, its terrible bug, you have no guarantees that you see actual list!!!",-1
I am in the middle of reviewing both of these patches and noticed that they are related and won't mix well.,0
"{code}//Namesystem.javapublic boolean isInSnapshot(BlockInfoUnderConstruction block);{code}In the implementation in FSNamesystem, it should try-catch the UnresolvedLinkException and log it as an error since the full path obtained from a file should not have unresolved link.",0
I am ok with this. Curious to see if jeblair is cool with it. In general though not a big fan of the DNS related facter facts as facter seems to get them wrong in common corner cases.,-1
"Hi I have designed a query that returns a set of data such as: What I want to do in SQL Reporting Services is to display data in a grid fashion. Such as For the dataset I provide. I want it to auto page break when needed, etc. Is there anything built in that I can use? Any recommendations on how to do this is greatly appreicated! Thanks.",1
did you checked that this change is not breaks other tests?,0
"Holy complicated-as-shit-algorithm, Batman!The complexity of our implementation vs the complexity of what we're actually doing is starting to worry me here.",-1
[error] Wrong order for 'com.google.gwt.dev.javac.asmbridge.EmptyVisitor' import.,0
I'll suppose that field() is a function that you've created to get a single field according to some conditions how about this code?: i'd be really amazed if this code is not working correctly Good Luck!,1
"This way, you can create new readers for any filetype dynamically.",0
"This indicates the Standard inetorgperson schema under the standard ou=schema.This also shows the cn=institutesinetorgperson schema which is the custom schema",0
"Crap, forgot to verify that this is inconsistant with MRI, it's not.",-1
"Aaron, sorry about this.",-1
Consider using Ragel That's what powers mongrel under the hood. Parsing a string multiple times is going to slow things down dramatically.,0
"that's not a maintainable solution. most modern code metrics (readability, simplicity, maintainability) would conclude it's a terrible solution.",-1
"Is this called from the outside? If not, it could be made static...",0
"I really dislike modifying unrelated code. (All around.) All this is going to give us is merge conflicts. You're not even consistent, you left ""$(this)"" unchanged.",-1
"I want to catch all URL's in the root folder of the url www.example.com The url cannot end in a trailing slash, and can't contain any slashes at all. so these should pass: www.example.com/abc www.example.com/abc123-asdf www.example.com/abc123/ ** fail! www.example.com/asdfsd/asdf ** FAIL!",-1
No prob. Good luck!,1
I tend to doubt there's anything we can do about this if the problem is at a lower level.,0
"Since this script will go in ITK's tree and not the hooks, it should be licensed as the rest of ITK (which will soon be Apache but is not yet AFAIK).  Besides, the rest of the Apache license infrastructure (LICENSE and NOTICE) is not present yet.  Also, we should assign the copyright to the Insight Software Consortium for code going in ITK proper.",0
TODO: throw a shit fit if we see duplicate column names.,-1
I've always really loved slice assignment:,1
etc.,0
___ Yours was very good AND FAST!! thanks for the response ___,1
"As title, basically I have a user control placed inside a page and then the page is placed inside the master page. I want to extract a block of javascript and put it back to the page head. When I try to wrap the code inside any block control (e.g. a div runat server) and access divID.InnerText then ASP.NET bust off with I dont want to extract JS inside cs file, thats awfully ugly approach (all sort of escapes and people wont even notice you have JS written unless they drill your CS file), what can I do?",-1
Excellent! I'll add it as an answer so you can close the question properly. Glad I could help.,1
"The true  usages are found in calls to executeSubstatement now.",0
"I don't however see that it follows that we should provide implementations of file formats with a large number of different serialization systems, as that invites multiplicative long-term support issues.",0
"edit: Okay, pylint just told me that I'm an idiot and that you meant the error() function in argparse instead.",-1
I'm very sorry.,-1
Evil! Evil incarnate!,-1
"I am making an isometric game on the iPhone, and need a little help. What is the best way to go about calculating the path a object must take if it is thrown from one tile to another? I've been looking into using NSBezierPaths, but can't quite work out how to use them for the objects path? Any help would be greatly appreciated!",1
I took care of this already.,0
"I have imported video FLV Player(with no skin) in layer(flv1) The flv Player instance name is ""myflvplayer1"" Actions: Frame 1 Till frame 142 there's animation playing, after that: (so here video start to play in full screen) Now when this video finishes I want it to Jump to frame label ""main"" Where I have put many navigation buttons (My main menu page) So any help will be very great.! This is DVD based presentation, so everything is being loaded Local.",1
"Um sorry, i thought this ticket was about something else - patch attached, David would you give a try?",-1
Shouldn't that be on Superuser?,0
"OK, this solution sucks, and since people are relying on these scripts instead of using tools like ant, we need to give them the ability to upgrade these tools without having to create a new project.",0
This file demonstrates the problem described in this bug.,0
"I'm trying to create a small snippet to allow the onloaded image to be adjusted to fit the users resolution. And then allow the user to toggle between the actual image size, and the adjusted image size for their resolution. Here's what I got so far: Any help is greatly appreciated!",1
of course!,0
"I have just a quick question: Are files created before they are finished, or are they finished and then created?",0
Where the extra parameter CODE_FRAGMENT is to enable the append mode.,0
"Does time_sec_to_str ""format"" the field better than an FT_UINT16?  Or does it just add an ""s"" to the value (which you may want to keep for consistency).",0
"I'm not a big fan of this v2 stuff. It's certainly the least interesting part of the commit message, so if you do include it, put it at the end of the commit message before the Signed-off-by",-1
Fixed in revision 903352. The change should get published in a few hours.,0
Not a big fan of this.  Had to put this one first because of MRO.,-1
I don't understand why all the answers assume Rails. Is that indicated in the question?,0
Long line. Either break into multiple lines or add a static import.,0
Untar this to populate the position_hints table.,0
"In VS 2008, there are XML code snippets that seem to be pretty awesome :) However, it seems that the snippets we created do not indent properly. For example if we have the following code: We get something like: Is there any way to make it so that all lines keep the same indentation?",1
Pat and myself are taking a look at it .,0
"I'm apologize for saying this, but the code you've posted is simply awful and needs desperate refactoring. Create a class to represent 7 properties instead of 7 parallel arraylists, and use String.split to parse a comma-seperated list.",-1
Sounds reasonable.,0
"The problem is exact what mysql is telling you : you have too much data for one table. Not only the number of fields are counting towards them, but also their size.. But the real problem is in your database design, you have designed a table that is crying out for help : 'split me up, split me up!' You should your design ..",-1
The output that I get is -.,0
Just really wondering/hoping you'd be interested in working on these ??,0
"I did not get your point, please fix it as you think appropriate.",-1
@JohnSibly : can I use that in VB.NET? I think it's not isnt'?,0
"Added comment before ""Path getPath()"" to address Todd's comment.",0
The Client Profile has got better (and smaller) in .NET 4 see,0
"If you would like to switch to different network operators - The answer is No, you are not able to do that programmatically. There is no API that supports that. If you want to switch to different wireless networks the answer is Yes, read post. If you would like to check for different kinds of connectivity states - Look . Good luck, hope this helped!",1
I have a hidden UIpickerView that should display a different Array depending on what button is pushed. The picker view shows up when the button is pushed but for some reason it doesn't show the Arrays in the picker view. I would be extremely grateful of any help!!!! Here is the .m file: Many Thanks,1
Do people really type all that junk? ;-) Anyway I added it together with how to avoid typing all that junk. :-),1
"DataDictionaryo The header comment for getPermDescriptor() does not seem to describe the method.",0
":)I've renamed ComponentColorProperty to be ComponentColorElement and RelationshipAggregation to TwistieAggregation.",1
"Hmm, I still don't like these ternery operators used as statements, I would prefer using an if statement",-1
"Confusing? raw formatter, RawText helper class and raw var name? Rename var say to bytes?",0
Re font size: sounds reasonable. Thanks.,1
this is one of the mechanism provides by Struts2 to handle Cross-Site Request Forgery ( CSRF ).,0
Sorry.,-1
stupid dh_make :-),-1
"What we have now come up with is halfway what I wanted. Basically we used JNI to call upon native Windows RTF control (the one used by WodPad) - this way we don't have to worry about nasty ActiveX deployment issues, but still it's a hack",-1
"Merged the batch file updates to branches/2.1 (revision 743129). Thanks again!",1
"16-byte BigInteger is overkill, all we need is a reasonable distribution (now that Tokens don't need to be unique) and 64 or even 32 bits is plenty for that.",0
"I'm afraid one can't extract the text from the given pdfs. Both are using fonts with a non human readable encoding and as there isn't included any mapping, you'll get rubbish instead of the text. Even the acrobat reader can't extract the text.",-1
And I see lot of demo and sample code about broadcasting with CODE_FRAGMENT.,0
"I think what he means is, you can't just read: myService.DoSomething() and go to the definition of DoSomething, because with IoC, myService is just an interface, and the actual implementation is unknown to you, unless you go look it up in xml config files or the main method where your ioc gets setup.",0
and finally here is the FILE_NAME.,0
"Do You know the size of the message, or the end marked somehow?",0
Thanks for the info David.,1
"Choose Project -> Properties Select Configuration -> General In the box for how you should link MFC, choose to statically link it. Choose Linker -> Input. Under Additional Dependencies, add any libraries you need your app to statically link in. For more info, see this article:",0
"Because the ORDER BY RAND() method is terrible for performance. Note that he has 120,000 rows in his table.",-1
Not a big fan of hardcoding stuff. Should we at least make the log level configurable?,-1
"Starting with the socket IO, since Java 7 the NIO API has been available, which means you can leave the threading required to prevent blocking the main thread to the OS.",0
"OK. I was wondering where the concept of a named parser came from. It seems a little weird without knowing the problem it's trying to solve, but it's probably fine!",-1
for an older version maybe  the pack is bad now i know.,-1
"Hi Derick - right now, I'm running from the command line, and very soon we'll have it hooked up to hudson. We've convinced people that hudson will be fine without a physical log file from the rake execution. And I think I've satiated the desire for log files by using the "".parameters"" option on my msbuild and nunit tasks to log output. I'm LOVING albacore! You guys did a great job with it.",1
It was a pretty stupid idea to use a static array of instances for QuorumOpMonitor.,-1
Edited with form submit event handler,0
"You should not introduce a new function but instead change this one so that it works for all services, including Keystone.Otherwise we will soon see _get_unversioned_compute_endpoint(), _get_unversioned_volume_endpoint(), _get_unversioned_object_endpoint() and this will be a nightmare.",-1
"Created an attachment (id=12544)mimeInput.eml for this test case",0
@interjay you are right. Corrected the post above.,0
Excellent! Appears to be a far cleaner solution. http://bl.ocks.org/mbostock/4560481,1
Committed. Thanks Namit!,1
fPIC rings a bell on amd64.,0
Suggest 'unknown' instead of passing whatever the crap might come from headers.,-1
I've just seen that you attached a patch to this issue.,0
I feel the same way about JIRA.,0
This has been riding in 0.94 for too long.,0
"Fixed for comments, added new patch.",0
I've created a div how would I make this div a child of using Javascript?,0
I've asked a related question at http://dsp.stackexchange.com/questions/8456/how-to-perform-carrier-phase-recovery-in-software,0
"Also, setting webinterface.private.actions has other effects like enabling the 'kill job' and 'kill task' links on the Job web UI.",0
One way would be.,0
"You're absolutely right about improving the documentation. Done.IMO this function should be better named and shouldn't be public. However, I can be sure that it's called by another extension (which is possible but not likely). I think we need to go through the process of deprecating it.",1
Try these longer term things in the long term.,0
I'm not a big fan of this. It'd be good if the charm examined the /sys tree for tha mac address at runtime if possible. I'm not going to block on this though,-1
Will setup mirroring to Brno QA lab.,0
A test suite that shows the issue,0
Thanks Andrew for covering me.,1
Breakpoint handler frame is detected and processed specifically by unwinding algorithm.,0
Add quotes around the search criteria,0
"Hi Drew,I have upgraded Postage to James3 (see POSTAGE-23) and used your patch at this occasion.",0
Applied. Thanks!,1
"Patch applied to FOP trunk, see r793095.Thanks for the fix!",1
"Wow, this is a sentence long enough that I could have written it. :) Not a problem really, just impressed.",1
This describes one type of UUID in great details and I have used a similar approach with great success when I needed a UUID implementation and could not link to an existing library for architectural reasons. This provides a good overview.,1
"with the interoperability approach (wsdl-first), are you still hand coding the wsdl? If so, are you still running into the same pain points you've described? Or have you have you found a better solution?",0
Please re-open if I'm confused.,0
"Created an attachment (id=10304)test.xml",0
"I hate Dev-C++ but because of a library, I have to use it!!! What's the matter for Dev-C++ or are there errors in my code about using referance variable? Error: 9 C:***\main.c syntax error before '&' token",-1
Please place functions in <code></code> tags throughout.,0
"Enable the deprecation log here is not finally discussed. I'm 60/40 for not logging, because the deprecation log will get extremely flooded. When enabling, only the first setting (and not all three) should be logged to minimize the flood. The logging could be enabled in the next version, and till then it should be documented very well.",-1
"Yep, the power tools SHOULD let you do this, but unfortunately the merge goes horribly wrong each time so it's next to useless.",-1
"Could you add a quick comment, something like ""Return any uncommitted resources""?It took me 2 minutes to figure this out even though I know most of this code already.",0
"FWIW:After the first Mod, a >= 0. b is already > 0 by definition. So the rest of this code is all done using natural numbers and thus could probably be (slightly) more efficient by using nat's directly. Perhaps next CL.",0
"I think WordDelimiterFilter has special code that might avoid the problem (line 352), so it mightbe ok.Is there any better way we could solve this: for example maybe instead of the tokenizer callingcorrectOffset() it gets called somewhere else?",0
Why is there a try-catch here? The standard way things are handled in e.g. oo.EventEmitter is to simply tell event listeners to not be stupid enough throw errors.,-1
Applied to TRUNK.  Thank you for the patch Erik.,1
"Looks fine, thanks.",0
"Thank you, Ivan!",1
"Thanks, did that. Hopefully it syncs now. Cheers --Kurt",1
"Great! Awesome work, Nick, and thanks for the clarification, Bill. ",1
I have a fairly large codebase with several directories and files and I would like to check out a view or have a view as of a given date (Septermber 12th). I am manually checking file histories and doing and this is extremely painful. I wonder if there is a way to do a checkout and load everything as of a particular day at once?,-1
I'm impressed that you caught this :) I probably wouldn't have.,1
"Personally, I would like to see a reference to a simple error/overlooked patch here as well - this should not be only for malicious behaviour.",-1
"Whoops, of course. A stupid copy-paste error, easy to do in this ugly copy-paste-ridden code :/",-1
Because of that the default parent is the same loader as the loader that loaded the class GroovyShell - this loader knows the groovy classes.,0
When I perform CODE_FRAGMENT request to CODE_FRAGMENT I get following JSON.,0
"Thank you for this comment. You're absolutely right current name is misleading.I kind of like the WatchedItemQueryBuilder approach, although I was thinking about using this WatchedItemQuery(Service) class to also perform queries used by ApiQueryWatchlistRaw (its queries are quite different from ApiQueryWatchlist's), see I875a92074b52c00ac11db1fa05615abbf5262ab1. Going with a builder approach would probably need to have two builder classes/change builder's public interface compared to what you suggested. On the other hand, it doesn't seem wrong to have separate classes for different needs.I will still give the builder approach a bit more thought.For now I've renamed this class to WatchedItemQueryService.",1
And interestingly suddenly this is moved from MAPREDUCE to OOZIE.,0
"The Joda-Time project, now in maintenance mode, advises migration API_NAME.",0
"As long as the change is applied at build time, I don't see any real drawback.",0
Done - and lol :) thanks,1
"I'm not a big fan of this, as realistically generic errors like AttributeError or ValueError could be raised due to an internal server error that has nothing to do with bad user input (i.e., should raise a 500, not a 400).  I'd rather see these exceptions caught locally and",-1
"why? we removed prelinking for a very specific reason (security), and I don't think we want to put it back in the platform.",-1
is there some missing code here that should go along with these Name objects?  Persimmon has some methods that go along with these.  Might be worth looking in to.,0
Verified this with trunk.,0
The renderer is selected based on the component family and renderer type by CODE_FRAGMENT.,0
"Let's kill this crappy resource. Separate user / group resources are nicer.See mwprof's init.pp for a generic example",-1
"Sorry  about that, tiredness.",-1
"duh, sorry. brain not swapped back in yet. i think i'm just uncomfortable because all this code smells bad. (globals but no lock, for example.) but, yes, i agree your change doesn't make it any worse.",-1
"This is really great, worked a treat thanks",1
"looks fine, thank you, George.",1
"Contributed by Junping Du (szetszwo: http://svn.apache.org/viewcvs.cgi/?root=Apache-SVN&view=rev&rev=1532932)* /hadoop/common/trunk/hadoop-hdfs-project/hadoop-hdfs/CHANGES.txt* /hadoop/common/trunk/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/balancer/Balancer.java",0
Doing this will trigger mOnDateChangedListener to be fired twice. Please put a guard to avoid that (see the listener above on mDayPicker.),0
You are missing CODE_FRAGMENT for that your patter not match because it contain more than one character or number.,0
I committed patch _c with revision 697897.,0
