id,love,joy,surprise,anger,sadness,fear,notes,comment N,comment N-1,comment N-2,...,comment 2,comment1,,,,,,,,,,
31813,,,x,,,,surprise,Closing because this has been in RESOLVED state for over one year; if it turns out to not be fixed please reopen.,,,,,,,,,,,,,,,
14921,,,,,,,satisfaction,Makes sense to me.,,,,,,,,,,,,,,,
68539,,,,,,,"some anger, mostly neutral broadcast",Please be informed that I am no longer accessible through this email address. Pls refrain from sending further messages. I will just personally contact you with my new email address. For any concerns / issues / inputs relating to your transactions with Exist; kindly forward email to hr@exist.com. Thank you HR Dept,,,,,,,,,,,,,,,
11773,,,,,,,concern emotion,Triage: Not for Xalan-J 2.2. We still need to evaluate this in light of Gary's point: exactly what location should we report for result tree events in this kind of situation? I'm not sure we intended to set the locator in this particular situation. Also; if we never set the locator; then we're still following the SAX spec - while this is somewhat useful; it's still an optional feature.,,,,,,,,,,,,,,,
5373,,,,,,,satisfaction and gratitude,I mailed jsr-206-comments@jcp.org and got the following response from Jeff Suttor: 'hi Daniel; consistency and least astonishment are valuable. :) would you be open to filing an RFE http://bugs.sun.com or an issue http://jaxp.dev.java.net to insure this is addressed? as this would be a public API change; it will have to be part of JAXP.next. thanks; -- Jeff' I filed https://jaxp.dev.java.net/issues/show_bug.cgi?id=9,,,,,,,,,,,,,,,
41140,,,,,,,gratitude,Looks fine to me now. Thanks!,,,,,,,,,,,,,,,
58715,,,,,,,satisfaction,Fixed in revision 1073288,Changing the goal to 'single' works the same and it is a better solution; since 'attached' goal is deprecated. Committed this change in revision 1073288.,This error disapperar if we change the goal of the maven-artifact-plugin to 'attached' instead of 'assembly'. This goal should behave the same but do not affect the kres build process.,Can reproduce the error with the attached mvn-minimal-configuration-pom.xml; which includes only the following modules; omitting all modules except: * enhancer/SemiAutomaticContentEnhancer * kres/eu.iksproject.kres.shared/dependency/owlapi3 * kres/eu.iksproject.kres.ontologies,I attach the output of the last try (enhancer-16),Kres build process fails when executing fro the root of Stanbol with the above output: [INFO] ------------------------------------------------------------------------ [ERROR] BUILD ERROR [INFO] ------------------------------------------------------------------------ [INFO] Failed to resolve artifact. Missing: ---------- 1) eu.iksproject:eu.iksproject.kres.shared.dependency.owlapi:jar:0.7 åÊåÊTry downloading the file manually from the project website. åÊåÊThen; install it using the command: åÊåÊåÊåÊåÊåÊmvn install:install-file -DgroupId=eu.iksproject -DartifactId=eu.iksproject.kres.shared.dependency.owlapi -Dversion=0.7 -Dpackaging=jar -Dfile=/path/to/file åÊåÊAlternatively; if you host your own repository you can deploy the file there: åÊåÊåÊåÊåÊåÊmvn deploy:deploy-file -DgroupId=eu.iksproject -DartifactId=eu.iksproject.kres.shared.dependency.owlapi -Dversion=0.7 -Dpackaging=jar -Dfile=/path/to/file -Durl=[url] -DrepositoryId=[id] åÊåÊPath to dependency: åÊåÊ 1) eu.iksproject:eu.iksproject.kres.ontologies:bundle:0.7 åÊåÊ 2) eu.iksproject:eu.iksproject.kres.shared.dependency.owlapi:jar:0.7 ---------- 1 required artifact is missing. for artifact: åÊåÊeu.iksproject:eu.iksproject.kres.ontologies:bundle:0.7 from the specified remote repositories: åÊåÊcom.springsource.repository.bundles.external (http://repository.springsource.com/maven/bundles/external); åÊåÊcentral (http://repo1.maven.org/maven2); åÊåÊjava.net (http://download.java.net/maven/2); åÊåÊapache (http://repository.apache.org/content/groups/snapshots-group) [INFO] ------------------------------------------------------------------------ [DEBUG] Trace org.apache.maven.lifecycle.LifecycleExecutionException: Missing: ---------- 1) eu.iksproject:eu.iksproject.kres.shared.dependency.owlapi:jar:0.7 åÊåÊTry downloading the file manually from the project website. åÊåÊThen; install it using the command: åÊåÊåÊåÊåÊåÊmvn install:install-file -DgroupId=eu.iksproject -DartifactId=eu.iksproject.kres.shared.dependency.owlapi -Dversion=0.7 -Dpackaging=jar -Dfile=/path/to/file åÊåÊAlternatively; if you host your own repository you can deploy the file there: åÊåÊåÊåÊåÊåÊmvn deploy:deploy-file -DgroupId=eu.iksproject -DartifactId=eu.iksproject.kres.shared.dependency.owlapi -Dversion=0.7 -Dpackaging=jar -Dfile=/path/to/file -Durl=[url] -DrepositoryId=[id] åÊåÊPath to dependency: åÊåÊ 1) eu.iksproject:eu.iksproject.kres.ontologies:bundle:0.7 åÊåÊ 2) eu.iksproject:eu.iksproject.kres.shared.dependency.owlapi:jar:0.7 ---------- 1 required artifact is missing. for artifact: åÊåÊeu.iksproject:eu.iksproject.kres.ontologies:bundle:0.7 from the specified remote repositories: åÊåÊcom.springsource.repository.bundles.external (http://repository.springsource.com/maven/bundles/external); åÊåÊcentral (http://repo1.maven.org/maven2); åÊåÊjava.net (http://download.java.net/maven/2); åÊåÊapache (http://repository.apache.org/content/groups/snapshots-group) at org.apache.maven.lifecycle.DefaultLifecycleExecutor.executeGoals(DefaultLifecycleExecutor.java:711) at org.apache.maven.lifecycle.DefaultLifecycleExecutor.executeGoalWithLifecycle(DefaultLifecycleExecutor.java:556) at org.apache.maven.lifecycle.DefaultLifecycleExecutor.forkProjectLifecycle(DefaultLifecycleExecutor.java:1205) at org.apache.maven.lifecycle.DefaultLifecycleExecutor.forkLifecycle(DefaultLifecycleExecutor.java:1033) at org.apache.maven.lifecycle.DefaultLifecycleExecutor.executeGoals(DefaultLifecycleExecutor.java:643) at org.apache.maven.lifecycle.DefaultLifecycleExecutor.executeGoalWithLifecycle(DefaultLifecycleExecutor.java:556) at org.apache.maven.lifecycle.DefaultLifecycleExecutor.executeGoal(DefaultLifecycleExecutor.java:535) at org.apache.maven.lifecycle.DefaultLifecycleExecutor.executeGoalAndHandleFailures(DefaultLifecycleExecutor.java:387) at org.apache.maven.lifecycle.DefaultLifecycleExecutor.executeTaskSegments(DefaultLifecycleExecutor.java:348) at org.apache.maven.lifecycle.DefaultLifecycleExecutor.execute(DefaultLifecycleExecutor.java:180) at org.apache.maven.DefaultMaven.doExecute(DefaultMaven.java:328) at org.apache.maven.DefaultMaven.execute(DefaultMaven.java:138) at org.apache.maven.cli.MavenCli.main(MavenCli.java:362) at org.apache.maven.cli.compat.CompatibleMain.main(CompatibleMain.java:60) at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:39) at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25) at java.lang.reflect.Method.invoke(Method.java:597) at org.codehaus.classworlds.Launcher.launchEnhanced(Launcher.java:315) at org.codehaus.classworlds.Launcher.launch(Launcher.java:255) at org.codehaus.classworlds.Launcher.mainWithExitCode(Launcher.java:430) at org.codehaus.classworlds.Launcher.main(Launcher.java:375) Caused by: org.apache.maven.artifact.resolver.MultipleArtifactsNotFoundException: Missing: ---------- 1) eu.iksproject:eu.iksproject.kres.shared.dependency.owlapi:jar:0.7 åÊåÊTry downloading the file manually from the project website. åÊåÊThen; install it using the command: åÊåÊåÊåÊåÊåÊmvn install:install-file -DgroupId=eu.iksproject -DartifactId=eu.iksproject.kres.shared.dependency.owlapi -Dversion=0.7 -Dpackaging=jar -Dfile=/path/to/file åÊåÊAlternatively; if you host your own repository you can deploy the file there: åÊåÊåÊåÊåÊåÊmvn deploy:deploy-file -DgroupId=eu.iksproject -DartifactId=eu.iksproject.kres.shared.dependency.owlapi -Dversion=0.7 -Dpackaging=jar -Dfile=/path/to/file -Durl=[url] -DrepositoryId=[id] åÊåÊPath to dependency: åÊåÊ 1) eu.iksproject:eu.iksproject.kres.ontologies:bundle:0.7 åÊåÊ 2) eu.iksproject:eu.iksproject.kres.shared.dependency.owlapi:jar:0.7 ---------- 1 required artifact is missing. for artifact: åÊåÊeu.iksproject:eu.iksproject.kres.ontologies:bundle:0.7 from the specified remote repositories: åÊåÊcom.springsource.repository.bundles.external (http://repository.springsource.com/maven/bundles/external); åÊåÊcentral (http://repo1.maven.org/maven2); åÊåÊjava.net (http://download.java.net/maven/2); åÊåÊapache (http://repository.apache.org/content/groups/snapshots-group) at org.apache.maven.artifact.resolver.DefaultArtifactResolver.resolveTransitively(DefaultArtifactResolver.java:360) at org.apache.maven.artifact.resolver.DefaultArtifactResolver.resolveTransitively(DefaultArtifactResolver.java:304) at org.apache.maven.plugin.DefaultPluginManager.resolveTransitiveDependencies(DefaultPluginManager.java:1499) at org.apache.maven.plugin.DefaultPluginManager.executeMojo(DefaultPluginManager.java:442) at org.apache.maven.lifecycle.DefaultLifecycleExecutor.executeGoals(DefaultLifecycleExecutor.java:694) ... 21 more [INFO] ------------------------------------------------------------------------ [INFO] Total time: 2 minutes 48 seconds [INFO] Finished at: Fri Feb 11 17:26:58 CET 2011 [INFO] Final Memory: 118M/282M [INFO] ------------------------------------------------------------------------ I started to investigate this; that does not happen when compiling in the /kres folder I before launched the command (evry time): $ cd $M2_HOME/repository $ rm -rf hermit/ && rm -rf owl* && rm -rf eu Then from the the root of Stanbol $ mvn clean install -X -DskipTests I did this with different configurations: * All non-kres moduls commented >> success * All but the parent module >> failure * All but the parent;entityhub modules >> failure * All but the parent;entityhub;enhancers modules >> success So I started investigating the enhancer module; and commented all but that: * enhancer-1 >> failure (all modules) * enhancer-2 >> success (only the parent module) * enhancer-3 >> success (parent module + base enhancer modules) * enhancer-4 >> success (parent module + base enhancer modules + autotag;opennlp;lang-id) * enhancer-5 >> success (parent module + base enhancer modules + autotag;opennlp;lang-id;metaxa) * enhancer-6 >> success (parent module + base enhancer modules + autotag;opennlp;lang-id;metaxa;geonames;entitytagging) from this point on I have activated also 'parent' and 'entityhub' in the root pom: * enhancer-7 >> success (parent module + entityhub + base enhancer modules + autotag;opennlp;lang-id;metaxa;geonames;entitytagging;opencalais) * enhancer-8 >> success (parent module + entityhub + base enhancer modules + autotag;opennlp;lang-id;metaxa;geonames;entitytagging;opencalais;zemanta) * enhancer-9 >> seccess (parent module + entityhub + base enhancer modules + autotag;opennlp;lang-id;metaxa;geonames;entitytagging;opencalais;zemanta + jersey) * enhancer-10 >> success (parent module + entityhub + base enhancer modules + autotag;opennlp;lang-id;metaxa;geonames;entitytagging;opencalais;zemanta + jersey + clerezza/enhancer) * enhancer-11 >> success (parent module + entityhub + base enhancer modules + autotag;opennlp;lang-id;metaxa;geonames;entitytagging;opencalais;zemanta + jersey + clerezza/enhancer;clerezza/sparql) * enhancer-12 >> success (parent module + entityhub + base enhancer modules + autotag;opennlp;lang-id;metaxa;geonames;entitytagging;opencalais;zemanta + jersey + clerezza/enhancer;clerezza/sparql + launcher/full) * enhancer-13 >> success (parent module + entityhub + base enhancer modules + autotag;opennlp;lang-id;metaxa;geonames;entitytagging;opencalais;zemanta + jersey + clerezza/enhancer;clerezza/sparql + launcher/full;launcher/lite) * enhancer-14 >> success (parent module + entityhub + base enhancer modules + autotag;opennlp;lang-id;metaxa;geonames;entitytagging;opencalais;zemanta + jersey + clerezza/enhancer;clerezza/sparql + launcher/full;launcher/lites + integration-tests) * enhancer-15 >> failure (parent module + entityhub + base enhancer modules + autotag;opennlp;lang-id;metaxa;geonames;entitytagging;opencalais;zemanta + jersey + clerezza/enhancer;clerezza/sparql + launcher/full;launcher/lites + integration-tests + SemiAutomaticContentEnhancer) --> same as enhancer-1 I tries also the following: Activating 'enhancer' only in the parent pom (and kres; of course) * enhancer-16 >> failure (parent module + base enhancer modules (generic) + SemiAutomaticContentEnhancer) So the problem is related to some configuration incompatibility between enhancer/SemiAutoamticContentEnhancer and kres/eu.iksproject:eu.iksproject.kres.ontologies I will investigate more on that.,This problem is again on after moving the kres module compilation at the end of the process in the main stanbol pom.xml,Fixed in 1060423.,I encounter the problem again even after following the instructions in the readme. [INFO] Unable to find resource 'eu.iksproject:eu.iksproject.kres.shared.dependency.owlapi:jar:0.7' in repository central (http://repo1.maven.org/maven2) [INFO] ------------------------------------------------------------------------ [ERROR] BUILD ERROR [INFO] ------------------------------------------------------------------------ [INFO] Failed to resolve artifact. Missing: ---------- 1) eu.iksproject:eu.iksproject.kres.shared.dependency.owlapi:jar:0.7 åÊåÊTry downloading the file manually from the project website. åÊåÊThen; install it using the command: åÊåÊåÊåÊåÊåÊmvn install:install-file -DgroupId=eu.iksproject -DartifactId=eu.iksproject.kres.shared.dependency.owlapi -Dversion=0.7 -Dpackaging=jar -Dfile=/path/to/file åÊåÊAlternatively; if you host your own repository you can deploy the file there: åÊåÊåÊåÊåÊåÊmvn deploy:deploy-file -DgroupId=eu.iksproject -DartifactId=eu.iksproject.kres.shared.dependency.owlapi -Dversion=0.7 -Dpackaging=jar -Dfile=/path/to/file -Durl=[url] -DrepositoryId=[id] åÊåÊPath to dependency: åÊåÊ 1) eu.iksproject:eu.iksproject.kres.ontologies:bundle:0.7 åÊåÊ 2) eu.iksproject:eu.iksproject.kres.shared.dependency.owlapi:jar:0.7 ---------- 1 required artifact is missing. for artifact: åÊåÊeu.iksproject:eu.iksproject.kres.ontologies:bundle:0.7 from the specified remote repositories: åÊåÊcom.springsource.repository.bundles.external (http://repository.springsource.com/maven/bundles/external); åÊåÊcentral (http://repo1.maven.org/maven2); åÊåÊjava.net (http://download.java.net/maven/2); åÊåÊapache (http://repository.apache.org/content/groups/snapshots-group),Fixed in #1049533.,The problem is reproducible when deleting the eu/iksproject tree from the local Maven repo $ rm -rf ~/.m2/repository/eu/iksproject/ and then start a Maven build using the top level Stanbol POM. This problem is not fixed by adding the missing JARs as mentioned by Enrico. As Andreas noted there is somehow a difference between calling Maven build in the kres directory or using the top level POM.,The problem stated in this issue disappeared after a $ mvn dependency:resolve,I manually installed the jars according to the README but that did not resolve this problem. Interestingly there is a dfference between executing mvn install in the stanbol directory and the kres subdirectory. I did not see this error when executing the command in the kres directory. I got the error mentioned in STANBOL-10 then.,The KReS module relies on three external dependencies that are not available in the maven repository. As described in the main stanbol README (http://svn.apache.org/repos/asf/incubator/stanbol/trunk/README.txt) you should import those irbraries manually before compile KReS. From the KReS folder do the following: $ mvn install:install-file -Dfile=kres/lib/owlapi-3.0.0.jar \ åÊåÊåÊåÊåÊåÊåÊ-DgroupId=owlapi -DartifactId=owlapi -Dversion=3.0.0 -Dpackaging=jar $ mvn install:install-file -Dfile=kres/lib/HermiT.jar \ åÊåÊåÊåÊåÊåÊåÊ-DgroupId=hermit -DartifactId=hermit -Dversion=1.2.4 -Dpackaging=jar $ mvn install:install-file -Dfile=kres/lib/owl-link-1.0.2.jar \ åÊåÊåÊåÊåÊåÊåÊ-DgroupId=owl-link -DartifactId=owl-link -Dversion=1.0.2 -Dpackaging=jar Note that; as for issue STANBOL-10; tests for the rule module actually breaks; so you should compile it with the -DskipTests flag.,,
14849,,,,,,,"neutral, does not specify explicitly any emotion",Reporter asked for this to be closed.,,,,,,,,,,,,,,,
11480,,,,,,,"neutral, does not specify explicitly any emotion",Retest shows Running xalan on lre02 <?xml version='1.0' encoding='UTF-8'?> <out xmlns='www.lotus.com' xmlns:ped='http://tester.com' english='to leave'/> Running XSLTC with Xerces Parser on lre02 <?xml version='1.0' encoding='UTF-8' ?> <out xmlns:ped='http://tester.com' xmlns='www.lotus.com' english='to leave'/>,,,,,,,,,,,,,,,
17964,,,,,,,"neutral, does not specify explicitly any emotion",Fixed.,,,,,,,,,,,,,,,
76494,,,,,,,"satisfaction, closed issues",Closed issues related to Roller 5.0 release.,,,,,,,,,,,,,,,
52716,,,,,,,satisfaction,Fixed in the trunk and branch,Attaching the patch.,,,,,,,,,,,,,,
37992,,,x,,,,surprise and concern (recurring issue),The issue as described by (resolved) issue TRINIDAD-1171 occurs consistently in our environment using 1.2.10;,,,,,,,,,,,,,,,
27656,,,,,x,,repeated issues - little sad,We'll look at the issue for 1.1,Multiple errors get overwritten much as multiple return values do. Look in ValidatorResult.java; line 117: hResults.put(field.getKey(); result); The problem is; both errors and values should be indexed in ValidatorResult; with this modification; you have to manually construct the key (using ValidatorUtils.replace()); but at least you don't lose info. I confess I'm not using Struts; but I'm using Validator in standalone fashion; so maybe my needs are very particular. MatÌ_as.,Created an attachment (id=4188) Proposed fix,I'm not so sure that this is a bug. In most cases; an indexed property is going to be used in a table-style of input with an iterator. You wouldn't want to display each error on the line; you'd display them at the top. If we went to storing indexed property error messages on the full property with index; you'd need to put an iterator around bean:errors in Struts (for example) to generate all the error messages. Willing to hear counter arguments. James,,,,,,,,,,,,
20803,,,,x,,,anger,this will be tackled when we improve ajax; most likely in wicket.next or the version after that.,@Igor: Please read this bug comments too. It's already well established that generateCallbackScript completes the string. It's just nasty and uncontained. Consider the alternative I proposed.,generateCallbackScript() completes the fragment with the missing closing ),making changes to this can only be done in 1.5; because this results in api breaks. The thing is that getCallbackScript and generateCallbackScript could be really just 1 method.. Except i guess that some do use generate standalone But if you have a nice patch that would result in the same thing please attach it.,OK; so this string is an unmatched JS function invocation by design. That is just nasty. How about you convert it to something safe and correct like generateCallbackScript(String function; String... args) ? Then you'd do: {code} protected CharSequence getCallbackScript(boolean onlyTargetActivePage) { return generateCallbackScript('wicketAjaxGet'; getCallbackUrl(onlyTargetActivePage)); } {code} Immediately fixing the potentially broken inject-an-arbitrary-string-in-a-literally-quoted-value too.,,,,,,,,,,,
39032,,,,,,,"neutral, does not specify explicitly any emotion",Reopening issues to set version.,,,,,,,,,,,,,,,
29351,,,,x,,,little anger,This issue is maybe related to UIMA-1408.,Philip please provide more details until then the issue cannot be reproduced.,Hi Philip; the annotation which is selected in the outline view should be selected in the text editor. An annotation which is part of feature structure and selected should be also be selected in the editor. I think this is somehow broken on your machine; I would like to find out why and fix it. For this I need more information from you. Please go to the about dialog and click on configuration details and attach these to the issue. It would also be nice if you can attach a a screenshot which shows that the selection in the editor does not work when something in the outline is selected; maybe this gives a clue. Thanks; JÌ¦rn,,,,,,,,,,,,,
44873,,,,,,,"neutral, does not specify explicitly any emotion",This has been fixed for 1.1 by Upgading to POI 3.8 beta 5. Perhaps somebody with more power than me can mark this accordingly.,,,,,,,,,,,,,,,
57170,,,,,,,satisfaction,Fixed thus: http://svn.apache.org/viewvc?rev=574613&view=rev,Scheduled to version 4.2.,This affects 4.1.3. I'll let Farid decide whether it's simple enough to do for 4.2 or if we need to schedule it for later.,This is good improvement.,Assigned to Farid; the Windows infrastructure maintainer.,Makes sense to me. What do you think about it; Farid?,> BUILDDIR should default to the source directory; that is; the same directory containing the generate.bat script. ...or the current directory if this directory is different from the directory where the generate.bat script is located.,,,,,,,,,
48875,,,,,,,satisfaction and concern,This works great for me; but it has demonstrated another issue when some Tapestry's script files try to use the clientId in order to create javascript identifiers for variables. I'll open a new issue describing this.,,,,,,,,,,,,,,,
14387,,,,x,,,concern and a litle anger,we're moving away from dojo integration in struts2; so you won't likely get much traction on this issue. If you want/need this resolved; then reopen; but provide a patch that we can apply. The core devs aren't going to allocate time to the dojo plugin at this point.,,,,,,,,,,,,,,,
74491,,,,,,,satisfaction,Chain 1.2 is now available in the m2 repo. Updated patches to include logging 1.1.1 and scxml 0.8,,,,,,,,,,,,,,,
