id,love,joy,surprise,anger,sadness,fear,notes,comment N,comment N-1,comment N-2,...,comment 2,comment1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73977,,,,,,,,Applied patch from Jasvir. Also corrected case error in Enum type in Java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27962,,,,,,,,Code delivered to SVN.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65088,,,,,,,,The fix for SMXCOMP-759 also resolve this issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57398,,,,,,x,,Marking as Resolved in 4.2.0 _x0089_ÛÒ I couldn't reproduce it even there. Will close once we create a regression test; or a full-blown test for the utility.,Disabled formatting to make stack trace more readable.,I can't reproduce this with gcc 4.1.2 on Linux. The following command completes successfully: $ cat >charmap<<EOF && cat >locale.src<<EOF && ../bin/localedef -c -w -f charmap -i locale.src dummy && LC_TIME=dummy ../bin/locale -ck LC_TIME CHARMAP END CHARMAP EOF LC_TIME day 'Sun';'Mon';'Tue' END LC_TIME EOF  ...with the following output: LC_TIME abday='';'';'';'';'';'';'' day='Sun';'Mon';'Tue';'';'';'';'' abmon='';'';'';'';'';'';'';'';'';'';'';'' mon='';'';'';'';'';'';'';'';'';'';'';'' am_pm='';'' d_t_fmt='' d_fmt='' t_fmt='' t_fmt_ampm='' era='' era_d_t_fmt='' era_d_fmt='' era_t_fmt='' alt_digits='' END LC_TIME,Lowered Priority to Trivial (the error occurs on ill-formed input) and deferred until after 4.2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59275,,,,,,,,Failure on profile 200 is expected and will be handled by SQOOP-731.,Integrated in Sqoop-ant-jdk-1.6-hadoop100 #334 (See https://builds.apache.org/job/Sqoop-ant-jdk-1.6-hadoop100/334/) SQOOP-721 Duplicating rows on export when exporting from compressed files. (Revision a840f41fc76688de6ab0d61e2cba3af32b2a9a96) Result = SUCCESS cheolsoo : https://git-wip-us.apache.org/repos/asf?p=sqoop.git&a=commit&h=a840f41fc76688de6ab0d61e2cba3af32b2a9a96 Files : src/java/org/apache/sqoop/mapreduce/CombineFileSplit.java src/java/org/apache/sqoop/mapreduce/CombineFileInputFormat.java src/java/org/apache/sqoop/mapreduce/CombineFileRecordReader.java,Integrated in Sqoop-ant-jdk-1.6-hadoop200 #342 (See https://builds.apache.org/job/Sqoop-ant-jdk-1.6-hadoop200/342/) SQOOP-721 Duplicating rows on export when exporting from compressed files. (Revision a840f41fc76688de6ab0d61e2cba3af32b2a9a96) Result = FAILURE cheolsoo : https://git-wip-us.apache.org/repos/asf?p=sqoop.git&a=commit&h=a840f41fc76688de6ab0d61e2cba3af32b2a9a96 Files : src/java/org/apache/sqoop/mapreduce/CombineFileRecordReader.java src/java/org/apache/sqoop/mapreduce/CombineFileInputFormat.java src/java/org/apache/sqoop/mapreduce/CombineFileSplit.java,Integrated in Sqoop-ant-jdk-1.6-hadoop23 #509 (See https://builds.apache.org/job/Sqoop-ant-jdk-1.6-hadoop23/509/) SQOOP-721 Duplicating rows on export when exporting from compressed files. (Revision a840f41fc76688de6ab0d61e2cba3af32b2a9a96) Result = SUCCESS cheolsoo : https://git-wip-us.apache.org/repos/asf?p=sqoop.git&a=commit&h=a840f41fc76688de6ab0d61e2cba3af32b2a9a96 Files : src/java/org/apache/sqoop/mapreduce/CombineFileRecordReader.java src/java/org/apache/sqoop/mapreduce/CombineFileSplit.java src/java/org/apache/sqoop/mapreduce/CombineFileInputFormat.java,Integrated in Sqoop-ant-jdk-1.6-hadoop20 #339 (See https://builds.apache.org/job/Sqoop-ant-jdk-1.6-hadoop20/339/) SQOOP-721 Duplicating rows on export when exporting from compressed files. (Revision a840f41fc76688de6ab0d61e2cba3af32b2a9a96) Result = SUCCESS cheolsoo : https://git-wip-us.apache.org/repos/asf?p=sqoop.git&a=commit&h=a840f41fc76688de6ab0d61e2cba3af32b2a9a96 Files : src/java/org/apache/sqoop/mapreduce/CombineFileSplit.java src/java/org/apache/sqoop/mapreduce/CombineFileRecordReader.java src/java/org/apache/sqoop/mapreduce/CombineFileInputFormat.java,Committed to trunk. Thanks Jarcec!,+1. I diff'ed CombineFileInputFormat.java from Sqoop and Hadoop-2.0.x and confirmed that there is one change as follows: 154c160;163 <     return codec instanceof SplittableCompressionCodec; --- >  >     // Once we remove support for Hadoop < 2.0 >     //return codec instanceof SplittableCompressionCodec; >     return false;  As far as I understand; the only impact of this difference is that the compressed files won't be split even though they're splitable; which doesn't have any impact on correctness while it does on performance. I didn't run any tests with this patch; but given that the patch is identical to what's committed in MAPREDUCE-1597; I think that it is fine. Please let me know if anyone has any concerns. Thanks!,We're using CombineFileInputFormat implementation that was copied over from Hadoop namespace to Sqoop namespace to retain exactly the same behavior across all supported Hadoop platforms. It seems that this issue was already fixed upstream in MAPREDUCE-1597. I'll try to port new version to our code base.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65869,,,,,,,,please apply these two patches in the $SMX4.0/runtime/trunk & $SMX4.0/nmr/trunk respectively. As Guillaume's mentioned above: Define a deploymentListener in the filemonitor module. Define a JBI artifactDeployment Listener for dealing with JBI artifact; to transform it to OSGified bundle automatically. With these two little patch; users can put JBI artifact in the deploy folder directly to install & start it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20748,,,,,,,,Integrated in Apache Wicket 1.4.x #58 (See [http://hudson.zones.apache.org/hudson/job/Apache%20Wicket%201.4.x/58/]) åÊåÊåÊåÊ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11773,,,,,,x,,Triage: Not for Xalan-J 2.2. We still need to evaluate this in light of Gary's point: exactly what location should we report for result tree events in this kind of situation? I'm not sure we intended to set the locator in this particular situation. Also; if we never set the locator; then we're still following the SAX spec - while this is somewhat useful; it's still an optional feature.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46309,,,,,,,,committed,Fix how the length of a map is calculated. We can use Object.keys() in Node.js. Not all browsers support that method so we have to calculate it ourselves for the browser implementation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73133,,,,,,,,resolved.,we ran into this issue on our platform. it's possibly very specific to our setup; but the patch should cause no problems for any other setup as well. simplifying this into on line is of course possible. i can't really tell you any more about it; since this issue was fixed in our local implementation about one year ago by some colleague. in preparation for our migration to the current version of shindig and opensocial 0.9 i'm revising all patches and feature additions we did over the last year and will be looking at which are worth comitting. so you can expect some more small issues in the next weeks ;),could this be simplified to txt=txt.substr(txt.indexOf(UNPARSEABLE_CRUFT) + UNPARSEABLE_CRUFT.length) I'm a little concerned that chunked is causing this though... very odd..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49721,,,,x,,,,It's actually been in there (in jakarta.apache.org/tapestry/current and in CVS) for a while.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17369,,,,,,,,Marking this issue as resolved. Reasons: - Not reproducible. - No feedback from reporter. - If there was a dependency issue; it has probably been fixed by the change in r773502.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
