id,love,joy,surprise,anger,sadness,fear,notes,comment N,comment N-1,comment N-2,...,comment 2,comment1
23357,,,,x,,,,It is just resolved in 2.0 and the changes for 1.x have been committed at the same moment. The dot: you'll find that the xml parser is not a general purpose xml parser complying to all details of xml. It doesn't have to. It just implements what is sufficient for Wicket. If only if there is a real need to implement an additional detail; than we'll do it. The dot; though in the spec; is nowhere used. So why bother and implement,,,,,
57099,,,,,x,,,After the changes the error no longer appears in nightly build results. Closing as Fixed.,,,,,
51694,,,,,,,,Yes; it's my mistake; I'm overlooked this property.,,,,,
57398,,,,,,,,Marking as Resolved in 4.2.0 ‰ÛÒ I couldn't reproduce it even there. Will close once we create a regression test; or a full-blown test for the utility.,,,,,
22097,,,,,,,,seems like all subtask as resolved,,,,,
33963,,,,,,,,Assign to 1.0 during tidy up prior to 1.1,,,,,
35079,,,,,,,,46fa49e75e79c4bf7351bbdc0653130f4e01dfb0 TS-1558: use_client_addr breaks control over upstream HTTP protocol version Thanks Uri!,,,,,
58874,,,,,,,,Committing to https://svn.apache.org/repos/asf/mina/sshd/trunk ... M sshd-core/src/main/java/org/apache/sshd/client/UserAuth.java M sshd-core/src/main/java/org/apache/sshd/client/auth/UserAuthAgent.java M sshd-core/src/main/java/org/apache/sshd/client/auth/UserAuthPassword.java M sshd-core/src/main/java/org/apache/sshd/client/auth/UserAuthPublicKey.java M sshd-core/src/main/java/org/apache/sshd/client/session/ClientSessionImpl.java M sshd-core/src/main/java/org/apache/sshd/common/Session.java M sshd-core/src/main/java/org/apache/sshd/common/session/AbstractSession.java M sshd-core/src/main/java/org/apache/sshd/server/FileSystemFactory.java M sshd-core/src/main/java/org/apache/sshd/server/FileSystemView.java M sshd-core/src/main/java/org/apache/sshd/server/channel/ChannelSession.java M sshd-core/src/main/java/org/apache/sshd/server/command/ScpCommand.java M sshd-core/src/main/java/org/apache/sshd/server/filesystem/NativeFileSystemFactory.java M sshd-core/src/main/java/org/apache/sshd/server/filesystem/NativeFileSystemView.java M sshd-core/src/main/java/org/apache/sshd/server/session/ServerSession.java Committed r1039541,,,,,
33026,,,,,,,,Closing because this has been in RESOLVED state for over one year; if it turns out to not be fixed please reopen.,,,,,
11718,,,,,,,,*** This bug has been marked as a duplicate of 6155 ***,,,,,
