id,love,joy,surprise,anger,sadness,fear,notes,comment N,comment N-1,comment N-2,...,comment 2,comment1,,,,,,,,
398,,,,,,,,+1 overall. Here are the results of testing the latest attachment http://issues.apache.org/jira/secure/attachment/12509655/patch.txt against trunk revision 1227927. +1 @author. The patch does not contain any @author tags. +1 tests included. The patch appears to include 3 new or modified tests. +1 javadoc. The javadoc tool did not generate any warning messages. +1 javac. The applied patch does not increase the total number of javac compiler warnings. +1 findbugs. The patch does not introduce any new Findbugs (version 1.3.9) warnings. +1 release audit. The applied patch does not increase the total number of release audit warnings. +1 core tests. The patch passed core unit tests. +1 contrib tests. The patch passed contrib unit tests. Test results: https://builds.apache.org/job/PreCommit-ZOOKEEPER-Build/882//testReport/ Findbugs warnings: https://builds.apache.org/job/PreCommit-ZOOKEEPER-Build/882//artifact/trunk/build/test/findbugs/newPatchFindbugsWarnings.html Console output: https://builds.apache.org/job/PreCommit-ZOOKEEPER-Build/882//console This message is automatically generated.,,,,,,,,,,,,,
71565,,,,,,,,It seems that this enhancement is atm out of scope for Sling - therefore closing this bug.,,,,,,,,,,,,,
38797,,,,,,,,home page fixed in svn.,,,,,,,,,,,,,
70682,,,,,,,,Close after release,,,,,,,,,,,,,
14206,,,,,,,,Ported the solution of WW-2551 to the Struts 2.0 branch.,This bug is the same of WW-2551; but it was not backported to Struts 2.0 branch.,Finally we have a test case! See the attachment at TILES-278.,I've confirmed that this issue is still present in Struts 2.1.1 The flush attribute of s:action has no impact on the tiles result. Unlike the tiles:insertDefintion tag that includes a flush attribute; the TilesResult always flushes. Recommendation: add a boolean flush parameter to TilesResult (default true) When false; a tiles result can then be rendered within the page of another result using s:action.,,,,,,,,,,
22097,,,,,,,,seems like all subtask as resolved,kitten captcha is intended for inclusion into Wicket; and is attached for ip-clearance.,,,,,,,,,,,,
1671,,,,,,,,Integrated in ZooKeeper-trunk #271 (See http://hudson.zones.apache.org/hudson/job/ZooKeeper-trunk/271/),,,,,,,,,,,,,
32084,,,,x,,,,Closing because this has been in RESOLVED state for over one year; if it turns out to not be fixed please reopen.,Fixed under r684136,,,,,,,,,,,,
11149,,,,,x,,,I wasn't able to reproduce the problem with the attachments. I saw appropriate error messages; line numbers; etc. However; line number information was missing for the testcase idkeyerr10; so I've committed a patch which remedies this.,,,,,,,,,,,,,
38592,,,,,,,,in branch,,,,,,,,,,,,,
27475,,,,,x,,,svn ci -m 'Fixing ArrayOutOfBoundsException bug reported in # VALIDATOR-202. This fix is pretty simple - 'Create an array of size # of .s plus one'; but the implementation of that isn't very beautiful. ' Sending src/share/org/apache/commons/validator/UrlValidator.java Sending src/test/org/apache/commons/validator/UrlTest.java Transmitting file data .. Committed revision 453308.,,,,,,,,,,,,,
81122,,,,,,,,Committed to 0.18 branch r1366206,,,,,,,,,,,,,
64316,,,,,,x,,This bug was modified as part of a bulk update using the criteria... Marked ('Resolved' or 'Closed') and 'Fixed' Had no 'Fix Version' versions Was listed in the CHANGES.txt for 1.2 The Fix Version for all 39 issues found was set to 1.2; email notification was suppressed to prevent excessive email. For a list of all the issues modified; search jira comments for this (hopefully) unique string: 20080415hossman2,committed.,tested on an AMD opteron; 64 bit mode; Java5 -server -Xbatch and exists() was 8.5% faster; intersectionSize() was 7% faster. I didn't bother testing union(); andNot(); as they are obviously going to be much faster.,The performance tests are commented out in the TestDocSet test... I had other changes in my tree related to negative queries and only selected the two source files for diffs. I had quickly tested Java5 to make sure it was still faster in all instances; and it was. Numbers were about the same; some speedups larger and some smaller than Java6.,quick questions... 1) what test did you run to get those numbers? ... even if we don't commit it; we should attach it to this Jira issue 2) we should probably test at least the Sun 1.5 JVM as well right?,Performance results: HashDocSet.exists() is 13% faster HashDocSet.intersectionSize() is thus 9% faster HashDocSet.union() is 20 times faster HashDocSet.andNot() is 27 times faster Tested with Sun JDK6 -server on a P4,,,,,,,,
48151,,,,,,,,Duplicate of TAPESTRY-1988.,Someone else did better research than me ...,My investigation has shown that this is necessary; that the servlet container does not perform the decoding automatically. I just hope this isn't a Tomcat vs. Jetty issue!,At first I put this down to a misunderstanding on my part of the servlet API. However; when I remove the explicit URL decoding logic; existing tests break. Specifically; tests for cases where there are URL encoded characters inside the context. These are Selenium tests; which means that the full servlet API stack from Jetty; unchanged; is in charge ... and that brings into question the thought that it is servlet containers job to URL decode.,,,,,,,,,,
19241,,,,,,,,I applied the patch. I'll experiment soon with another approach whether a page is stateless based on the generation of a callback url to that page. If there is at least one callback url to a page then it is stateful. It will be tracked in a different ticket. The last patch will stay even if the new approach works because it is a good optimization.,will probably need a unit test as well to make sure we dont break this in the future,Here is a simple patch that doesn't check whether a page is stateless before touching it because the page itself comes from the store; so there is a session already.,fix for this breaks wicket-cdi. imagine a component that is visible only if the user is logged in. to do this it overrides onconfigure() { setvisible(logins.getcurrentuser()!=null); } where logins is a cdi bean. Page#isPageStateless() is called as soon as the page is pulled from the page store; which means now onconfigure() is called when wicket cdi retrieves the page instance and before it is able to figure out what conversation to wrap the page in. {code} org.jboss.weld.context.ContextNotActiveException: WELD-001303 No active contexts for scope type javax.enterprise.context.ConversationScoped åÊåÊåÊåÊåÊåÊåÊåÊat org.jboss.weld.manager.BeanManagerImpl.getContext(BeanManagerImpl.java:664) åÊåÊåÊåÊåÊåÊåÊåÊat org.jboss.weld.bean.proxy.ContextBeanInstance.getInstance(ContextBeanInstance.java:77) åÊåÊåÊåÊåÊåÊåÊåÊat org.jboss.weld.bean.proxy.ProxyMethodHandler.invoke(ProxyMethodHandler.java:124) åÊåÊåÊåÊåÊåÊåÊåÊat xxx.dao.UserLogManager.findLoggedInUser(UserLogManager.java:122) åÊåÊåÊåÊåÊåÊåÊåÊat xxx.security.WeldUserFactories.getLoggedInUser(WeldUserFactories.java:67) åÊåÊåÊåÊåÊåÊåÊåÊat xxx.security.WeldUserFactories.getLoggedInAdmin(WeldUserFactories.java:226) åÊåÊåÊåÊåÊåÊåÊåÊat xxx.security.WeldUserFactories.getCurrentUser(WeldUserFactories.java:239) åÊåÊåÊåÊåÊåÊåÊåÊat xxx.lms.frontend.template.FrontEndTemplate$LogoutLink.isVisible(FrontEndTemplate.java:725) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.wicket.Component.determineVisibility(Component.java:4381) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.wicket.Component.isVisibleInHierarchy(Component.java:2160) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.wicket.Component.isStateless(Component.java:2081) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.wicket.Page$2.component(Page.java:503) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.wicket.Page$2.component(Page.java:500) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.wicket.util.visit.Visits.visitChildren(Visits.java:143) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.wicket.util.visit.Visits.visitChildren(Visits.java:161) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.wicket.util.visit.Visits.visitChildren(Visits.java:122) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.wicket.MarkupContainer.visitChildren(MarkupContainer.java:866) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.wicket.Page.isPageStateless(Page.java:498) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.wicket.page.AbstractPageManager.touchPage(AbstractPageManager.java:123) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.wicket.page.AbstractPageManager.getPage(AbstractPageManager.java:105) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.wicket.page.PageManagerDecorator.getPage(PageManagerDecorator.java:50) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.wicket.page.PageAccessSynchronizer$2.getPage(PageAccessSynchronizer.java:257) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.wicket.DefaultMapperContext.getPageInstance(DefaultMapperContext.java:117) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.wicket.request.handler.PageProvider.getStoredPage(PageProvider.java:292) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.wicket.request.handler.PageProvider.hasPageInstance(PageProvider.java:380) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.wicket.request.handler.RenderPageRequestHandler.isPageInstanceCreated(RenderPageRequestHandler.java:181) åÊåÊåÊåÊåÊåÊåÊåÊat net.ftlines.wicket.cdi.ConversationPropagator.getPage(ConversationPropagator.java:261) åÊåÊåÊåÊåÊåÊåÊåÊat net.ftlines.wicket.cdi.ConversationPropagator.onRequestHandlerResolved(ConversationPropagator.java:111) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.wicket.request.cycle.RequestCycleListenerCollection$5.notify(RequestCycleListenerCollection.java:145) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.wicket.request.cycle.RequestCycleListenerCollection$5.notify(RequestCycleListenerCollection.java:142) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.wicket.util.listener.ListenerCollection.notify(ListenerCollection.java:80) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.wicket.request.cycle.RequestCycleListenerCollection.onRequestHandlerResolved(RequestCycleListenerCollection.java:141) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.wicket.request.cycle.RequestCycleListenerCollection$5.notify(RequestCycleListenerCollection.java:145) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.wicket.request.cycle.RequestCycleListenerCollection$5.notify(RequestCycleListenerCollection.java:142) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.wicket.util.listener.ListenerCollection.notify(ListenerCollection.java:80) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.wicket.request.cycle.RequestCycleListenerCollection.onRequestHandlerResolved(RequestCycleListenerCollection.java:141) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.wicket.request.cycle.RequestCycleListenerCollection$5.notify(RequestCycleListenerCollection.java:145) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.wicket.request.cycle.RequestCycleListenerCollection$5.notify(RequestCycleListenerCollection.java:142) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.wicket.util.listener.ListenerCollection.notify(ListenerCollection.java:80) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.wicket.request.cycle.RequestCycleListenerCollection.onRequestHandlerResolved(RequestCycleListenerCollection.java:141) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.wicket.request.cycle.RequestCycle.execute(RequestCycle.java:254) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.wicket.request.cycle.RequestCycle.processRequest(RequestCycle.java:212) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.wicket.request.cycle.RequestCycle.processRequestAndDetach(RequestCycle.java:283) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.wicket.protocol.http.WicketFilter.processRequest(WicketFilter.java:185) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.wicket.protocol.http.WicketFilter.doFilter(WicketFilter.java:241) {code},,,,,,,,,,
37778,,,,,,,,The call to launchDialog must supply a component for delivery of the returnListener event. This bug is invalid.,,,,,,,,,,,,,
65088,,,,,,,,The fix for SMXCOMP-759 also resolve this issue,,,,,,,,,,,,,
21128,x,,,,,,,thanks,,,,,,,,,,,,,
12989,,,,,,,,Already resolved with WW-3414,,,,,,,,,,,,,
31347,,,,x,,,,This has been in RESOLVED state for over one year so now closing; if it turns out to not be fixed please re-open.,,,,,,,,,,,,,
19423,,,,,,,,Attached QuickStart. Access URL is https://localhost:8443/test/ajaxtest - click on the buttons several times - refresh page: the counters should now reflect the clicks - click on the buttons more times - refresh page: the counters do not reflect click after first refresh,,,,,,,,,,,,,
71371,,,,,,,,Tested this fix with two servlet containers (Jetty and Day Servlet Engine) as well as with Firefox 2 on Linux and Windows and Firefox 3 (Windows); IE6 (Windows) and Safari (Windows). Provided the data is submitted as a multipart/form-data POST request; the form data is correctly encoded and may be used for further perusal. Considering this issue fix.,,,,,,,,,,,,,
7577,,,,,,,,patch in cvs. Could you please verify?,,,,,,,,,,,,,
12310,x,,,,,,,Very cool. Thank you.,,,,,,,,,,,,,
45473,,,,,,,,Integrated in Thrift #633 (See https://builds.apache.org/job/Thrift/633/) THRIFT-1879 Add support for GObject-Introspection (Revision a51186b7f2bd388d95485404017f05eb3b861074) Result = ABORTED roger : https://git-wip-us.apache.org/repos/asf?p=thrift.git&a=commit&h=a51186b7f2bd388d95485404017f05eb3b861074 Files : lib/c_glib/src/thrift/c_glib/transport/thrift_transport.h lib/c_glib/src/thrift/c_glib/server/thrift_simple_server.h lib/c_glib/src/thrift/c_glib/transport/thrift_buffered_transport.h lib/c_glib/src/thrift/c_glib/transport/thrift_framed_transport.h lib/c_glib/src/thrift/c_glib/protocol/thrift_protocol_factory.h lib/c_glib/src/thrift/c_glib/protocol/thrift_binary_protocol_factory.h lib/c_glib/src/thrift/c_glib/transport/thrift_server_socket.h lib/c_glib/src/thrift/c_glib/protocol/thrift_binary_protocol.h lib/c_glib/src/thrift/c_glib/server/thrift_server.h lib/c_glib/src/thrift/c_glib/transport/thrift_transport_factory.h lib/c_glib/src/thrift/c_glib/transport/thrift_server_transport.h lib/c_glib/src/thrift/c_glib/thrift_application_exception.h lib/c_glib/src/thrift/c_glib/transport/thrift_memory_buffer.h lib/c_glib/src/thrift/c_glib/transport/thrift_socket.h lib/c_glib/src/thrift/c_glib/protocol/thrift_protocol.h lib/c_glib/src/thrift/c_glib/thrift_struct.h,,,,,,,,,,,,,
20968,,,,,,,,Integrated in Apache Wicket 1.5.x #54 (See [http://hudson.zones.apache.org/hudson/job/Apache%20Wicket%201.5.x/54/]) åÊåÊåÊåÊ,,,,,,,,,,,,,
62999,,,,,,,,@Noble Paul I cooked something resembling a backport here SOLR-3079,,,,,,,,,,,,,
60365,,,,,,,,Fix committed as part of SOLR-4134.,,,,,,,,,,,,,
29394,,,,,,x,,Closing this issue - if more needs to be done; maybe it would be better to open an new issue - this one has gotten rather large,,,,,,,,,,,,,
7380,,,,,x,,,As a work around; I scan the XML document to locate the namespaces which are then compared against a look-up file to see which schemas to load in the grammar. The only reason this was done is because DOMEntityResolver did not trigger for all namespaces. I am using version 2.7 and the option to trigger on all namespaces would be useful.,,,,,,,,,,,,,
81302,,,,,,,,Changes merged to the 0.16 branch; updating the fix-for version accordingly.,,,,,,,,,,,,,
19722,,,,,,,,Just an idea: how about treating a jar as versioned resource? For example in my case that would work beautifully: my star rating component was in its own jar file; so everything would have the same version somewhere above; and all the relative URLs would resolve just fine. Since jar is pretty much invisible at runtime maybe we can have some version marker inside package; and then version in the URL can be at the level; so all other relative URLs inside package would work fine below that level. That might make sense for other cases: for example a skin for application where bunch of images and css and scripts can be packaged.,Technically a resource is something that responds to a request with some kind of response to the client. A package is just a virtual location represented by a file system folder or a jar file location. So it should be treated differently from a resource. But I could imagine it makes sense to support urlFor(...) to resolve a package location. However this has to be discussed first and will not happen before 1.5.0 since we are almost gone final.,some obsolete documentation - thanks for the pointer :-),Oh; and if possible the change need to be better communicated/hinted in the documentation because dr. Google and wiki documentation point at the timestamp approach https://cwiki.apache.org/WICKET/caching-in-wicket-15.html,I think supporting package as a resource makes a lot of sense because it is widely used practice to lookup additional resources like images and css files based on 'root' location.,not pretty but working: String url = urlFor(new ResourceReference(StarRatingPanel.class; 'img') { @Override public IResource getResource() { return new IResource() { @Override public void respond(Attributes attributes) { } }; } }; new PageParameters()).toString(); log.info('url=' + url); Basically it's a kludge to resolve the url to a package location with a resource reference pointing to a non-existant resource. I don't know if a package counts as a resource. Maybe we should add some kind of official support for that?!,Like Martin said; you can use a custom caching strategy. sample ------------- private abstract class CustomResourceCachingStrategy implements IResourceCachingStrategy { private final IResourceCachingStrategy delegate; public CustomResourceCachingStrategy(IResourceCachingStrategy delegate) { this.delegate = delegate; } @Override public void decorateUrl(ResourceUrl url; IStaticCacheableResource resource) { if (shouldCache(resource)) { delegate.decorateUrl(url; resource); } } @Override public void undecorateUrl(ResourceUrl url) { delegate.undecorateUrl(url); } @Override public void decorateResponse(AbstractResource.ResourceResponse response; IStaticCacheableResource resource) { if (shouldCache(resource)) { delegate.decorateResponse(response; resource); } } åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊ// override for your needs e.g. by using a marker interface protected abstract boolean shouldCache(IStaticCacheableResource resource); } and use it like this: final IResourceCachingStrategy delegate = getResourceSettings().getCachingStrategy(); getResourceSettings().setCachingStrategy(new CustomResourceCachingStrategy(delegate));,The resource knows this by implementing IStaticCacheableResource. Create a custom resource that doesn't implement this interface and its url wont be versioned.,This approach makes creates tight coupling with top level entity: CachingStrategy and makes it necessary to use custom strategy. That does not seem to be better than little hint from resource if it participates in the versioning.,I think this is possible with custom caching strategy (see last comment by Peter above). Your custom strategy can do nothing in org.apache.wicket.request.resource.caching.IResourceCachingStrategy.decorateUrl(ResourceUrl; IStaticCacheableResource) for the resources you decide.,The approach implemented is a blanket one - what is removed is the ability to selective remove versioning from a particular resource. I do not need timestamp in particular; but a way to let wicket know that THIS resource should not use versioned URL. IMO this is a valid use case. Please consider returning some sort of marker method to ResourceReference to allow using custom versioning; or no versioning at all.,to manually remove the version dependant part of the url you eventually could use: åÊåÊApplication#getResourceSettings().getCachingStrategy().undecorateUrl(url),PackageResourceReference#getLastModified() was introduced when adding improved caching support for package resources. Recently there was a refactor (https://issues.apache.org/jira/browse/WICKET-3948) to remove some limitations of this approach. PackageResourceReference#getLastModified() became obsolete and was therefore removed. If you really need lastModified() from within PackageResourceReference you can use this (though it's a little inconvenient): åÊåÊPackageResourceReference reference = /* ... */; åÊåÊPackageResource resource = (PackageResource)reference.getResource(); åÊåÊTime lastModified = resource.getResourceStream().lastModifiedTime(); If we get another release candidate for 1.5 I will remove the need for the type-cast. IResourceSettings#setUseTimestampOnResources() has been replace by a more powerful solution. check https://cwiki.apache.org/WICKET/migration-to-wicket-15.html#MigrationtoWicket1.5-getResourceSettings%2528%2529.setAddLastModifiedTimeToResourceReferenceUrl%2528%2529hasbeenreplacedbyIResourceCachingStrategy to get all the details.,åÊval imgUrl = RequestCycle.get().urlFor(new PackageResourceReference(classOf[StarRatingPanel]; 'jquery.raty-1.0.1/img'){ åÊåÊåÊåÊåÊåÊoverride def getLastModified = null//prevent cacheable urls <-- this does not work any more åÊåÊåÊåÊ}; null) åÊåÊåÊåÊresponse.renderJavaScript('$j.fn.raty.defaults.path= '' + imgUrl + '';'; 'raty-images-fix')
68136,,,,,,,,Committed to the 3.2 branch via revision 634707 and to the trunk (3.3) via revision 634714.,,,,,,,,,,,,,
16677,,,,,,,,Property editors may throw a PropertyException with a bundle key and this will then be localized in ActionSupport.,Can we get more specifics here?,,,,,,,,,,,,
42086,x,,,,,,,Thanks to Simon Kitching.,,,,,,,,,,,,,
10261,,,,,,,,I checked that this bug was fixed in version 2.5.2.,,,,,,,,,,,,,
13977,,,,,,,,Assigning this to future until the dependent XWork enhancement is made.,,,,,,,,,,,,,
77769,,,,,,,,Closing resolved but not fixed (i.e.; duplicate; invalid; cannot reproduce; etc.) issues.,,,,,,,,,,,,,
12867,,x,,,,,,Integrated in Struts2 #545 (See https://builds.apache.org/job/Struts2/545/) WW-3881 allows new html input types (Revision 1397712) Result = SUCCESS lukaszlenart : Files : /struts/struts2/trunk/core/src/site/resources/tags/ajax/autocompleter.html,Resolved,I have tested with the latest SNAPSHOT and all is OK now. Thanks for the fix.,Should work with latest SNAPSHOT. Can you please test?,,,,,,,,,,
7665,x,,,,,,,Verified; thanks.,Fix in CVS.,,,,,,,,,,,,
46121,,,,,,,,----------------------------------------------------------- This is an automatically generated e-mail. To reply; visit: https://reviews.apache.org/r/1023/ ----------------------------------------------------------- (Updated 2011-07-08 20:04:37.543693) Review request for Thrift. Changes ------- Adding bug number for tracking. Summary ------- Remove bogus include. TAsyncChannel includes TTransportUtils but doesn't need/use it. This addresses bug THRIFT-1231. https://issues.apache.org/jira/browse/THRIFT-1231 Diffs /lib/cpp/src/async/TAsyncChannel.h 1143615 Diff: https://reviews.apache.org/r/1023/diff Testing ------- make check in lib/cpp Thanks; Diwaker,,,,,,,,,,,,,
58473,,,,,,,,rules/,,,,,,,,,,,,,
78759,x,,,,,,,Fixed; thanks for the patch. http://svn.apache.org/viewcvs.cgi?rev=354520&view=rev,,,,,,,,,,,,,
26572,x,,,,,,,Thanks for testing; Shinobu. Probably a misconfiguration. Chris; try asking on the user list if this problem persists.,,,,,,,,,,,,,
17727,,,,,,,,Verified. I added the info to the RELEASE_NOTES file.,I'm closing this as we aren't planning to implement the only remaining issue. I propose we just add an item to the release notes that we're 99% conformant apart from child iframe support.,WOOKIE-308 is the only remaining issue affecting conformance; we aren't going to fix that for 0.9.2 so I'll re-open this issue and punt to 0.10.0 to fix along with WOOKIE-308,OK; I've checked again and it looks like the WebStorage spec changed or I misinterpreted it: while clear() must remove the entries; getItem() must return Null rather than undefined when requesting a non-existing item: widget.preferences.clear(); // get rid of everything widget.preferences.setItem('foo'; null); // set 'foo' to equal null widget.preferences.getItem('foo'); // tuple exists and is set to null; return null widget.preferences.getItem('completely_undefined_bar'); tuple doesn't exist; return null I've updated Wookie and we can now pass test 'at'. We don't pass 'au' but I'll raise another issue for that.,(commits in the w3c test cases repo; not wookie!),OK; looks like my commits fixing the two tests were reverted; so no wonder at and au fail now. I'll follow that up and see if I can resolve it.,Hmm; I updated the 'at' and 'au' test cases at W3C to check for typeof==='undefined' rather than Null so they shouldn't be failing now...,I have just re-run all these tests on Windows 7; in the following environments... IE 9 Firefox 9.0.1 Opera 11.10 Google Chrome 16.0.912.75 m and the results were the same in each case... Test 'return-empty-strings' fails because widget.id returns wookies internal generated Id (expected behavior for wookie) Test 'setItem-fires-event' fails (storage event from iframe) Test 'removeItem-fires-event' fails (storage event from iframe) Test 'clearItem-fires-event' fails (storage event from iframe) Test 'Test at' fails because widget expects window.widget.preferences.getItem('deletable') to be null. it is actually 'undefined' Test 'au' fails because widget expects prefs.getItem('test1') to be null. it is actually 'undefined' It looks to me that this is in keeping with Scotts results; ok to verifiy now?,So here's the summary: #1 Fixed #2 Not a bug - I think its reasonable we pass on generated ids in the metadata #3 I don't think its really relevant as its an edge case. If anyone asks for sending storage events to child frames we can do it; but its not exactly urgent. #4 This is a test error - I've filed a bug with w3c ... so I'm closing the issue,I've fixed the engine.js error - this was caused by trying to delete prefs that throw a NO_MODIFICATION_ALLOWED_ERR . However the test case itself seems to be wrong as it expects cleared prefs to be === Null rather than typeof 'undefined'.,Current test results (0.9.2 rev 1199782) show mostly green; the following red: 1 Test preferences_attrreadonly failed because preferences in window.widget is not read-only 2 Test return-emtpy-strings failed because one of the attributes returned an incorrect value 3 Test did not run or storage event was never fired. 4 Test au failed because the values of the stored preferences were not what they should have been. #1 is because the preferences attribute itself is not read-only #2 is because we always generate an ID for a widget; even if it doesn't have one by default. #3 is a bit of a strange one to implement I'm not sure what causes the problem with #4; but it throws an engine.js error.,,,
27659,,,,,,,,Closing as FIXED,,,,,,,,,,,,,
2463,x,,,,,,,Added a couple small points I missed before; and fixed (I hope) some formatting. Thanks. If anyone notices any misuses of the document formatting please let me know. Thanks!,,,,,,,,,,,,,
12298,x,,,,,,,The issue is very old. Can you please confirm it with the latest CVS source cut ? Thanks!,,,,,,,,,,,,,
67087,,,,,,,,resolved,,,,,,,,,,,,,
63758,,,,,,,,Committed revision 682671. Added an excludes for **/target/ to the patch to make sure the DataImportHandler binaries do not get packaged. Thanks Jeremy!,Quick patch to add contrib/** to the package task. This may be all that is required; but I'm not for sure.,,,,,,,,,,,,
48779,x,,,,,,,Thanks for the issue / steps to resolve. Pretty much did what you said verbatim. (as it worked out on the other regexp issue),,,,,,,,,,,,,
16927,,,,,,,,I'll update the javadoc accordingly.,,,,,,,,,,,,,
65869,,,,,,,,please apply these two patches in the $SMX4.0/runtime/trunk & $SMX4.0/nmr/trunk respectively. As Guillaume's mentioned above: Define a deploymentListener in the filemonitor module. Define a JBI artifactDeployment Listener for dealing with JBI artifact; to transform it to OSGified bundle automatically. With these two little patch; users can put JBI artifact in the deploy folder directly to install & start it.,,,,,,,,,,,,,
9798,,,,,,,,closing this issue.,,,,,,,,,,,,,
50490,,,,,,,,Integrated in tapestry-trunk-freestyle #515 (See [https://builds.apache.org/job/tapestry-trunk-freestyle/515/]) åÊåÊåÊåÊTAP5-1621 - Fixed test joshcanfield : http://svn.apache.org/viewcvs.cgi/?root=Apache-SVN&view=rev&rev=1167447 Files : * /tapestry/tapestry5/trunk/tapestry-ioc/src/test/java/org/apache/tapestry5/ioc/internal/services/TypeCoercerImplTest.java,,,,,,,,,,,,,
