id,love,joy,surprise,anger,sadness,fear,notes,comment N,comment N-1,comment N-2,...,comment 2,comment1,,,,,,,,,,,,,,,,
74046,x,x,,,,,,Looks good; the other services had the type hinting too; so this was indeed an erroneous situation. Applied & Committed; thanks!,,,,,,,,,,,,,,,,,,,,,
61559,,,,,x,,,The other precedences are OK; as far as I can tell... not worth messing around in the code for no demonstrable benefit.,I don't see anything else that looks wrong; so what do people think about doing this?,I went ahead and looked at the ternary operator (those I could find with grep) and here's the results. Not sure it's worth doing; anyone want to chime in? Although this construct is 'exciting'... luceneSort || sortMissingFirst && !reverse || sortMissingLast && reverse ? '' : 'zzz';,Dear God! You mean the intent here is: return (pf.filter==null && pf.postFilter==null) ? qr.getDocSet() : null; ??? gotta confess I just saw the pattern and jumped to conclusions; hadn't examined the code at all. But you've just made the job tougher... Wait; I know! I'll just write something in awk to convert everything in the source tree. The ternary operator really annoys me for this very reason... rant; rant; rant.....,the last line is: return pf.filter==null && pf.postFilter==null ? qr.getDocSet() : null; This is correct; but feel free to add parens to clarify.,Sorry for the spam; but there are backslashes in front of the pipe symbols in all the REs; silly website doesn't let them through |,I love it when a better solution occurs to me the instant I post something..... ||[^\(]+==.*?,,,,,,,,,,,,,,,
26551,,,,,x,,,used struts for 2 years now - no clue whether it has been fixed,Hi; Taking a look at this old bug. It puzzles me what it's about. If you're still interested; could you be more specific as to what specific error messages you are looking for? Otherwise; I'd like to close it. Thanks.,As per http://nagoya.apache.org/bugzilla/show_bug.cgi?id=15947; please i) please configure Bugzilla to also allow for 1.4 since it appears to be this; ii) provide a command-line parameter/build.xml target that tells in detail about the velocity version. Both -debug and -verbose don't appear to provide any better information than the velocity.log file. But I am happy to attach the velocity.log and both tee'ed ant-runs if you wish.,I'm guessing you'd need to either patch the source; or invoke Ant with the -debug or -verbose options. What version of Velocity are you using? 1.0 is very old.,the html file basically only has <!-- start the processing --> åÊåÊ#header() åÊåÊåÊåÊåÊåÊ#footer() <!-- end the processing --> I figured some more information could be found in velocity.log rhauser@RHAUSERPCGF590K:~/<7>anakia/build> g error * velocity.log:Mon Jan 13 19:50:24 CET 2003 [error] ResourceManager : unable to f ind resource 'VM_global_library.vm' in any resource loader. velocity.log:Mon Jan 13 19:50:24 CET 2003 [info] Velocimacro : error using VM åÊlibrary template VM_global_library.vm : org.apache.velocity.exception.ResourceN otFoundException: Unable to find resource 'VM_global_library.vm' velocity.log:Mon Jan 13 19:50:25 CET 2003 [error] RHS of #set statement is null . Context will not be modified. ./site.vsl [line 2; column 3] rhauser@RHAUSERPCGF590K:~/<7>anakia_rh/build> but how does that get me closer to being able to rebuild the ant-faq with anakia from the faq.xml? see also: http://nagoya.apache.org/bugzilla/show_bug.cgi?id=15949,,,,,,,,,,,,,,,,,
38439,,,,,,,,Appled patch with some changes to compile with the new public rendering API.,,,,,,,,,,,,,,,,,,,,,
398,,x,,,,,,+1 overall. Here are the results of testing the latest attachment http://issues.apache.org/jira/secure/attachment/12509655/patch.txt against trunk revision 1227927. +1 @author. The patch does not contain any @author tags. +1 tests included. The patch appears to include 3 new or modified tests. +1 javadoc. The javadoc tool did not generate any warning messages. +1 javac. The applied patch does not increase the total number of javac compiler warnings. +1 findbugs. The patch does not introduce any new Findbugs (version 1.3.9) warnings. +1 release audit. The applied patch does not increase the total number of release audit warnings. +1 core tests. The patch passed core unit tests. +1 contrib tests. The patch passed contrib unit tests. Test results: https://builds.apache.org/job/PreCommit-ZOOKEEPER-Build/882//testReport/ Findbugs warnings: https://builds.apache.org/job/PreCommit-ZOOKEEPER-Build/882//artifact/trunk/build/test/findbugs/newPatchFindbugsWarnings.html Console output: https://builds.apache.org/job/PreCommit-ZOOKEEPER-Build/882//console This message is automatically generated.,,,,,,,,,,,,,,,,,,,,,
2557,x,,x,,,,,I like MemoryResourceCalculator (or MemoryBasedResourceCalculator) better as well; that was my first choice; and is what the attached patch uses. Arun went with that on YARN-2 but people objected; if people are OK with it now then let's go with it. I don't think proliferation of many class names will be an issue.,,,,,,,,,,,,,,,,,,,,,
45983,,,,,x,,,No longer required; solved with THRIFT-1366. There will be no D7 support.,Sorry for the spam - I just discovered that JIRA allows to have sub-tasks,,,,,,,,,,,,,,,,,,,,
29404,,,,,,x,,To be consistent with the preferred syntax in JIRA-1146; we will adopt the following syntax: <remoteAnalysisEngine remoteReplyQueueScaleout='nn1' > .... </remoteAnalysisEngine> I will start to do the work based on the above syntax if there is no objection _x0089_ÛÒ Tong,,,,,,,,,,,,,,,,,,,,,
4691,,x,,,,,,Fixed; closing,,,,,,,,,,,,,,,,,,,,,
46218,,,,,,,,was introduced with THRIFT-1267,,,,,,,,,,,,,,,,,,,,,
5721,x,,,,,,,All of the components in the configuration get reset before parsing begins. This gives each component an opportunity to read features and properties from the configuration; and also to set its internals to the state it needs to be in before it is used by the configuration.,Thanks for the reply. Can you clarify one more thing. I'm using XML schemas only and no DTD; so the only option is what you are suggesting. Also; you are saying that it gets dumped on reset to remove entities from the previous parse; but there was no previous parse. It is the first/initial parse that gets them reset. Is that the correct thing to do? I can see that they would need to be reset per parse. Thanks; Julio,This is working as designed. The table of entities in the XMLEntityManager is transient. This table gets filled by the DTDScanner as it reads entity declarations in the DTD. It gets dumped on reset to remove entities from the previous parse. If you want the parser to recognize arbitrary entities (which aren't declared anywhere) then you should probably create your own parser configuration; perhaps one which extends one of the Xerces configurations. If you extended IntegratedParserConfiguration for instance; and overloaded createEntityManager with your own extentsion of XMLEntityManager which you load with some persistent predefined entities; you can achieve what you want. Just be warned that these implementation classes may change between releases. If you're comfortable with that; then this approach should work for you.,,,,,,,,,,,,,,,,,,,
61118,,,x,,,,,I do have some interest in working on this; but it's not currently on my radar. Implementing SOLR-4241 would illustrate the issues that need fixing ... although if this is tackled first; writing SOLR-4241 would be much easier.,I have closed older issues SOLR-2728 and SOLR-2729; any work on those issues can continue in this one. SOLR-2729 has a patch attached. I haven't checked to see if this issue is a duplicate; but I would not be surprised if it is. This is part of an effort to close old issues that I have reported. Search tag: elyograg2013springclean,Here are some general ideas; preliminary because I have not taken a close look at the code yet. For reference; here is a completed status response on a full-import from 3.5.0:  <?xml version='1.0' encoding='UTF-8'?> <response>  <lst name='responseHeader'>   <int name='status'>0</int>   <int name='QTime'>0</int> </lst> <lst name='initArgs'>   <lst name='defaults'>     <str name='config'>dih-config.xml</str>   </lst> </lst> <str name='status'>idle</str> <str name='importResponse'/> <lst name='statusMessages'>   <str name='Total Requests made to DataSource'>1</str>   <str name='Total Rows Fetched'>11287894</str>   <str name='Total Documents Skipped'>0</str>   <str name='Full Dump Started'>2012-04-03 17:38:01</str>   <str name=''>Indexing completed. Added/Updated: 11287894 documents. Deleted 0 documents.</str>   <str name='Committed'>2012-04-03 20:16:32</str>   <str name='Total Documents Processed'>11287894</str>   <str name='Time taken '>2:38:31.314</str> </lst> <str name='WARNING'>This response format is experimental.  It is likely to change in the future.</str> </response>  I was thinking it might be a good idea to have two response sections in addition to the echoParams section already mentioned - one for a human readable response and one for a relatively terse machine readable response. The human readable version would be fairly open to change; and could include extra verbiage so it's very understandable for a person. The machine readable version would have more elements; each of which is very simple; probably just a numeric value or a true/false indicator. A design decision needs to be made early - do we include all elements in every response (with the value set to zero; blank; or false); even if they don't apply to the current status? My first instinct is to include all elements; but maybe that's wrong.,Here's an idea; at least for 3x; assuming it's not unilaterally killed by the bug-fix-only mode: A configuration knob to use the old response or the new response. It would default to old. For 4.0; that configuration knob seems like a good idea; defaulting to the new response. In 4.1 or 5.0; the old response gets removed.,I don't think this can be done for 3.x as the branch is in bug-fixes-only mode. Also; this will create backwards-incompatible changes for users' scheduling programs; so this kind of thing is better suited for a new major release.,I personally would like to see this included in 3x; since that's what I use. How do the rest of you feel about that?,,,,,,,,,,,,,,,,
60817,,,,,,,,removing fixVersion=4.0 since there is no evidence that anyone is currently working on this issue. (this can certainly be revisited if volunteers step forward),,,,,,,,,,,,,,,,,,,,,
58767,,,,,,x,,Unfortunately no: - looking at ServerSession.userAuth where it sets the state to Running: åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊbuffer = createBuffer(SshConstants.Message.SSH_MSG_USERAUTH_SUCCESS; 0); åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊwritePacket(buffer); åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊsetState(State.Running); åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊthis.authed = true; åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊthis.username = username; åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊunscheduleAuthTimer(); åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊscheduleIdleTimer(); the event is triggered before this.username is updated so the observer doesn't have access to that value. If the set is moved to later than I can eliminate two hacks (I suspect this.username should be updated far earlier when userauth_request arrives; but that would be a change in getUsername's semantics); however ... - as I mentioned above; instead of overloading ServerSession I should be defining my own service type and adding that; I've created SSHD-211 and attached a patch to illustrate the basic idea,Andrew; do you think the above commit is sufficient for your needs ?,URL: http://svn.apache.org/viewvc?rev=1434652&view=rev,This should solve my immediate problem (once the git repos are settled I will apply and test). However; looking at my code (which is now kind of working!) and SSHD-205 I suspect there's a better more invasive solution. Since my service is custom; instead of overloading ServerSession and looking for events; I should be registering my own service with SshServer. To sketch the idea out: - add an SshService factory to SshServer that maps a service name onto a service. The table would include ssh-userauth (rfc4252); and ssh-connection (rfc4254); and my custom service - separate ssh-userauth and ssh-connection from ServerSession so that they are are standalone services; and the latter just worries about the transport (rfc4253) - when the transport receives SSH_MSG_SERVICE_REQUEST; it could then instantiate the requested service and pass non-transport requests along to it - ssh-userauth; once authentication has finished; would also instantiate the requested service (passing it the authenticated user credentials) and update ServerSession My custom service would then see the following events from ServerSession / ssh-userauth - authenticated / requested when instantiated (or perhaps a separate explicit message) - a separate closed message when ServerSession sees the connection dropped et.al. Once the git repo is up; I might just play with the idea. It is very invasive.,The SSHD repository is in maintenance mode; so I can't commit what I've done now; but I've added a Session#getState() method and a SessionListener#sessionChanged() method so that you will be able to register a listener and be informed of session state changes. In your case; you'll have to check the sessionChange call with a Running state and the sessionClosed call.,,,,,,,,,,,,,,,,,
13391,,,,,,,,I am also having the same issue with a java.sql.Timestamp based attribute. The date I entered into the field was 'not a date'. Of course; XWorkBasicConverter fails to convert successfully and throws an XWorkException; then it is downhill from there on. When attempting to find the method to call in OgnlRuntime it appears to look for a String parameter; when it should be looking for the java.sql.Timestamp parameter.,I think it's related to the same problem with primitives (and wrappers) convertion,,,,,,,,,,,,,,,,,,,,
20748,,,,,,,,Integrated in Apache Wicket 1.4.x #58 (See [http://hudson.zones.apache.org/hudson/job/Apache%20Wicket%201.4.x/58/]) åÊåÊåÊåÊ,,,,,,,,,,,,,,,,,,,,,
62999,,,,,,,,@Noble Paul I cooked something resembling a backport here SOLR-3079,,,,,,,,,,,,,,,,,,,,,
28310,,,x,,,,,Change the element type of 'attributes' to FSAttribute.,Side note: I was surprised that nothing in UIMA detected this situation at run-time. Apparently; the element type can be anything. It's not enforced.,,,,,,,,,,,,,,,,,,,,
70304,x,x,,,,,,Fine. So I resolve this with just upgrading the used SLF4J API,,,,,,,,,,,,,,,,,,,,,
20729,x,,,,x,,,Sorry; I've reread the IOC code; and you're right. This is indeed not an issue. My apologies..,,,,,,,,,,,,,,,,,,,,,
48885,,,x,,,,,I'm working with Liferay 5.1.2 / Tapestry 4.0.2 and that patch did not work for me. The IllegalStateException I obtain is thrown by service method of AbstractEngine: Error producing exception report: java.lang.IllegalStateException ERROR [STDERR] Session id : ERROR [STDERR] ERROR [STDERR] java.lang.IllegalStateException ERROR [STDERR] com.liferay.portlet.StateAwareResponseImpl.setRenderParameter(StateAwareResponseImpl.java:154) ... ERROR [[RP]] Servlet.service() for servlet RP threw exception [exec] java.lang.IllegalStateException Code: @InjectObject('service:tapestry.portlet.ActionResponse') public abstract javax.portlet.ActionResponse getActionResponse(); getActionResponse().sendRedirect(Portal-Login-Url); The Exception is thrown; but the redirect still works and every action done before seems to be rolled back (redirect to Portal-Login works; but Portlet-Login not) So i modified the service method of AbstractEngine to catch IllegalStateException: public void service(WebRequest request; WebResponse response) throws IOException { ... catch (PageRedirectException ex) { åÊåÊåÊåÊhandlePageRedirectException(cycle; ex); } catch (RedirectException ex) { åÊåÊåÊåÊhandleRedirectException(cycle; ex); } catch (StaleLinkException ex) { åÊåÊåÊåÊhandleStaleLinkException(cycle; ex); } catch (StaleSessionException ex) { åÊåÊåÊåÊhandleStaleSessionException(cycle; ex); } //New catch(IllegalStateException ex) { åÊåÊåÊåÊåÊhandleIllegalStateException(cycle; ex); } ... I know; thats not the ideal solution; but it works with Liferay.,,,,,,,,,,,,,,,,,,,,,
26184,,,,,,,,patch applied.,,,,,,,,,,,,,,,,,,,,,
56783,,,,x,,,,This test is not appearing in the nightly build results. When it does (and is passing); I'll close this issue.,http://svn.apache.org/viewvc?view=rev&revision=654588,Discussion related to this issue can be found in the archives.,,,,,,,,,,,,,,,,,,,
75082,,,,,,x,,I intend to close this issue as fixed in a week's time. Please post your comments if you're able to test by then.,,,,,,,,,,,,,,,,,,,,,
20061,,,,,,,,Fixed with r1097472.,,,,,,,,,,,,,,,,,,,,,
47248,,,,,,,,In r681863,The attached patch should fix this issue,,,,,,,,,,,,,,,,,,,,
35420,,,,,,x,,put backdoor cleanup v3.3 target,Can we move this out to 3.3.0 ? If so; mark it accordingly.,,,,,,,,,,,,,,,,,,,,
