id,love,joy,surprise,anger,sadness,fear,notes,comment N,comment N-1,comment N-2,...,comment 2,comment1,,,,,,,,,,,,,,,,,,
41306,,,,,,,,The above code is a part of a dataTable of course ...,I used the latest build taken from few days ago. This is a code example: ------------------------------------- åÊåÊ<f:facet name='footer'> åÊåÊåÊåÊ<h:panelGroup> åÊåÊåÊåÊåÊåÊ<h:outputLink value='test_profile_details.jsp'> åÊåÊåÊåÊåÊåÊåÊåÊ<h:outputText value='New' /> åÊåÊåÊåÊåÊåÊ</h:outputLink> åÊåÊåÊåÊåÊåÊ<f:verbatim>&nbsp;|&nbsp;</f:verbatim> åÊåÊåÊåÊåÊåÊ<h:commandLink value='Edit' action='#{test_profile_manage.editAction}' åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊonclick='if(!checkAction('profileTable';'edit')){return false;}'/> åÊåÊåÊåÊåÊåÊ<f:verbatim>&nbsp;|&nbsp;</f:verbatim> åÊåÊåÊåÊåÊåÊ<t:commandLink value='Set Inactive' action='#{test_profile_manage.setInactiveAction}' åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊonclick='if (!confirm('Are you sure you would like to set Profile inactive?')) { return false }'/> åÊåÊåÊåÊ</h:panelGroup> åÊåÊ</f:facet>,that sounds pretty much like TOMAHAWK-1052 have you used the latest nightly build of the sandbox? if so; could you paste an example JSP/facelets snipped to show how you embedded the verbatim tags in the table. Thanks in advance,,,,,,,,,,,,,,,,,,,,,
76385,,,,,,,,Cool. Thanks for considering my bug report!,,,,,,,,,,,,,,,,,,,,,,,
37992,,,,,,,,The issue as described by (resolved) issue TRINIDAD-1171 occurs consistently in our environment using 1.2.10;,Hi everybody; we face the same problem when any trinidad validator in our application fires off. As soon as you click somewhere in the screen (on the invalid component or somewhere else on thet screen) an hourglass appears and the application is hanging. The only way to stop the hourglass is to click once somehwere on the tooblar (top part of screen) of your IE browser. Does anybody know when this will be assigned to; as we are using trinidad in a new project and this bug might make the entire framework useless in a production environment. I would like to add that the problem does not occur in firefox. Many thx in advance!,I should add; this is a required field and uses PPR to refresh. Selecting the unselectedLabel causes a validation error to appear.,,,,,,,,,,,,,,,,,,,,,
28865,,,,,,,,Fixed a prompt that asks user to enter either 's' or 'q'.,Missed another prompt message to update in UIMA_Service.,The log4j warning is actually described in UIMA-1649. It will be addressed there.,,,,,,,,,,,,,,,,,,,,,
32383,,,,,,,,Closing because this has been in RESOLVED state for over one year; if it turns out to not be fixed please reopen.,Added unti test for JavaPropertyValueObjectFactory in SVN revision 648256. Marking bug as fixed.,I've committed a fix to handle the extra exceptions in SVN revision 648251. The exception now looks like: org.apache.tuscany.sca.core.factory.ObjectCreationException: Failed to create instance for property intField with value at org.apache.tuscany.sca.implementation.java.injection.JavaPropertyValueObjectFactory$ObjectFactoryImpl.getInstance(JavaPropertyValueObjectFactory.java:226) <stack trace snipped here> Caused by: java.lang.NumberFormatException: For input string: '' at java.lang.NumberFormatException.forInputString(NumberFormatException.java:48) at java.lang.Integer.parseInt(Integer.java:468) at java.lang.Integer.parseInt(Integer.java:497) at org.apache.tuscany.sca.databinding.impl.XSDDataTypeConverter.parseInt(XSDDataTypeConverter.java:771) at org.apache.tuscany.sca.databinding.impl.SimpleTypeMapperImpl.toJavaObject(SimpleTypeMapperImpl.java:280) at org.apache.tuscany.sca.implementation.java.injection.JavaPropertyValueObjectFactory$ObjectFactoryImpl.getInstance(JavaPropertyValueObjectFactory.java:224) ... 22 more,The cause of this issue is that the class JavaPropertyValueObjectFactory in implementation-java-runtime calls the simpleTypeMapper.toJavaObject() method which will throw NumberFormatException or IllegalArgumentException if the data it is attempting to convert is not valid. The fix for this issue is to add try/catch block for these two exceptions and make sure the Property name is in the exception.,,,,,,,,,,,,,,,,,,,,
77849,,,,,,,,Confirmed with Dave that this can be closed.,I'll take a look at your fix,A test.jsp with a copy of code exhibited the problem; then with this fix the problem was solved. Not tested in a running Roller yet.,Looks like a problem in the Hibernate HQL. Digging into the code; I've added the line: criteria.add(Expression.eq('relation'; 'PARENT')); to getWeblogCategories of HibernateWeblogManagerImpl.java,,,,,,,,,,,,,,,,,,,,
5711,,,,,,,,Venu committed your patch. It's in Xerces 2.6.0. Please verify.,,,,,,,,,,,,,,,,,,,,,,,
17964,,,,,,,,Fixed.,r611033 committed a testcase.,r611032 Fixed NPE and changed WSDL520 error handling so that a null NS uri will not result in this error being reported.,Attached patch file with code fix and supporting test case.,Attaching WSDL,,,,,,,,,,,,,,,,,,,
60965,,,,,,,,Hoss; any interest in bring this patch forward to trunk?,,,,,,,,,,,,,,,,,,,,,,,
17394,,,,,,,,Andreas; I can see the benefit; but I'm not entirely sure how to do it. Perhaps you could provide a patch? David,,,,,,,,,,,,,,,,,,,,,,,
11480,,,,,,,,Retest shows Running xalan on lre02 <?xml version='1.0' encoding='UTF-8'?> <out xmlns='www.lotus.com' xmlns:ped='http://tester.com' english='to leave'/> Running XSLTC with Xerces Parser on lre02 <?xml version='1.0' encoding='UTF-8' ?> <out xmlns:ped='http://tester.com' xmlns='www.lotus.com' english='to leave'/>,This was caused by a bug in xpath.cup. Non-prefix elements that were referenced in expressions in the stylesheet were given the stylesheet's default namespace instead of the null namespace.,lre03 is closely related and seems to exhibit the same problem.,,,,,,,,,,,,,,,,,,,,,
61118,,,,,,,,I do have some interest in working on this; but it's not currently on my radar. Implementing SOLR-4241 would illustrate the issues that need fixing ... although if this is tackled first; writing SOLR-4241 would be much easier.,,,,,,,,,,,,,,,,,,,,,,,
15793,,,,,,,,This has been fixed in CVS. You can get the latest xwork.jar (which fixes the problem) from http://ivyrep.opensymphony.com,One can also reproduce the bug by using something similar to <ww:label label='foo' name='foo' value='% {2.5} '/> As a workaround; call the toString() method on the object; like this : <ww:label label='foo' name='foo' value='% {object.myLong.(toString())} '/>,,,,,,,,,,,,,,,,,,,,,,
10446,,,,,,,,This bug has been fixed in Xalan Java 2.5.2. Please verify.,,,,,,,,,,,,,,,,,,,,,,,
58767,,,,,,,,Unfortunately no: - looking at ServerSession.userAuth where it sets the state to Running: åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊbuffer = createBuffer(SshConstants.Message.SSH_MSG_USERAUTH_SUCCESS; 0); åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊwritePacket(buffer); åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊsetState(State.Running); åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊthis.authed = true; åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊthis.username = username; åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊunscheduleAuthTimer(); åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊscheduleIdleTimer(); the event is triggered before this.username is updated so the observer doesn't have access to that value. If the set is moved to later than I can eliminate two hacks (I suspect this.username should be updated far earlier when userauth_request arrives; but that would be a change in getUsername's semantics); however ... - as I mentioned above; instead of overloading ServerSession I should be defining my own service type and adding that; I've created SSHD-211 and attached a patch to illustrate the basic idea,,,,,,,,,,,,,,,,,,,,,,,
27659,,,,,,,,Closing as FIXED,The nightly builds are working again - so if you could test out this change using IE 5 I would appreciated it. http://cvs.apache.org/builds/jakarta-commons/nightly/commons-validator/ One dated on or after 7th Jan 2006 has the change (e.g. commons-validator- 20060107.zip) Niall,This issue was discussed on the Struts User list in the following thread: http://www.mail-archive.com/user%40struts.apache.org/msg39398.html I have modified validateUtilities.js as per your suggestion and as you say it appears to work fine. http://svn.apache.org/viewcvs?rev=366458&view=rev Unfortunately the nightly builds for Commons Validator don't seem to be working; hopefully that will be resolved soon. Since I don't have access to Internet Explorer 5; it would be great once the nightly builds are back again if you could test it. http://cvs.apache.org/builds/jakarta-commons/nightly/commons-validator/ Niall,,,,,,,,,,,,,,,,,,,,,
37251,,,,,,,,This issue is already comitted,patch file attached for Trunk,,,,,,,,,,,,,,,,,,,,,,
31813,,,,,,,,Closing because this has been in RESOLVED state for over one year; if it turns out to not be fixed please reopen.,I've committed a fix for this in r739306 and an itest to verify in r739304; please try and see if this resolves the problem. Slightly rushed so i'll leave the JIRA open and review it again on Monday.,,,,,,,,,,,,,,,,,,,,,,
58537,,,,,,,,Looks like STANBOL-258 describes the same Issue.,,,,,,,,,,,,,,,,,,,,,,,
29161,,,,,,,,Already fixed in UIMA-1379.,,,,,,,,,,,,,,,,,,,,,,,
64300,,,,,,,,closing.,,,,,,,,,,,,,,,,,,,,,,,
15893,,,,,,,,You are only flushing the writer; donå«t you need to close it too? writer.flush(); writer.close();,,,,,,,,,,,,,,,,,,,,,,,
23785,,,,,,,,I just put this in branch-0.8 too. In fact; it's probably worth putting everything in branch-0.8 at the moment unless it's a major or incompatible change.,Committed to trunk.,one liner,output from {{target/rat.txt}    Files with Apache License headers will be marked AL   Binary files (which do not require AL headers) will be marked B   Compressed archives will be marked A   Notices; licenses etc will be marked N  !????? atlassian-ide-plugin.xml   AL    bin/examples   AL    bin/whirr   AL    conf/credentials.sample   AL    conf/log4j-cli.xml   ...,,,,,,,,,,,,,,,,,,,,
61104,,,,,,,,I hope someone can fix this; but I know that at this time it's not something I can tackle without generous hand-holding. If there are no takers soon; I'll go ahead and close the issue. This is part of an effort to close old issues that I have reported. Search tag: elyograg2013springclean,,,,,,,,,,,,,,,,,,,,,,,
20803,,,,,,,,this will be tackled when we improve ajax; most likely in wicket.next or the version after that.,,,,,,,,,,,,,,,,,,,,,,,
57170,,,,,,,,Fixed thus: http://svn.apache.org/viewvc?rev=574613&view=rev,,,,,,,,,,,,,,,,,,,,,,,
70122,,,,,,,,applied patch (thanks) in r1055887,,,,,,,,,,,,,,,,,,,,,,,
13382,,,,,,,,As you wish http://cwiki.apache.org/confluence/display/WW/Struts+2+Blank+Archetype,,,,,,,,,,,,,,,,,,,,,,,
36052,,,,,,,,Moving these all to a 'Doc 3.x' release version.,,,,,,,,,,,,,,,,,,,,,,,
22691,,,,,,,,By the way; the javadoc for the minimum and maximum validators are still not updated (and incorrect). They need to be precise as to whether or not the endpoints are included. For example: * Gets a Double maximum validator for checking if an number is smaller than the given maximum Should read 'is at most' or 'smaller than or equal to'. Same with the other validators (including the range validators).,It's a beautiful fix; it took me a while to understand it. :-) Double.MIN_VALUE is *REALLY* counterintuitive (especially considering Integer.MIN_VALUE). bsh % -1.0 < Double.MIN_VALUE; <true> bsh % -1 < Integer.MIN_VALUE; <false> I still think it's a good idea to deprecate POSITIVE and NEGATIVE as Igor suggested and at least cleary mention the API change; because there will probably be people depending on the old behavior.,this works to /** * a validator for ensuring for a positive number value */ public static final NumberValidator POSITIVE = minimum(Double.MIN_VALUE); /** * a validator for ensuring a negative number value */ public static final NumberValidator NEGATIVE = maximum(-Double.MIN_VALUE); But maybe seb can shoot a hole in this. But my added unit test say it works! I added numerous unit test on the way for the NumberValidator classes. So we have even a better coverage!,imho parameters should always be INCLUSIVE. so range (3;5) should accept 3;4;5. minumum(0) should accept 0;1;2;... why do we even have POSITIVE and NEGATIVE? obviously it is rather ambiguous. lets deprecate those. i mean does it really save that much having them as global instances? they still get serialized the same...,bulk set issues to next version. I only did a quick check (and filtered some out for 1.3.1); but we can always bump em again.,The minimum validator is correct. If the value is STRICTLY LESS than the minimum; you should fail; and only then. It seems to me the javadoc is wrong there. It should read something like 'check if an integer value is at least the given minimum value'. As far as POSITIVE being a minimum(0) validator; that seems incorrect to me. And I'd prefer it if the Wicket world didn't have it's own version of mathematics. ;-) The 'inclusive' flag seems useful to me; but then the naming is a bit unintuitive in my opinion.,'hmm it all starts with the minimum(0) method;we do say there: /** * Gets a Integer minimum validator to check if a integer value is greater * then the given minimum value. * */ public static NumberValidator minimum(long minimum) { return new MinimumValidator(minimum); } but the check isn't if (value <= minimum) fail but if (value < minimum) fail now i am curious what people expect to happen.. is it including or not?? same goes for the maximum validator.. But do we change the maximum/minimum validators ? Or what i also can do is add a param to the constructors of those with an including flag.. By default it stays what it is now except for the Positive and Negative onces. Or we can always just say in a wicket world the 0 is negative and positive!,,,,,,,,,,,,,,,,,
14921,,,,,,,,Makes sense to me.,Any comments about this? This makes sense to me. If there's no objection; I will commit the fix for this.,From: if (tempdir != null) { saveDir = tempdir.toString(); } To: if (tempdir != null) { saveDir = tempdir.toString(); setMultipartSaveDir(saveDir); } This should set it to only log the error once; and use the tempdir for subsequent requests.,,,,,,,,,,,,,,,,,,,,,
71565,,,,,,,,It seems that this enhancement is atm out of scope for Sling - therefore closing this bug.,> base64 decoding of attachments oh gosh; back to 1970 :-),The attached file contains a Servlet Filter-based implementation of the XML Submission. It uses commons-fileupload for temporary storage of uploaded files; commons-codec for base64 decoding of attachments and saves the attachment map in a request attribute called 'webforms2.0uploads'. The example.txt comes right from the specification and can be tested using the command curl --header Content-Type:application/x-www-form+xml --data-binary @example.txt http://localhost:8080/formdata/,,,,,,,,,,,,,,,,,,,,,
73415,,,,,,,,Patch applied. Thanks,,,,,,,,,,,,,,,,,,,,,,,
74448,,,,,,,,Closing this one since it doesn't fit in with the current caja integration anymore.,,,,,,,,,,,,,,,,,,,,,,,
10696,,,,,,,,Closing this issue. Please re-open if you have a testcase.,,,,,,,,,,,,,,,,,,,,,,,
31064,,,,,,,,Closing resolved issues,,,,,,,,,,,,,,,,,,,,,,,
19423,,,,,,,,Attached QuickStart. Access URL is https://localhost:8443/test/ajaxtest - click on the buttons several times - refresh page: the counters should now reflect the clicks - click on the buttons more times - refresh page: the counters do not reflect click after first refresh,a valid usecase: whats happening is this user hits the page /foo goes to /foo?1 does a bunch of ajax stuff; staying on /foo?1 clicks refresh; so hits /foo?1 listview refreshes; changing hierarchy; creating page version 2 the ajax behavior's url is rendered as /foo?2:... the page is rendered; but not redirected to /foo?2 so what we have now is a browser pointing to /foo?1 and ajax (and non-ajax) urls pointing to /foo?2 further clicks work only because the component they repaint has the same markup id on page 1 and page 2. however; all model changes are stored in page 2. this is why when the browser is refreshed the counter reverts to a previous value - because it is page 1 that is rerendered. there are two ways to fix this: 1) redirect to correct version. so when the browser is refreshed for the first time on /foo?1 the browser would redirect to /foo?2 and it would keep doing that for every refresh. not ideal. 2) freeze the page version when we are accessing a url that we know will not mutate the state of the page - meaning urls that just render the page and do not invoke any listeners. the only state we will lose is noise from component replacement in listviews and user's onbeforerender() overrides which i think is acceptable since they do not represent true state mutation that comes from intentional callbacks.,No; I think the issue is that non-AJAX reloads that render ListViews end up calling MarkupContainer#add; incrementing the page ID but not updating the URL. The relevant change is in Page#dirty() which only scheduled a page to be flushed in 1.4; and now assigns it a new page ID.,i think the root cause here is the difference in caching; not how page version or ajax is handled. in 1.5.x the back button causes a request back to the server which causes the page to be rerendered and the version incremented. in 1.4.x the back button would not cause a request to the server; instead the cached version of the page would be shown. im not sure why this was changed in 1.5.x; may be worth opening a discussion on dev@.,go to http://www.wicket-library.com/wicket-examples/ajax/links this is wicket 1.5.x (1.5.4 currently) click the ajax link to increment the counter a few times. reload the page. counter retains its value; ajax changes are not lost. click the back link; you will be taken wherever you were before. since ajax links did not cause a url change and no browser history change you are not taken to a page with counter's previous value. this is exactly how 1.4 behaves. the only difference between the two is that 1.5.x always redirects to a non-bookmarkable url so a refresh never loses ajax changes like it did in 1.4.x which did not redirect to a non-bookmarkable url so a refresh would recreate the page from scratch.,I agree there isn't a good solution without AJAX history; but I respectfully disagree that 1.4 worked the same. In 1.4 reloading the page returned the most recent version of a page (the one with the most AJAX updates); in 1.5 those AJAX changes can be lost on reload/back.,this is no different then how 1.4.x worked. the back button takes you back to the state of the page before ajax changes. in order for it to take you back to the 'last' click we would need ajax history support; which we do not yet have.,I think this ticket should be closed as 'Not a problem' because ListView is designed to work this way - in each call of its onBeforeRender() it recreates its items which makes the page dirty; and therefore increases the page id. Thomas can open a new ticket with a quickstart.,@Thomas: can you attach a quickstart with your case too ?,And my disclaimer: I didn't design this; I'm just interpreting the code. If I'm wrong; I hope somebody corrects me. :),There are two concepts here: 'touched' pages and 'dirty' pages. Simply retrieving a page from the page manager 'touches' it; scheduling it for serialization into the page store at the end of the request. The question is whether it updates the original page store entry; or goes into a new entry. The page gets a new page map entry if and only if it is marked 'dirty' which is triggered by component hierarchy change; component model change; or explicitly with Page#dirty(). However; WebPage#dirty() has a special case which prevents AJAX requests from *ever* marking a page dirty. So after the request that originally created your wizard's page; there must be another non-AJAX request which dirties the page and advances its identifier past the one in the browser address bar.,And: yes; the ajax URLs target an incremented version of the page; while the URL still shows the 'old' one.,@Dan: what exactly do you mean by that? It seems to me that the page *should* be dirtied upon ajax operations (+ model changes)?! Because on page reload the 'old' state is restored (after page has been rendered); so everything that happend after this (via AJAX) is not serialized; or do I get this wrong?,Thomas; it sounds likely. Look at the AJAX URLs to see if they're targeting a different page version than in the URL. Note that AJAX requests themselves don't advance the page identifier (see WebPage#dirty(boolean)); but for example normal reloads containing ListViews will. So maybe you can workaround the issue in your wizard by identifying and suppressing the non-AJAX; page-dirtying operation.,I'm not quite sure if this is related to the problem; but I guess so: we have a page containing an AJAX wizard. Users can go forward and backward and fill several form components which are correctly written into the model when the wizard step is changed (via AJAX). But: if you reload the page; all input data is gone (from all wizard pages); as the URL still shows ?0 ...,My concern is after the page ID is advanced due to a reload or back button any model updates done on that version can never be retrieved. With 1.4 the view did not reflect the most recent version of the page; but since the page ID never advanced the model was intact. As Dan mentions with 1.5 we can easily get into situations where ajax requests target different page version; and with that a different copies of page models.,That's an old ticket! :) 1.5's liberal advancement of the page identifier changes Wicket's limited AJAX versioning support significantly; in my opinion detrimentally: 1. In 1.4 reloading a page (with back or reload buttons) results in the most recent version associated with that URL; in 1.5 it results in the oldest version. 2. With a 1.5 AJAXy page; it seems quite easy to get into a state where different AJAX behaviors target different versions of the same page. That sounds confusing to debug. ListView's effect on the page version makes the gotcha more unexpected; but I agree it's working as designed. Maybe Wicket's AJAX versioning gotchas just get an extra underscore for now; pending full support? Was there discussion of the tradeoffs between 1.4 and 1.5's versioning strategies? I looked but I could not find one. I don't mean to naysay the new design since I don't know the history.,If you use the link to OtherPage and then the back button; the browser requests page ?0. The page with id 0 is correctly restored and rendered. Before rendering the ListView removes all its children and recreates them. This results in a new page version; which is correctly taken into account by the ajax link and your log output. This might look unexpected but actually it's quite common: the browser requests page version X but gets version Y as response. So what is the problem you're experiencing? Wicket does not (yet) support back button for ajax requests; see WICKET-271 .,,,,,,
39032,,,,,,,,Reopening issues to set version.,Code moved into tiles-request.,,,,,,,,,,,,,,,,,,,,,,
37860,,,,,,,,Attention: - Please refer https://issues.apache.org/jira/browse/TRINIDAD-1145 for a possible fix,since there was no fix... we remove the fix version....,,,,,,,,,,,,,,,,,,,,,,
