id,love,joy,surprise,anger,sadness,fear,notes,comment N,comment N-1,comment N-2,...,comment 2,comment1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68066,,,,,x,,,Fixed. Sorry for long waiting. I didn't find the time. Author: tterm Date: Mon Jul 21 01:53:35 2008 New Revision: 678365 URL: http://svn.apache.org/viewvc?rev=678365&view=rev Log: Preserving or configuring content-type of http-header Modified: servicemix/smx3/branches/servicemix-3.2/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/HttpEndpoint.java servicemix/smx3/branches/servicemix-3.2/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/processors/ProviderProcessor.java,Can you give me an indication; when this issue will be solved?,So you don't expect more information from me? Regards; Jan Reynaerts,Guillaume: I know what he wants to do. It's not much to do. I will do it this during the week.,Could you please provide a patch / diff file instead ? See http://servicemix.apache.org/contributing.html for more informations.,I've attached the 2 patched files. I'm not sure if this is the right way to do it,Can't find the patch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6272,,,,,,,,The problem is not in the SAX parser. The problem occurs if you give the -server flag to the jvm (jdk 1.4/1.3) e.g. java -server <sax parser class> on a really big file. Will cause a stackOverflow. Greg Meagher,I tried to SAX parse a simple xml file <?xml version='1.0' ?> <root> ...around 225MB of text content... </root> with xerces2.0.1 and xerces from CVS but could not reproduce the problem. Please attach a small java program/xml file to reproduce it. You can snip the huge 200MB content in your xml file and add a comment there before attaching .,I'm not using validation and the jdk is 1.3. As far as sample code: I can reproduce this problem with a very large xml file and a character() callback of simpley a return. For Example: If the XML file contained the following: åÊ<DOCUMENT vendor='BlueScooter;Inc.' version='1.0' operation='ADD'> <URL docpoolid='DC1-1' mimetype='text/html' url='http%3A%2F%2Ftest.file.bug134.com%2F/test.html' date='1003867000' size='7881' language='eng'/> <ABSTRACT>NO_ABSTRACT</ABSTRACT> <CONTENT> ....200 M of content. </CONTENT> and the character(char[] buffer; offset; count) {} callback contained simply a return .The stack will overflow almost immediately. Thanks for responding to this bug. If there is more you need please let me know. Greg Meagher,Are you using a schema to validate your instance file?. If yes; are you using large values for min/maxOccurs? If no; please attach your instance file with a sample program to reproduce the error. Also; which jdk/os are you using?.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14206,,,,,,,,Ported the solution of WW-2551 to the Struts 2.0 branch.,This bug is the same of WW-2551; but it was not backported to Struts 2.0 branch.,Finally we have a test case! See the attachment at TILES-278.,I've confirmed that this issue is still present in Struts 2.1.1 The flush attribute of s:action has no impact on the tiles result. Unlike the tiles:insertDefintion tag that includes a flush attribute; the TilesResult always flushes. Recommendation: add a boolean flush parameter to TilesResult (default true) When false; a tiles result can then be rendered within the page of another result using s:action.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8053,x,,,,,,,Robert; åÊåÊåÊåÊYour patch is in; please help verify; thanks. Rgds; PeiYong,Created an attachment (id=2169) .NET Project Files in Attached Zip File,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31554,,,,,,,,Dave has let me know that this has resoved the issue,Attempt at a fix in 1.x r777627 and 1.5 branch r777632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47248,,,,,,,,In r681863,The attached patch should fix this issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46997,x,x,,,,,,Ah; great; things are running now. Thanks guys.,HI Kevin If you have apt; you might try $ apt-get install libbit-vector-perl If you need to do it the hard(er) way; try: $ perl -MCPAN -e 'install Bit::Vector' If you've never used CPAN in this way; it might ask you many questions (take the defaults). It may try first to upgrade itself. It may be painful; may not work at all. There are slightly more manual ways to do it; in which you ask for a shell and can then set options (auto follow dependent packages is very useful). apt-get it aint,Doh; ok. Could you tell me how to install that? I know it has something to do with CPAN; but I'm not a perl person.,Can't locate Bit/Vector.pm this is a required module. stated in lib/perl/README,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19722,,x,,,,,,Just an idea: how about treating a jar as versioned resource? For example in my case that would work beautifully: my star rating component was in its own jar file; so everything would have the same version somewhere above; and all the relative URLs would resolve just fine. Since jar is pretty much invisible at runtime maybe we can have some version marker inside package; and then version in the URL can be at the level; so all other relative URLs inside package would work fine below that level. That might make sense for other cases: for example a skin for application where bunch of images and css and scripts can be packaged.,Technically a resource is something that responds to a request with some kind of response to the client. A package is just a virtual location represented by a file system folder or a jar file location. So it should be treated differently from a resource. But I could imagine it makes sense to support urlFor(...) to resolve a package location. However this has to be discussed first and will not happen before 1.5.0 since we are almost gone final.,some obsolete documentation - thanks for the pointer :-),Oh; and if possible the change need to be better communicated/hinted in the documentation because dr. Google and wiki documentation point at the timestamp approach https://cwiki.apache.org/WICKET/caching-in-wicket-15.html,I think supporting package as a resource makes a lot of sense because it is widely used practice to lookup additional resources like images and css files based on 'root' location.,not pretty but working: String url = urlFor(new ResourceReference(StarRatingPanel.class; 'img') { @Override public IResource getResource() { return new IResource() { @Override public void respond(Attributes attributes) { } }; } }; new PageParameters()).toString(); log.info('url=' + url); Basically it's a kludge to resolve the url to a package location with a resource reference pointing to a non-existant resource. I don't know if a package counts as a resource. Maybe we should add some kind of official support for that?!,Like Martin said; you can use a custom caching strategy. sample ------------- private abstract class CustomResourceCachingStrategy implements IResourceCachingStrategy { private final IResourceCachingStrategy delegate; public CustomResourceCachingStrategy(IResourceCachingStrategy delegate) { this.delegate = delegate; } @Override public void decorateUrl(ResourceUrl url; IStaticCacheableResource resource) { if (shouldCache(resource)) { delegate.decorateUrl(url; resource); } } @Override public void undecorateUrl(ResourceUrl url) { delegate.undecorateUrl(url); } @Override public void decorateResponse(AbstractResource.ResourceResponse response; IStaticCacheableResource resource) { if (shouldCache(resource)) { delegate.decorateResponse(response; resource); } } åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊ// override for your needs e.g. by using a marker interface protected abstract boolean shouldCache(IStaticCacheableResource resource); } and use it like this: final IResourceCachingStrategy delegate = getResourceSettings().getCachingStrategy(); getResourceSettings().setCachingStrategy(new CustomResourceCachingStrategy(delegate));,The resource knows this by implementing IStaticCacheableResource. Create a custom resource that doesn't implement this interface and its url wont be versioned.,This approach makes creates tight coupling with top level entity: CachingStrategy and makes it necessary to use custom strategy. That does not seem to be better than little hint from resource if it participates in the versioning.,I think this is possible with custom caching strategy (see last comment by Peter above). Your custom strategy can do nothing in org.apache.wicket.request.resource.caching.IResourceCachingStrategy.decorateUrl(ResourceUrl; IStaticCacheableResource) for the resources you decide.,The approach implemented is a blanket one - what is removed is the ability to selective remove versioning from a particular resource. I do not need timestamp in particular; but a way to let wicket know that THIS resource should not use versioned URL. IMO this is a valid use case. Please consider returning some sort of marker method to ResourceReference to allow using custom versioning; or no versioning at all.,to manually remove the version dependant part of the url you eventually could use: åÊåÊApplication#getResourceSettings().getCachingStrategy().undecorateUrl(url),PackageResourceReference#getLastModified() was introduced when adding improved caching support for package resources. Recently there was a refactor (https://issues.apache.org/jira/browse/WICKET-3948) to remove some limitations of this approach. PackageResourceReference#getLastModified() became obsolete and was therefore removed. If you really need lastModified() from within PackageResourceReference you can use this (though it's a little inconvenient): åÊåÊPackageResourceReference reference = /* ... */; åÊåÊPackageResource resource = (PackageResource)reference.getResource(); åÊåÊTime lastModified = resource.getResourceStream().lastModifiedTime(); If we get another release candidate for 1.5 I will remove the need for the type-cast. IResourceSettings#setUseTimestampOnResources() has been replace by a more powerful solution. check https://cwiki.apache.org/WICKET/migration-to-wicket-15.html#MigrationtoWicket1.5-getResourceSettings%2528%2529.setAddLastModifiedTimeToResourceReferenceUrl%2528%2529hasbeenreplacedbyIResourceCachingStrategy to get all the details.,åÊval imgUrl = RequestCycle.get().urlFor(new PackageResourceReference(classOf[StarRatingPanel]; 'jquery.raty-1.0.1/img'){ åÊåÊåÊåÊåÊåÊoverride def getLastModified = null//prevent cacheable urls <-- this does not work any more åÊåÊåÊåÊ}; null) åÊåÊåÊåÊresponse.renderJavaScript('$j.fn.raty.defaults.path= '' + imgUrl + '';'; 'raty-images-fix'),,,,,,,,,,,,,,,,,,,,,,,,
10446,,,,,,,,This bug has been fixed in Xalan Java 2.5.2. Please verify.,Applied patch to CVS.,If the type of tge second argument is not node-set; throw run time error.,Created an attachment (id=6012) Patch for FuncDocument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29351,,,,,,,,This issue is maybe related to UIMA-1408.,Philip please provide more details until then the issue cannot be reproduced.,Hi Philip; the annotation which is selected in the outline view should be selected in the text editor. An annotation which is part of feature structure and selected should be also be selected in the editor. I think this is somehow broken on your machine; I would like to find out why and fix it. For this I need more information from you. Please go to the about dialog and click on configuration details and attach these to the issue. It would also be nice if you can attach a a screenshot which shows that the selection in the editor does not work when something in the outline is selected; maybe this gives a clue. Thanks; JÌ¦rn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13391,,,,,,,,I am also having the same issue with a java.sql.Timestamp based attribute. The date I entered into the field was 'not a date'. Of course; XWorkBasicConverter fails to convert successfully and throws an XWorkException; then it is downhill from there on. When attempting to find the method to call in OgnlRuntime it appears to look for a String parameter; when it should be looking for the java.sql.Timestamp parameter.,I think it's related to the same problem with primitives (and wrappers) convertion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
