id,love,joy,surprise,anger,sadness,fear,notes,comment N,comment N-1,comment N-2,...,comment 2,comment1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41140,x,x,,,,,,Looks fine to me now. Thanks!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4169,,,,,,x,,I'd be okay with an enhancement which defaults to a SAX2-compliant parser when available; but this isn't always the case. MinML is a good fallback for those situations (e.g. applets).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11881,,,,,,,,AFAIK; there is no plan to replace crimson with xerces in near future ( maybe for xerces2; but that's still far away). There are many reasons for that ( requirements related with code size and speed ). In any case; the dist from apache uses xerces as default.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68254,,,,,x,,,I forgot servicemix-soap on the 3.2 branch: http://svn.apache.org/viewvc?diff_format=h&view=rev&revision=657762 And also added it to the trunk http://svn.apache.org/viewvc?diff_format=h&view=rev&revision=657764 http://svn.apache.org/viewvc?diff_format=h&view=rev&revision=657765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4223,,,,,,,,Updated in 1.2 branch. David; please download and try 1.2 beta when it is released in a week or so.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9798,,,,,,,,closing this issue.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29404,,,,,,,,To be consistent with the preferred syntax in JIRA-1146; we will adopt the following syntax: <remoteAnalysisEngine remoteReplyQueueScaleout='nn1' > .... </remoteAnalysisEngine> I will start to do the work based on the above syntax if there is no objection ‰ÛÒ Tong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3591,,,,,,,,That is my understanding. Looking at the dtd; it only defines a type attribute (required) on the validator element; which doesn't make any sense for this file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60669,,,,,,,,committed to 4.x and 5.x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69146,,,,,,,,The fix currently transform the input source to a DOMSource. We could also handle differently a SAXSource.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68539,x,,,,,,,Please be informed that I am no longer accessible through this email address. Pls refrain from sending further messages. I will just personally contact you with my new email address. For any concerns / issues / inputs relating to your transactions with Exist; kindly forward email to hr@exist.com. Thank you HR Dept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73230,,,,,,,,resolved -- changed DEFAULT_TTL to defaultTtl to reflect it not being a constant any more..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58877,,,,,,,,I haven't seen any bad behavior. I was using open ssh to test this. I used the escape character; ~; and the period character; .; with open ssh to disconnect; '~.'.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24246,x,,,,x,,,Thanks Tom; sorry for the mess.,Yes; looks like this was a mistake. I've just reverted the change.,Did I submit something wrong or duplicate? See https://github.com/apache/whirr/blob/trunk/cli/pom.xml#L52-61,I've just committed this. Thanks Lars!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6272,,,,,,,,The problem is not in the SAX parser. The problem occurs if you give the -server flag to the jvm (jdk 1.4/1.3) e.g. java -server <sax parser class> on a really big file. Will cause a stackOverflow. Greg Meagher,I tried to SAX parse a simple xml file <?xml version='1.0' ?> <root> ...around 225MB of text content... </root> with xerces2.0.1 and xerces from CVS but could not reproduce the problem. Please attach a small java program/xml file to reproduce it. You can snip the huge 200MB content in your xml file and add a comment there before attaching .,I'm not using validation and the jdk is 1.3. As far as sample code: I can reproduce this problem with a very large xml file and a character() callback of simpley a return. For Example: If the XML file contained the following: åÊ<DOCUMENT vendor='BlueScooter;Inc.' version='1.0' operation='ADD'> <URL docpoolid='DC1-1' mimetype='text/html' url='http%3A%2F%2Ftest.file.bug134.com%2F/test.html' date='1003867000' size='7881' language='eng'/> <ABSTRACT>NO_ABSTRACT</ABSTRACT> <CONTENT> ....200 M of content. </CONTENT> and the character(char[] buffer; offset; count) {} callback contained simply a return .The stack will overflow almost immediately. Thanks for responding to this bug. If there is more you need please let me know. Greg Meagher,Are you using a schema to validate your instance file?. If yes; are you using large values for min/maxOccurs? If no; please attach your instance file with a sample program to reproduce the error. Also; which jdk/os are you using?.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60566,,,,,,,,[branch_4x commit] Michael McCandless http://svn.apache.org/viewvc?view=revision&revision=1390137 SOLR-3879: don't ship servlet-api*.jar,just open another issue to not put this jar file in the binary release. lets fix that for 4.0,Mike: should we open another issue in LUCENE? Lucene Demo has the same packaging problem like this solr one. It's unrelated to the discussion; if the demo webapp should be removed.,Thanks Roman!,It is not only useless; its as stupid as shipping with rt.jar... It is as wrong as shipping inside war.,I thought about this too; it seems useless to me to ship this.,Oh; we should not add the servlet API lib to the binary release. It is a compile time dependent and is provided by the webapp container where you depoly the demo. We should not ship binary with compile time dependencies.,Looks good! My intention was to only check all Lucene product artifacts (not dependencies and compile time depends); but its a good idea to also find invalid artifacts from other projects. In Solr; of course the example folder must be excluded; too as it contains jetty; too.,+1 to commit mike's latest patch (the test) and Roman's patch (the fix). this should be done in 4.0 branch as well.,Patch; also checking all *.jar in Lucene's binary releases. I had to exclude lucene/demo/lib since it ships servlet-api-2.4.jar. (Should we remove that demo webapp?).,Uwe; good idea: I'll do that.,We should maybe also do the same check on all Lucene-generated jar files?,Very nice.,Patch (against 4.0.x branch) for smokeTestRelease.py. It fails on the 4.0.0 RC with this: Traceback (most recent call last):   File 'dev-tools/scripts/smokeTestRelease.py'; line 1161; in <module>   File 'dev-tools/scripts/smokeTestRelease.py'; line 1109; in main   File 'dev-tools/scripts/smokeTestRelease.py'; line 1151; in smokeTest   File 'dev-tools/scripts/smokeTestRelease.py'; line 446; in unpack   File 'dev-tools/scripts/smokeTestRelease.py'; line 558; in verifyUnpacked   File 'dev-tools/scripts/smokeTestRelease.py'; line 177; in checkSolrWAR RuntimeError: WAR file /l/40x/tmp/unpack/apache-solr-4.0.0/example/webapps/solr.war contains JAR file WEB-INF/lib/javax.servlet-api-3.0.1.jar with illegal class 'javax/servlet/ServletSecurityElement.class',I'll fix smokeTestRelease to check for this ...,+1 to fix this issue!,peek inside the war in smokeTestRelease.py and ensure no servlet-api jars or java./javax. classes inside jars in the war Yeah; I think this would be a general useful addition - a list of regex or specific names for forbidden jars and class names.,Thanks! I'll update the patch shortly to include a test for this.,Roman your patch looks good. smokeTestRelease.py (in the dev-tools/scripts directory) is a way to verify release artifacts. Its like a test for the release packaging itself; so it takes as input a URL containing a release candidate (such as http://s.apache.org/lusolr40rc0); and runs a bunch of tests on the files there and fails if something is wrong. It can also be run against the current code checkout by running 'ant nightly-smoke' from the top-level. The key here is; if we don't test that the war doesn't contain stuff it shouldn't; then the bug could come back for a future release.,Attached is the patch against trunk. When applied to the RC tarball it takes care of the issue. Robert; can you please elaborate on how smokeTestRelease.py relates to build/release? I'm pretty new to SOLR ‰ÛÒ still learning.,I don't see a servlet-api.jar in the 3.6.0 war; but i do see it in 4.0.0 war. Sounds like a mistake that it's in 4.0 AFAIK; it's only for compiling against... the actual servlet container should supply the API/implementation (but I'm not a servlet expert either).,It is definitely a bug to include that jar file. I said it so many times; servlet-api.jar is only a compile time dependecy and may not be in the war. We should fix the packaging tasks; the binary release may also only contain servlet.jar in the example folder next to jetty.,I don't see a servlet-api.jar in the 3.6.0 war; but i do see it in 4.0.0 war. I don't know anything about servlets; and would prefer if someone who knew looked at this; I just want to add my comment to please not commit any fix without a test (peek inside the war in smokeTestRelease.py and ensure no servlet-api jars or java./javax. classes inside jars in the war),,,,,,,,,,,,,,,,,,,,,,,
63811,,,,,,,,commited a while back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37398,,,,,,,,More done: -absolute-ordering faces-config/factory/view-declaration-language-factory faces-config/render-kit/renderer/client-behavior-renderer faces-config/application/partial-traversal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53284,,,,,,,,Resolved in Version 1.2_QA_B1 . Therefore will be closing the issue,Fixed with moving to the axis2 trunk,The root cause of this is a defect in the Axis2 1.3 ApplicationXMLFormatter which ignores the 'preserve' flag passed in åÊåÊåÊåÊpublic void writeTo(MessageContext messageContext; OMOutputFormat format; åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊOutputStream outputStream; boolean preserve) throws AxisFault { The latest Axis2 code seems to have this fix; and thus we will be able to incorporate this only when we switch to the next version of Axis2. Thus I am postponing this issue to be fixed in Synapse 1.2 or later as Synapse 1.1.1 cannot fix this without a binary patch of Axis2,Indika; It might be worthwhile to check whether a response has already been submitted by the HTTP transport and throw a little more informative exception if that is the case. 'Transfer-encoding header already present' may sound a bit too scary and confusing. Oleg,Before sending message to a external endpoint ; synapse make a clone the MessageContext and this clone operation clones the properties ..etc... but it will never clone the SOAPEnvelope (except with in clone mediator and when converting soap11 to soap12 or vise visa .). Because of this; each MessageContext contains reference to the same SOAPEnvelope object. According to the scenario in the above synapse configuration; client send the rest request to the synapse and then synapse call to a rest endpoint. In this scenario; we send the cloned Message to the endpoint asynchronously and continue Message Mediation with the original Message . Each Message Context contains reference to the same SOAPEnvelope. Synapse do the rest call to the external endpoint and also continue message mediation . In the message mediation ; after message coming to the Log mediator ; it tries to log SOAPEnvelope(evaluates toString() method ) and then it throws the AxisFault 'java.util.NoSuchElementException ' . This is happen ; even client make a SOAP call and synapse do the rest call to the external endpoint(ant stockquote -Dtrpurl=http://localhost:8080/soap/StockQuote). In Both of above scenario what happen is ;when doing rest call; the SOAPEnvelope object has corrupted and because ; both Message Contexts refer to to the same SOAPEnvelope object ; in Log mediator when try to get string of SOAPEnvelope trows the the AxisFault 'java.util.NoSuchElementException ' due to the corrupted SOAPEnvelope. As a solution for above two scenarios ; we have to built the original SOAPEnvelope (only for above two scenario). The 'org.apache.http.ProtocolException: Transfer-encoding header already present ' Exception occurs due the side affect of the above AxisFault 'java.util.NoSuchElementException ' . This AxisFault did not catch in the Log mediator and therefore it goes up to the ServerWorker and ServerWorker log it an error and send it to the client as soap fault 'AxisEngine.sendFault(mc)'. At this point; synapse has already sent the http response with response Envelope received form the axis2server(OUT path) .Therefore ;sending soap fault from ServerWorker cause to resend the same Http response and occurs above 'org.apache.http.ProtocolException: Transfer-encoding header already present ' Exception. This situation can occur for any uncaught exception which cause to pop up it to the ServerWorker. you can see if you remove the log mediator from the configuration it will work properly . Thanks Indika,changed the fix version,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79349,,,,,,,,Closing old resolved issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8502,,,x,,,,,I tried using your testcase on Win95/IE4; using old versions of Xerces (back until 1.5.1); but I never got the crash you report. So; I am closing this bug; if you still see it; please reopen it. Alberto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41962,,,,,,,,I have fixed that issue by checking for a null before the line 95 of HtmlInputTextRenderer: writer.writeAttribute(HTML.VALUE_ATTR; value; JSFAttr.VALUE_ATTR); 'value' is null here when using jetty+JSF-RI.,The behaviour with this issue (and I guess the cause) is the same than in TOMAHAWK-781,By the way; the translation of the exception is: java.lang.NullPointerException: Argument Error: One or more parameters are null. at com.sun.faces.renderkit.html_basic.HtmlResponseWriter.writeAttribute(HtmlResponseWriter.java:260) ...,Mmh; I continue having it after putting commons-lang in the classpath (although I dont get a ClassDefNotFound which I got before)...,Reproduced it; commons-lang missing in the classpath when using the JSF-RI.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33812,,,,,,,,Here is a complete patch removing Composite* from the getImplementation() calls,This patch removes the Composite* from the ComponetnType constructor. I'll apply it when I can confirm it really isn't needed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57316,,,,,,,,Fixed with the referenced change.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18121,,,,,,,,Resolved with no further action; so closed.,Chathura; we'd like to close this JIRA if it's done. As the original reporter can you please close this or comment on any further issues.,I guess I should have marked this 'resolved'; instead of 'closed' (pending verification by the folks who opened the JIRAs).,I guess I should have marked this 'resolved'; instead of 'closed' (pending verification by the folks who opened the JIRAs).,The org.apache.woden.tool.converter.Convert class has been updated to ensure that the 'xsd' namespace declaration is not dropped from the newly generated <description> element; so long as it existed on the <definition> element being converted.,Converted faulty WSDL 2.0 document,WSDL 1.1 document used for the conversion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26594,,,,,,,,Close all resolved issues for Engine 1.5 release.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57161,,,,,,,,The tests have been added; so closing. Travis; please keep an eye on the results of the tests in our nightly builds and post patches for any build issues. We also need to open a new issue for each test that fails at runtime as a result of thread safety bug(s) in the library; in addition to those for any other failures.,Task assigned to Travis.,Attached a copy of the thread safety page for the record.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7577,,,,,,,,patch in cvs. Could you please verify?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,,,,,,,,Integrated in ZooKeeper-trunk #1266 (See https://builds.apache.org/job/ZooKeeper-trunk/1266/) ZOOKEEPER-1104. CLONE - In QuorumTest; use the same 'for ( .. try { break } catch { } )' pattern in testFollowersStartAfterLeaders as in testSessionMove. (Eugene Koontz via mahadev) mahadev : http://svn.apache.org/viewcvs.cgi/?root=Apache-SVN&view=rev&rev=1157690 Files : /zookeeper/trunk/src/java/test/org/apache/zookeeper/test/QuorumTest.java /zookeeper/trunk/CHANGES.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43512,,,,,,,,I think you have enable ajax. f:loadBundle has only request scope. If you request the table sort the ajax response didn't know anything about the resource bundle. Please use tc:loadBundle it has session scope. But tc:loadBundle has a different semantic. Please consult the demo or other examples how to use it.,Just noticed: In one of the columns I have a button that receives its label from the same property-file --> that label also disappears.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77011,,,,,,,,Closing all resolved/fixed issues of already released versions of Roller.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46121,,,,,,,,----------------------------------------------------------- This is an automatically generated e-mail. To reply; visit: https://reviews.apache.org/r/1023/ ----------------------------------------------------------- (Updated 2011-07-08 20:04:37.543693) Review request for Thrift. Changes ------- Adding bug number for tracking. Summary ------- Remove bogus include. TAsyncChannel includes TTransportUtils but doesn't need/use it. This addresses bug THRIFT-1231. https://issues.apache.org/jira/browse/THRIFT-1231 Diffs /lib/cpp/src/async/TAsyncChannel.h 1143615 Diff: https://reviews.apache.org/r/1023/diff Testing ------- make check in lib/cpp Thanks; Diwaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71371,,,,,,,,Tested this fix with two servlet containers (Jetty and Day Servlet Engine) as well as with Firefox 2 on Linux and Windows and Firefox 3 (Windows); IE6 (Windows) and Safari (Windows). Provided the data is submitted as a multipart/form-data POST request; the form data is correctly encoded and may be used for further perusal. Considering this issue fix.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
