id,love,joy,surprise,anger,sadness,fear,notes,comment N,comment N-1,comment N-2,...,comment 2,comment1,,,,,,,,,,,,,
28741,,,,,,,,documentation needs updating,,,,,,,,,,,,,,,,,,
3399,,,,,,,,Changed MULTI_TEXTVALUE_SEPARATOR into a property configurable by injection of constant named xwork.validatorfileparser.multi_textvalue_separator. This makes it possible to have empty String as 'separator' if it apllies to your particular platform; without breaking the backward compatibility and changing default behaviour.,Rene; could you please have a look at this. Thanks; Rainer,,,,,,,,,,,,,,,,,
65088,,,,,,,,The fix for SMXCOMP-759 also resolve this issue,Hi Angelo; One more question; as you said; the response from your axis service is correct; as dumped from [1]; Where you get the incorrect response as you mentioned previously [2] And your work flow is http:soap-consumer -> camel > cxf-provider-bc > external service Would you mind append your projects(the SA; SUs) to this jira; I know you are using SOAPUI to send request; it's also fine for me to reproduce the problem; as long as you append the request content you send using SOAPUI. A testcase is very helpful to figure out this issue. Btw; would you please use cxf bc consumer instead of http:soap-consumer in your work flow also; tell me if you still see the problem. [1]http://www.nabble.com/file/p22529529/response.txt [2]http://www.nabble.com/file/p22488949/soapresponse.xml Thanks again Freeman,discussion on mailling list http://www.nabble.com/cxf-losing-namespace-declarations-tp20119972p20119972.html,,,,,,,,,,,,,,,,
68254,,,x,,,,,I forgot servicemix-soap on the 3.2 branch: http://svn.apache.org/viewvc?diff_format=h&view=rev&revision=657762 And also added it to the trunk http://svn.apache.org/viewvc?diff_format=h&view=rev&revision=657764 http://svn.apache.org/viewvc?diff_format=h&view=rev&revision=657765,Fixed for 3.2 branch in http://svn.apache.org/viewvc?diff_format=h&view=rev&revision=657749 http://svn.apache.org/viewvc?diff_format=h&view=rev&revision=657755,,,,,,,,,,,,,,,,,
45473,,,,,,,,Integrated in Thrift #633 (See https://builds.apache.org/job/Thrift/633/) THRIFT-1879 Add support for GObject-Introspection (Revision a51186b7f2bd388d95485404017f05eb3b861074) Result = ABORTED roger : https://git-wip-us.apache.org/repos/asf?p=thrift.git&a=commit&h=a51186b7f2bd388d95485404017f05eb3b861074 Files : lib/c_glib/src/thrift/c_glib/transport/thrift_transport.h lib/c_glib/src/thrift/c_glib/server/thrift_simple_server.h lib/c_glib/src/thrift/c_glib/transport/thrift_buffered_transport.h lib/c_glib/src/thrift/c_glib/transport/thrift_framed_transport.h lib/c_glib/src/thrift/c_glib/protocol/thrift_protocol_factory.h lib/c_glib/src/thrift/c_glib/protocol/thrift_binary_protocol_factory.h lib/c_glib/src/thrift/c_glib/transport/thrift_server_socket.h lib/c_glib/src/thrift/c_glib/protocol/thrift_binary_protocol.h lib/c_glib/src/thrift/c_glib/server/thrift_server.h lib/c_glib/src/thrift/c_glib/transport/thrift_transport_factory.h lib/c_glib/src/thrift/c_glib/transport/thrift_server_transport.h lib/c_glib/src/thrift/c_glib/thrift_application_exception.h lib/c_glib/src/thrift/c_glib/transport/thrift_memory_buffer.h lib/c_glib/src/thrift/c_glib/transport/thrift_socket.h lib/c_glib/src/thrift/c_glib/protocol/thrift_protocol.h lib/c_glib/src/thrift/c_glib/thrift_struct.h,yes; I know.. THRIFT-1883 did not apply so I thought to do this first...,On what? This is worthless without THRIFT-1883. GObject Introspection requires you to annotate the code (see https://live.gnome.org/GObjectIntrospection/Annotations) so it knows things like when to transfer ownership; parameter direction; generic container types; etc.; and in order to do that you have to use GTK-Doc style comments. This could be used without THRIFT-1882; but if that's going to happen it makes much more sense to do it first. That said; I'm actually having second thoughts about this (and THRIFT-1885). I'm in the middle of writing a new implementation (see http://mail-archives.apache.org/mod_mbox/thrift-dev/201303.mbox/browser for some of the reasons why); and I'd rather use the Thrift namespace for that instead of c_glib. I could change the namespace on this patch to something else (ThriftGLib; maybe); but if something better is coming I don't see much gain in exposing c_glib to other languages.,committed this: 0001-Move-typedefs-before-public-structs-to-work-around-g.patch please rebase second patch.,0005-THRIFT-1879-Add-GObject-Introspection-support.patch This actually causes a GObject Introspection Repository (and a typelib) to be generated and installed; resolving this issue. This depends on the other patch from this issue; as well as THRIFT-1882 and THRIFT-1883.,This is just a work-around for https://bugzilla.gnome.org/show_bug.cgi?id=581525 Unfortunately; the resulting GIR is pretty useless without it.,,,,,,,,,,,,,
59257,x,,,,,,,Patch is in. Thanks.,Could you please repatch to current base as there seem to be some conflicts? Thanks.,,,,,,,,,,,,,,,,,
51981,x,x,,,,,,Thanks for the sample app; I updated it for 5.0.15 and verified the problem; then tried the fix. Had to modify the mixins to return false from beforeRenderBody(); but then everything worked as expected (the Any component omitted its body).,I can see a problem in this code: åÊprivate void invoke(boolean reverse; ComponentCallback callback) åÊåÊåÊåÊ{ åÊåÊåÊåÊåÊåÊåÊåÊtry åÊåÊåÊåÊåÊåÊåÊåÊ{ // Optimization: In the most general case (just the one component; no mixins) åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊ// invoke the callback on the component and be done ... no iterators; no nothing. åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊif (components == null) åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊ{ åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊcallback.run(coreComponent); åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊreturn; åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊ} åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊIterator<Component> i = reverse ? InternalUtils.reverseIterator(components) : components.iterator(); åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊwhile (i.hasNext()) callback.run(i.next()); åÊåÊåÊåÊåÊåÊåÊåÊ} åÊåÊåÊåÊåÊåÊåÊåÊcatch (RuntimeException ex) åÊåÊåÊåÊåÊåÊåÊåÊ{ åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊthrow new TapestryException(ex.getMessage(); getLocation(); ex); åÊåÊåÊåÊåÊåÊåÊåÊ} åÊåÊåÊåÊ} Looks like we work our way through the full components list (mixins plus the component itself) even once the event is aborted (because a non-null/non-void value was returned).,Thanks a lot for the example Robert. I should have added one; but have just had zero free time for months now ... Cheers; Nick.,The file I attached contains a tapestry project; generated with the quickstart archetype; that illustrates the bug. In short: There are two mixins: MixinBefore and MixinBefore2. In Index.tml; an 'any' component is given the mixins as: t:mixins='MixedBefore;MixedBefore2'. So MixinBefore is called first; and then MixingBefore2. MixinBefore's beginRender method returns false; this should short-circuit rendering of the body of the 'any' component; as diagramed in the component state diagram at: http://tapestry.apache.org/tapestry5/tapestry-core/guide/rendering.html It will short-circuit it; but according to the last sub-section of the same documentation: 'Short Circuiting If a method returns a true or false value; this will short circuit processing. Other methods within the phase that would ordinarily be invoked will not be invoked. Most render phase methods should return void; to avoid unintentionally short circuiting other methods for the same phase.' This suggests that the MixedBefore2's beginRender method should NOT be called. So; in MixedBefore2's beginRender method; an IllegalStateException is thrown. If you start up the app; and go to the page; you will see that the IllegalStateException is thrown. As Nick pointed out; either the documentation needs to be fixed; or the code needs to be fixed; but they are clearly at odds.,Nick is right: the docs are pretty clear that subsequent methods in the same phase should be aborted; but they aren't; at least; subsequent mixin methods for the same phase aren't. I'll attach a sample project that illustrates the issue; generated with the quickstart archetype; so you can mvn jetty:run it.,This issue is not a duplicate of TAPESTRY-1805. In a nutshell; it's the answer to the following question: My component returns true for beforeRenderBody(). Should this prevent all other beforeRenderBody events from executing? If so; it doesn't; and is a bug. If not; the docs need to restate the short-circuiting functionality. Seems it's a bug is because of the comment next to the exception raised: åÊåÊåÊåÊåÊåÊåÊåÊ// Given that this method is *only* invoked from code åÊåÊåÊåÊåÊåÊåÊåÊ// that is generated at runtime and proven to be correct; åÊåÊåÊåÊåÊåÊåÊåÊ// this should never; ever happen. But what the hell; åÊåÊåÊåÊåÊåÊåÊåÊ// let's check anyway. Cheers; Nick.,Duplicate of TAPESTRY-1805.,Sorry; I should have given an example; but at the time I thought the bug was pretty clear. Here's what I posted about it to the dev list over 2 months ago: Subject: T5: Clarification on render phase component/mixin conflict behaviour Newsgroups: gmane.comp.jakarta.tapestry.devel http://article.gmane.org/gmane.comp.jakarta.tapestry.devel/20864/ Date: 2007-07-20 10:22:32 GMT (9 weeks; 1 day; 16 hours and 28 minutes ago) Hi. The component rendering guide suggests ordering and short-circuiting should prevent components and mixins using the same render phase from crossing swords; so to speak. Basically I've got a case where this doesn't seem to work out: AbstractField has a @Mixin DiscardBody. @Mixin DiscardBody returns false for beforeRenderBody(). (Note that @Mixin DiscardBody has a @MixinAfter.) My component derives from AbstractField. My component returns true for beforeRenderBody(). According to the docs I expect my component to short-circuit the phase and prevent DiscardBody's beforeRenderBody() from being invoked; but instead an exception is thrown. (Full stack trace appended below.) My expectation seems reasonable; especially considering the comment before the exception raising code; but which is correct? ;-) åÊåÊåÊåÊåÊåÊåÊåÊ// Given that this method is *only* invoked from code åÊåÊåÊåÊåÊåÊåÊåÊ// that is generated at runtime and proven to be correct; åÊåÊåÊåÊåÊåÊåÊåÊ// this should never; ever happen. But what the hell; åÊåÊåÊåÊåÊåÊåÊåÊ// let's check anyway. Cheers; Nick. java.lang.IllegalStateException Can not store result from invoking method org.apache.tapestry.corelib. mixins.DiscardBody.beforeRenderBody() (at DiscardBody.java:31); because an event result value has already been obtained from some other event handler method. Stack trace åÊåÊåÊåÊåÊåÊåÊåÊ* org.apache.tapestry.internal.services.EventImpl.storeResult(EventImpl.java:58) åÊåÊåÊåÊåÊåÊåÊåÊ* org.apache.tapestry.corelib.mixins.DiscardBody.beforeRenderBody(DiscardBody.java) åÊåÊåÊåÊåÊåÊåÊåÊ* org.apache.tapestry.internal.structure.ComponentPageElementImpl$8$1.run(ComponentPageElementImpl.java:283) åÊåÊåÊåÊåÊåÊåÊåÊ* org.apache.tapestry.internal.structure.ComponentPageElementImpl.invoke(ComponentPageElementImpl.java:931) åÊåÊåÊåÊåÊåÊåÊåÊ* org.apache.tapestry.internal.structure.ComponentPageElementImpl.access$100(ComponentPageElementImpl.java:69) åÊåÊåÊåÊåÊåÊåÊåÊ* org.apache.tapestry.internal.structure.ComponentPageElementImpl$8.render(ComponentPageElementImpl.java:287) åÊåÊåÊåÊåÊåÊåÊåÊ* org.apache.tapestry.internal.services.RenderQueueImpl.run(RenderQueueImpl.java:57) åÊåÊåÊåÊåÊåÊåÊåÊ* org.apache.tapestry.internal.services.PageMarkupRendererImpl.renderPageMarkup(PageMarkupRendererImpl.java:40) åÊåÊåÊåÊåÊåÊåÊåÊ* org.apache.tapestry.internal.services.PageResponseRendererImpl.renderPageResponse(PageResponseRendererImpl.java:71) åÊåÊåÊåÊåÊåÊåÊåÊ* org.apache.tapestry.internal.services.PageRenderRequestHandlerImpl.handle(PageRenderRequestHandlerImpl.java:81) åÊåÊåÊåÊåÊåÊåÊåÊ* org.apache.tapestry.internal.services.PageRenderDispatcher.dispatch(PageRenderDispatcher.java:72) åÊåÊåÊåÊåÊåÊåÊåÊ* org.apache.tapestry.services.TapestryModule$12.service(TapestryModule.java:1066) åÊåÊåÊåÊåÊåÊåÊåÊ* jp.co.key_planning.kzoku.tapestry.services.AppModule$4.service(AppModule.java:211) åÊåÊåÊåÊåÊåÊåÊåÊ* jp.co.key_planning.kzoku.tapestry.services.AppModule$6.service(AppModule.java:274) åÊåÊåÊåÊåÊåÊåÊåÊ* org.apache.tapestry.internal.services.LocalizationFilter.service(LocalizationFilter.java:43) åÊåÊåÊåÊåÊåÊåÊåÊ* org.apache.tapestry.services.TapestryModule$2.service(TapestryModule.java:657) åÊåÊåÊåÊåÊåÊåÊåÊ* org.apache.tapestry.internal.services.StaticFilesFilter.service(StaticFilesFilter.java:63) åÊåÊåÊåÊåÊåÊåÊåÊ* org.apache.tapestry.internal.services.CheckForUpdatesFilter$2.invoke(CheckForUpdatesFilter.java:97) åÊåÊåÊåÊåÊåÊåÊåÊ* org.apache.tapestry.internal.services.CheckForUpdatesFilter$2.invoke(CheckForUpdatesFilter.java:88) åÊåÊåÊåÊåÊåÊåÊåÊ* org.apache.tapestry.ioc.internal.util.ConcurrentBarrier.withRead(ConcurrentBarrier.java:77) åÊåÊåÊåÊåÊåÊåÊåÊ* org.apache.tapestry.internal.services.CheckForUpdatesFilter.service(CheckForUpdatesFilter.java:110) åÊåÊåÊåÊåÊåÊåÊåÊ* org.apache.tapestry.services.TapestryModule$11.service(TapestryModule.java:1044) åÊåÊåÊåÊåÊåÊåÊåÊ* org.apache.tapestry.TapestryFilter.doFilter(TapestryFilter.java:135) åÊåÊåÊåÊåÊåÊåÊåÊ* org.mortbay.jetty.servlet.WebApplicationHandler$CachedChain.doFilter(WebApplicationHandler.java:821) åÊåÊåÊåÊåÊåÊåÊåÊ* org.mortbay.jetty.servlet.WebApplicationHandler.dispatch(WebApplicationHandler.java:471) åÊåÊåÊåÊåÊåÊåÊåÊ* org.mortbay.jetty.servlet.ServletHandler.handle(ServletHandler.java:568) åÊåÊåÊåÊåÊåÊåÊåÊ* org.mortbay.http.HttpContext.handle(HttpContext.java:1530) åÊåÊåÊåÊåÊåÊåÊåÊ* org.mortbay.jetty.servlet.WebApplicationContext.handle(WebApplicationContext.java:633) åÊåÊåÊåÊåÊåÊåÊåÊ* org.mortbay.http.HttpContext.handle(HttpContext.java:1482) åÊåÊåÊåÊåÊåÊåÊåÊ* org.mortbay.http.HttpServer.service(HttpServer.java:909) åÊåÊåÊåÊåÊåÊåÊåÊ* org.mortbay.http.HttpConnection.service(HttpConnection.java:820) åÊåÊåÊåÊåÊåÊåÊåÊ* org.mortbay.http.HttpConnection.handleNext(HttpConnection.java:986) åÊåÊåÊåÊåÊåÊåÊåÊ* org.mortbay.http.HttpConnection.handle(HttpConnection.java:837) åÊåÊåÊåÊåÊåÊåÊåÊ* org.mortbay.http.SocketListener.handleConnection(SocketListener.java:245) åÊåÊåÊåÊåÊåÊåÊåÊ* org.mortbay.util.ThreadedServer.handle(ThreadedServer.java:357) åÊåÊåÊåÊåÊåÊåÊåÊ* org.mortbay.util.ThreadPool$PoolThread.run(ThreadPool.java:534),Could you be a bit more specific over what's broken?,,,,,,,,,,
33963,,,,,,,,Assign to 1.0 during tidy up prior to 1.1,,,,,,,,,,,,,,,,,,
68136,,,,,,,,Committed to the 3.2 branch via revision 634707 and to the trunk (3.3) via revision 634714.,da patch,,,,,,,,,,,,,,,,,
33264,,,,,,,,Assign to 1.0 during tidy up prior to 1.1,,,,,,,,,,,,,,,,,,
10261,,,,,,,,I checked that this bug was fixed in version 2.5.2.,This bug has been fixed in Xalan Java 2.5.2. Please verify.,The testcase extend06 was removed. A new testcase ver08 was added.,Created an attachment (id=8701) Final patch applied to Apache,The testcase has been committed.,Created an attachment (id=8682) new testcase ver08 (output),Created an attachment (id=8681) new testcase ver08 (input),Created an attachment (id=8680) new testcase ver08 (stylesheet) - pls delete extend06,I have applied the patch for this. The current extend06.xsl becomes invalid right now. Joanne; you need to fix the testcase. Please close the bug when the testcase is fixed.,This patch exposed some problems for 1.0 stylesheets because errors were no longer thrown for unknown xsl elements. Another issue is the absence of fallback no longer throws an error. According to the spec; a fallback child is needed for instantiated; unknown xsl elements in forward compatibility mode or else an error is signaled. However; this does not apply to top-level unknown extension or xsl elements. Their contents are simply ignored. The testcase extend06 will have to be revised.,Patch was applied to Apache CVS head branch and xslt20-compiled branch by Brian Minchau. Not only does this patch for 'fallback' fix this bug it also makes ver01 ver05 ver06 and ver07 pass for the XSLTC conformance tests!,Created an attachment (id=8573) Patch for fixing fallback in xsltc,,,,,,,
1101,x,,,,,,,Please consider contributing your ruby binding; we'd love to include it in the release along with python; perl; etc...,Epilogue: I spoke too soon; I guess I had been staring at the data for too long. Some parts of the Stat struct were getting repointed or overwritten by the time the values were shuttled into the Ruby glue. Aside from the variation between 32b and 64b; the variations were repeatable (always the same changes; always the same wrong data); so I thought I saw something that wasn't there. Properly duping the struct before passing to the Ruby thread resolved it.,Sorry; some of the data included is invalid. I'll repost when confirmed; if necessary. :-/,,,,,,,,,,,,,,,,
59616,,,,,,,,Closing this since it was committed in 1.4.0. Fixing tests is covered in SQOOP-397.,Integrated in Sqoop-jdk-1.6 #62 (See https://builds.apache.org/job/Sqoop-jdk-1.6/62/) SQOOP-354 SQOOP needs to be made compatible with Hadoop .23 release blee : http://svn.apache.org/viewvc/?view=rev&rev=1199149 Files : /incubator/sqoop/trunk/src/test/com/cloudera/sqoop/lib/TestLargeObjectLoader.java /incubator/sqoop/trunk/src/test/com/cloudera/sqoop/mapreduce/db/TestDataDrivenDBInputFormat.java /incubator/sqoop/trunk/src/test/com/cloudera/sqoop/testutil/MockObjectFactory.java,Here's an update to the latest patch that Tom posted. This makes Sqoop build. If you want to keep up with the latest versions of this patch check it out from Bigtop.,Apply SQOOP-354-0.23.0-SNAPSHOT.patch in addition to SQOOP-354.patch if you want to run against 0.23. (Not for commit.),Reviewboard: https://reviews.apache.org/r/2758/,It turns out that Mockito isn't needed; since MockObjectFactory was only being used by TestLargeObjectLoader; and then only to configure the output committer. I've simplified the test so that it doesn't use an output committer (since that isn't a part of the behaviour being tested); and now MockObjectFactory is no longer needed. Also; HadoopTestCase wasn't really being used; so I've removed that dependency too. The tests that I've changed work on both 0.20 and 0.23; so I think this change can be committed. Please review. Having a switch to build on either 0.20 or 0.23 should be tackled in another issue.,More precisely; the Hadoop test JARs are being published; but the HadoopTestCase class has not been moved to the Maven part of the build; so is missing from the test JARs. See HADOOP-7590.,Here's a patch to demonstrate the problem. Changing the Hadoop dependency to 0.23 necessitates an incompatible change to MockObjectFactory. This is similar to the changes covered in BIGTOP-162; and which are handled either via shims (an interface whose implementation is conditionally compiled according to the Hadoop target version) or via mock object libraries. Since the changes to Sqoop are only in the tests; using a mock object library is probably most appropriate. Are folks open to adding Mockito (say) as a Sqoop dependency? The other problem; not fixed in the patch; is that the Hadoop test classes (in particular HadoopTestCase) are not yet published to a Maven repository; so it's not possible to compile TestDataDrivenDBInputFormat.,Roman: have you tried excluding the extra transitive dependencies?,This is .23 related. The root cause as far as I can see is the Mavenization of Hadoop. Ivy gets confused because of extra transitive dependencies that it fetches from the .23 pom files.,Is this for 0.23 or 0.22?,A dep. problem? [ivy:resolve] 	==== maven2: tried [ivy:resolve] 	  http://repo1.maven.org/maven2/org/apache/velocity/velocity/1.7/velocity-1.7.pom [ivy:resolve] 		:::::::::::::::::::::::::::::::::::::::::::::: [ivy:resolve] 		::          UNRESOLVED DEPENDENCIES         :: [ivy:resolve] 		:::::::::::::::::::::::::::::::::::::::::::::: [ivy:resolve] 		:: org.apache.velocity#velocity;1.7: not found [ivy:resolve] 		::::::::::::::::::::::::::::::::::::::::::::::,,,,,,,
