id,love,joy,surprise,anger,sadness,fear,notes,comment N,comment N-1,comment N-2,...,comment 2,comment1,,,,,,,,,,,,,,,,,,,
13997,,,X,,,,,Integrated in Struts2-JDK6 #573 (See https://builds.apache.org/job/Struts2-JDK6/573/) WW-3928 Rollbacks changes introduced with WW-2749 to allow work with mod_jk and so on (Revision 1415770) Result = SUCCESS lukaszlenart : Files : /struts/struts2/trunk/plugins/tiles/src/main/java/org/apache/struts2/tiles/StrutsTilesRequestContext.java,Integrated in Struts2-JDK5 #10 (See https://builds.apache.org/job/Struts2-JDK5/10/) WW-3928 Rollbacks changes introduced with WW-2749 to allow work with mod_jk and so on (Revision 1415770) Result = SUCCESS lukaszlenart : Files : /struts/struts2/trunk/plugins/tiles/src/main/java/org/apache/struts2/tiles/StrutsTilesRequestContext.java,I will have to rollback changes to StrutsTilesRequestContext as this causes problems in WW-3928,Integrated in Struts2 #528 (See https://builds.apache.org/job/Struts2/528/) WW-2749 adds missing <version/> tag (Revision 1381889) Result = SUCCESS lukaszlenart : Files : /struts/struts2/trunk/plugins/portlet-tiles/pom.xml,Done; patch applied; new page about the plugin added [1]! Thanks a lot! [1] https://cwiki.apache.org/confluence/display/WW/Portlet+Tiles+Plugin,Integrated in Struts2 #527 (See https://builds.apache.org/job/Struts2/527/) WW-2749 adds support for Tiles in Porlets as a dedicated plugin with new PortletTilesResult (Revision 1381887) Result = FAILURE lukaszlenart : Files : /struts/struts2/trunk/plugins/pom.xml /struts/struts2/trunk/plugins/portlet-tiles /struts/struts2/trunk/plugins/portlet-tiles/pom.xml /struts/struts2/trunk/plugins/portlet-tiles/src /struts/struts2/trunk/plugins/portlet-tiles/src/main /struts/struts2/trunk/plugins/portlet-tiles/src/main/java /struts/struts2/trunk/plugins/portlet-tiles/src/main/java/org /struts/struts2/trunk/plugins/portlet-tiles/src/main/java/org/apache /struts/struts2/trunk/plugins/portlet-tiles/src/main/java/org/apache/struts2 /struts/struts2/trunk/plugins/portlet-tiles/src/main/java/org/apache/struts2/views /struts/struts2/trunk/plugins/portlet-tiles/src/main/java/org/apache/struts2/views/tiles /struts/struts2/trunk/plugins/portlet-tiles/src/main/java/org/apache/struts2/views/tiles/PortletTilesResult.java /struts/struts2/trunk/plugins/portlet-tiles/src/main/resources /struts/struts2/trunk/plugins/portlet-tiles/src/main/resources/LICENSE.txt /struts/struts2/trunk/plugins/portlet-tiles/src/main/resources/NOTICE.txt /struts/struts2/trunk/plugins/portlet-tiles/src/main/resources/struts-plugin.xml /struts/struts2/trunk/plugins/tiles/src/main/java/org/apache/struts2/tiles/StrutsTilesRequestContext.java,Yeah; as this will no block with release if there be no room to introduce changes to the apps.,Ok; then I will provide a patch to update struts-portlet apps with an example. Should I create an issue for this patch (like WW-3853) ?,Nice work; give me some time to introduce these changes as my Mac went away :/,Following the conversation on the issue WW-2801; I attach a patch with a new portlet-tiles-plugin and a sample application.,Hi Do you have some correction date ? It is a painfull bug; I use the tiles plugin 2.1.8 and because it is a blocking issue for my company he may migrate to SiteMesh if no more information are provided.,I can confirm the pactch doesn't work; and the exception stated is thrown.,Are you sure that your patch work? I test this patch and doesn't work for me. I have this error : java.lang.ClassCastException: org.jboss.portal.portlet.impl.jsr168.api.RenderRequestImpl cannot be cast to javax.servlet.http.HttpServletRequest at org.apache.tiles.servlet.context.ServletTilesContextFactory.createRequestContext(ServletTilesContextFactory.java:59) at org.apache.tiles.context.ChainedTilesContextFactory.createRequestContext(ChainedTilesContextFactory.java:136) at org.apache.struts2.tiles.ausy.StrutsTilesContainerFactoryAusy$StrutsTilesContextFactoryAusy.createRequestContext(StrutsTilesContainerFactoryAusy.java:74) at org.apache.tiles.impl.BasicTilesContainer.render(BasicTilesContainer.java:242),This patch (portletTiles.patch) is fixes the main problem; replacing request and response objects available to tiles classes with a proper ones - RenderRequest/Response but StrutsTilesListener from tiles-plugin is still uses StrutsTilesContainerFactory to initialize BasicTilesContainer with a ServletTilesRequestContext context class instead of org.apache.tiles.portlet.context.PortletTilesRequestContext. But as long as PortletContext is not available in Listener it seems to me the interface that tiles exposes for Struts - the TilesContainer - should be initialized somewhere else (perhaps in Jsr168Dispatcher ? ) any suggestions?,Attached patch for struts-2.1.2 to implement result-type 'portletiles',PortletTilesResult class for struts2-portlet-plugin Redefine result-type 'tiles' in your struts.xml to use 'org.apache.struts2.views.tiles.PortletTilesResult' class: <result-types> <result-type name='tiles' class='org.apache.struts2.views.tiles.PortletTilesResult' /> </result-types>,,,,,,,,,
18301,,X,,,,,,Issue is resolved. Closing per Bryant's approval to do so.,Integrated in Wink-Trunk-JDK1.6-itests #50 (See http://hudson.zones.apache.org/hudson/job/Wink-Trunk-JDK1.6-itests/50/) Reduce logging in error path case Stacktraces/exception objects still avaialble in debug mode but in normal mode a simpler info message is logged. Exception still thrown to container and in Geronim/Tomcat this means the stack trace is still printed out to the container log outside of Wink. See [],Integrated in Wink-Trunk-JDK1.5-itests #49 (See http://hudson.zones.apache.org/hudson/job/Wink-Trunk-JDK1.5-itests/49/) Reduce logging in error path case Stacktraces/exception objects still avaialble in debug mode but in normal mode a simpler info message is logged. Exception still thrown to container and in Geronim/Tomcat this means the stack trace is still printed out to the container log outside of Wink. See [],Integrated in Wink-Trunk-JDK1.5 #248 (See http://hudson.zones.apache.org/hudson/job/Wink-Trunk-JDK1.5/248/) Reduce logging in error path case Stacktraces/exception objects still avaialble in debug mode but in normal mode a simpler info message is logged. Exception still thrown to container and in Geronim/Tomcat this means the stack trace is still printed out to the container log outside of Wink. See [],,,,,,,,,,,,,,,,,,,,,
75901,,,,,,,,Refactoring out common code into a parent processing class for ack request/close/terminate,,,,,,,,,,,,,,,,,,,,,,,,
46218,,,,,,,,was introduced with THRIFT-1267,,,,,,,,,,,,,,,,,,,,,,,,
4691,,X,,,,,,Fixed; closing,,,,,,,,,,,,,,,,,,,,,,,,
17895,,X,,,,,,Verified. I added the info to the RELEASE_NOTES file.,I'm closing this as we aren't planning to implement the only remaining issue. I propose we just add an item to the release notes that we're 99% conformant apart from child iframe support.,WOOKIE-308 is the only remaining issue affecting conformance; we aren't going to fix that for 0.9.2 so I'll re-open this issue and punt to 0.10.0 to fix along with WOOKIE-308,OK; I've checked again and it looks like the WebStorage spec changed or I misinterpreted it: while clear() must remove the entries; getItem() must return Null rather than undefined when requesting a non-existing item: widget.preferences.clear(); // get rid of everything widget.preferences.setItem('foo'; null); // set 'foo' to equal null widget.preferences.getItem('foo'); // tuple exists and is set to null; return null widget.preferences.getItem('completely_undefined_bar'); tuple doesn't exist; return null I've updated Wookie and we can now pass test 'at'. We don't pass 'au' but I'll raise another issue for that.,(commits in the w3c test cases repo; not wookie!),OK; looks like my commits fixing the two tests were reverted; so no wonder at and au fail now. I'll follow that up and see if I can resolve it.,Hmm; I updated the 'at' and 'au' test cases at W3C to check for typeof==='undefined' rather than Null so they shouldn't be failing now...,I have just re-run all these tests on Windows 7; in the following environments... IE 9 Firefox 9.0.1 Opera 11.10 Google Chrome 16.0.912.75 m and the results were the same in each case... Test 'return-empty-strings' fails because widget.id returns wookies internal generated Id (expected behavior for wookie) Test 'setItem-fires-event' fails (storage event from iframe) Test 'removeItem-fires-event' fails (storage event from iframe) Test 'clearItem-fires-event' fails (storage event from iframe) Test 'Test at' fails because widget expects window.widget.preferences.getItem('deletable') to be null. it is actually 'undefined' Test 'au' fails because widget expects prefs.getItem('test1') to be null. it is actually 'undefined' It looks to me that this is in keeping with Scotts results; ok to verifiy now?,So here's the summary: #1 Fixed #2 Not a bug - I think its reasonable we pass on generated ids in the metadata #3 I don't think its really relevant as its an edge case. If anyone asks for sending storage events to child frames we can do it; but its not exactly urgent. #4 This is a test error - I've filed a bug with w3c ... so I'm closing the issue,I've fixed the engine.js error - this was caused by trying to delete prefs that throw a NO_MODIFICATION_ALLOWED_ERR . However the test case itself seems to be wrong as it expects cleared prefs to be === Null rather than typeof 'undefined'.,Current test results (0.9.2 rev 1199782) show mostly green; the following red: 1 Test preferences_attrreadonly failed because preferences in window.widget is not read-only 2 Test return-emtpy-strings failed because one of the attributes returned an incorrect value 3 Test did not run or storage event was never fired. 4 Test au failed because the values of the stored preferences were not what they should have been. #1 is because the preferences attribute itself is not read-only #2 is because we always generate an ID for a widget; even if it doesn't have one by default. #3 is a bit of a strange one to implement I'm not sure what causes the problem with #4; but it throws an engine.js error.,,,,,,,,,,,,,,
81122,,,,,,,,Committed to 0.18 branch r1366206,,,,,,,,,,,,,,,,,,,,,,,,
10134,,,,X,,,,Brian; I understand what you say and specification about 'serialization' in XSLT not 'indenting'. As I saied before; indenting is just the thing that we easily see the structure and data of XML document. Xalan output is not easy to see that. The last; I think the example of non-whitespace characters is no relationship to indenting. non-whitespace characters must not be stripped; but whitespace characters could be stripped. Regards; Tetsuya Yoshida åÊåÊåÊåÊ,,,,,,,,,,,,,,,,,,,,,,,,
28865,,,X,,,,,Fixed a prompt that asks user to enter either 's' or 'q'.,,,,,,,,,,,,,,,,,,,,,,,,
81302,,,,,,,,Changes merged to the 0.16 branch; updating the fix-for version accordingly.,,,,,,,,,,,,,,,,,,,,,,,,
48034,,,X,,,,,Very curious as to where you saw that exception. Because digging through my log files; all I see are series of 'NoClassDefFound' exceptions. Same goes for the sample project I submitted. I get the following stack trace: java.lang.RuntimeException: java.lang.ClassNotFoundException: caught an exception while obtaining a class file for org.apache.tapestry.transformationtest.pages.Start åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.tapestry.internal.services.ComponentInstantiatorSourceImpl.findClass(ComponentInstantiatorSourceImpl.java:240) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.tapestry.internal.services.ComponentInstantiatorSourceImpl.findInstantiator(ComponentInstantiatorSourceImpl.java:222) åÊåÊåÊåÊåÊåÊåÊåÊat $ComponentInstantiatorSource_1177c5597da.findInstantiator($ComponentInstantiatorSource_1177c5597da.java) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.tapestry.internal.services.PageElementFactoryImpl.newRootComponentElement(PageElementFactoryImpl.java:297) åÊåÊåÊåÊåÊåÊåÊåÊat $PageElementFactory_1177c5597e8.newRootComponentElement($PageElementFactory_1177c5597e8.java) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.tapestry.internal.services.PageLoaderProcessor.loadRootComponent(PageLoaderProcessor.java:387) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.tapestry.internal.services.PageLoaderProcessor.loadPage(PageLoaderProcessor.java:365) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.tapestry.internal.services.PageLoaderImpl.loadPage(PageLoaderImpl.java:60) åÊåÊåÊåÊåÊåÊåÊåÊat $PageLoader_1177c5597e5.loadPage($PageLoader_1177c5597e5.java) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.tapestry.internal.services.PagePoolCache.checkout(PagePoolCache.java:188) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.tapestry.internal.services.PagePoolImpl.checkout(PagePoolImpl.java:108) åÊåÊåÊåÊåÊåÊåÊåÊat $PagePool_1177c5597e4.checkout($PagePool_1177c5597e4.java) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.tapestry.internal.services.RequestPageCacheImpl.get(RequestPageCacheImpl.java:43) åÊåÊåÊåÊåÊåÊåÊåÊat $RequestPageCache_1177c5597e3.get($RequestPageCache_1177c5597e3.java) åÊåÊåÊåÊåÊåÊåÊåÊat $RequestPageCache_1177c5597d7.get($RequestPageCache_1177c5597d7.java) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.tapestry.internal.services.PageRenderRequestHandlerImpl.handle(PageRenderRequestHandlerImpl.java:55) åÊåÊåÊåÊåÊåÊåÊåÊat $PageRenderRequestHandler_1177c5597cc.handle($PageRenderRequestHandler_1177c5597cc.java) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.tapestry.internal.test.PageLinkInvoker.invoke(PageLinkInvoker.java:59) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.tapestry.test.PageTester.invoke(PageTester.java:167) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.tapestry.test.PageTester.renderPage(PageTester.java:129) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.tapestry.transformationtest.pages.TestStart.render_start(TestStart.java:12) Even turning on debugging output; I don't see the exception message you posted.,Exception is pretty clear: 'Service interface org.apache.tapestry.services.DataTypeAnalyzer is matched by 2 services: DataTypeAnalyzer; DefaultDataTypeAnalyzer. Automatic dependency resolution requires that exactly one service implement the interface.' Inside TapestryModule: åÊåÊ@Marker(Primary.class) åÊåÊåÊåÊpublic DataTypeAnalyzer build(List<DataTypeAnalyzer> configuration) åÊåÊåÊåÊ{ åÊåÊåÊåÊåÊåÊåÊåÊreturn _chainBuilder.build(DataTypeAnalyzer.class; configuration); åÊåÊåÊåÊ} Changing Start.java to: public class Start { åÊåÊåÊåÊ@Inject @Primary åÊåÊåÊåÊprivate DataTypeAnalyzer _analyzer; } And all is well.,Uploading a maven project which illustrates the bug. The project uses 5.0.8-SNAPSHOT; but the error is also present in 5.0.7.,,,,,,,,,,,,,,,,,,,,,,
78211,,,,,,,,Also fixed in main 0.9.7 branch,Also fixed in main 0.9.7 branch,,,,,,,,,,,,,,,,,,,,,,,
409,,,,,,,,I'm backporting this to 3.4 and 3.3 branches. --Michi,,,,,,,,,,,,,,,,,,,,,,,,
38592,X,,,,,,,in branch,,,,,,,,,,,,,,,,,,,,,,,,
79211,,,,,,,,Thanks Marijan; will do!,,,,,,,,,,,,,,,,,,,,,,,,
14237,,,,,,,,Resolving this issue as the original problem has been fixed. Please open a new ticket if you feel session invalidation should also be addressed.,,,,,,,,,,,,,,,,,,,,,,,,
38797,,,,,,,,home page fixed in svn.,,,,,,,,,,,,,,,,,,,,,,,,
13658,,,X,,,,,> Would it have an impact to remove this 'name' attribute from the generated 'form' tag ? YES! If you need XHTML strict compliance; just drop a new copy of form-common.ftl into template/simple; you can easily take out the section that generates the name=... It would probably cause us major problems; but you might be able to code around it for a single app. You can reopen as a feature request; but I think it is sufficient that you can change the templates yourself.,,,,,,,,,,,,,,,,,,,,,,,,
11834,,,,,,,,Still happens to me. Steps to duplicate: 1. Start IE5.5 on Win2k - open java console from the 'view' menu. 2. Download xalan-j_2_2_D11.tar.gz to server. 3. tar xzf xalan-j_2_2_D11.tar.gz (extract to location on a webserver - for me this was /home/httpd/html) 4. navigate to http://SERVER/xalan- j_2_2_D11/samples/AppletXMLtoHTML/appletXMLtoHTML.html,Should have been fixed in OutputProperties.java r1.14 on 21-May-01,I don't think you covered all of the offending calls to System.getProperty(). Specifically; you did not catch SecurityException in the org.apache.xalan.templates.OutputProperties.loadPropertiesFile() method.,Fixed a while back by cmanolache and curcuru in several checkins: we should be catching SecurityException anyplace we call System.getProperty with a potentially out-of-sandbox property.,,,,,,,,,,,,,,,,,,,,,
73717,,x,,,,,,Patch applied; thanks,,,,,,,,,,,,,,,,,,,,,,,,
71224,,,,,,,,Additional fixes in Rev. 737663 and fixing the jcrapp module in Rev. 737664 completes this issue.,Modified the launchpad modules bundles; app; webapp; and testing to be version 4-incubator-SNAPSHOT in Rev. 737661,,,,,,,,,,,,,,,,,,,,,,,
67301,x,,,,,,,Very nice; thank you! Your pom works perfectly... I didn't think of adding the version tag there and ended up exporting * and then later add !org.w3c.dom and !javax.xml to prevent errors...,Sending xmlbeans-2.4.0/pom.xml Transmitting file data . Committed revision 756765.,i reformatted the manifest and the package in question is in fact exported... which only confuses me more...,Thanks for the hint; the pom from the link I posted didn't quite work; yours works out of the box... I've added the extra export and now I somehow get less far than before. Before; I got an exception while some of my code was executed; now I'm stuck in the osgi wiring process: ---------- DEBUG: WIRE: 66.0 -> schemaorg_apache_xmlbeans.namespace.http_3A_2F_2Fwww_2Ebea_2Ecom_2F2003_2F05_2Fxmlbean_2Fltgfmt -> 66.0 DEBUG: WIRE: 66.0 -> schemaorg_apache_xmlbeans.javaname.org.apache.xmlbeans.impl.xb.xmlconfig.Extensionconfig -> 66.0 DEBUG: WIRE: 66.0 -> schemaorg_apache_xmlbeans.javaname.org.apache.xmlbeans.impl.xb.xsdschema.NarrowMaxMin -> 66.0 DEBUG: WIRE: 66.0 -> org.apache.xmlbeans.impl.xb.ltgfmt -> 66.0 DEBUG: WIRE: 66.0 -> schemaorg_apache_xmlbeans.element.URI_SHA_1_0072531D5C2BA64B5A3672B694CDAA153CD30788 -> 66.0 ERROR BundleException: Unresolved constraint in bundle 67: package; (&(package=org.apache.xmlbeans.impl.xb.xsdschema)(version>=2.4.0)) ---------- In my own bundle; I imported that package explicitly because it wouldn't build otherwise. Now when I check the enriched jar file; that package is exported numerous times and yet I get an error... Ok I just went trough the manifest and looked a bit harder. It seems most if not all Export statements look something like this: ---------- org.apache.xmlbeans.impl.inst2xsd.util;uses:='org.apache.xmlbeans.impl.values;org.apache.xmlbeans.impl.xb.xsdschema;org.apache.xmlbeans;org.apache.xmlbeans.impl.common;javax.xml.namespace' ---------- So xsdschema is only referenced in uses but never exported itself. How is that possible? The config in the pom should clearly export that package too: ---------- <servicemix.osgi.export.pkg> !repackage; org.apache.xmlbeans*; schemaorg_apache_xmlbeans* </servicemix.osgi.export.pkg> ---------- The import in my app would be this: ---------- <ws-gateway.osgi.import.package> ... org.apache.xmlbeans;version='$ {xmlbeans-version}'; org.apache.xmlbeans.impl.xb.xsdschema;version='${xmlbeans-version} '; ... </ws-gateway.osgi.import.package> ---------- Without the second import; I get a build error... I hoped I could just add that package and be done but apparently there's more to that... Since I'm not an osgi expert I have no clue why this happens... I'm open for suggestions on what to try next... thanks...,The maven project for this bundle is available at https://svn.apache.org/repos/asf/servicemix/smx4/bundles/trunk/xmlbeans-2.4.0/ Feel free to create a patch or ask for more informations if you need.,,,,,,,,,,,,,,,,,,,,
70265,,,,,,x,,If I see it correctly; the current implementation creates a resource provider for each symlink - I fear what happens if there are hundreds or thousands of symlinks,,,,,,,,,,,,,,,,,,,,,,,,
48875,x,,x,,,x,,This works great for me; but it has demonstrated another issue when some Tapestry's script files try to use the clientId in order to create javascript identifiers for variables. I'll open a new issue describing this.,,,,,,,,,,,,,,,,,,,,,,,,
30705,x,x,,,,,,Patch applied Eric.,,,,,,,,,,,,,,,,,,,,,,,,
32125,,x,,,,,,This change is now in trunk as part of r679774.,,,,,,,,,,,,,,,,,,,,,,,,
2557,,,,x,,,,I like MemoryResourceCalculator (or MemoryBasedResourceCalculator) better as well; that was my first choice; and is what the attached patch uses. Arun went with that on YARN-2 but people objected; if people are OK with it now then let's go with it. I don't think proliferation of many class names will be an issue.,,,,,,,,,,,,,,,,,,,,,,,,
60217,x,,,,,,,The commit tag bot is neat!,,,,,,,,,,,,,,,,,,,,,,,,
74301,x,x,,,,,,Applied in r648154. Thanks!,,,,,,,,,,,,,,,,,,,,,,,,
15914,,,,,x,,,Oppss... sorry late reply.... Thx for handling this issue Claus. I prefered it to be the way it is now; document this behaviour as Claus already did. I think there might be both behaviour have its particular usage; if we want to have a param that is a string; it makes sense to use <param>...</param>; anything in between that's enclosed with %{} will be evaluated and its toString() called. On the other hand; if we want an object; we could used the value attribute. I guess what i'm trying to say is that both way of using param have their own usage. Of course this is just my 2 cents,Updatede tag documentation. If we need to align the tag as a consistent behaviour for both situations we should reopen this and schedule it for a 2.3 or future version where we need to give 3rd party tag developers the change to validate their tags if we change it in WW.,Okay I have updated Param.java with a note section about the two situations outlined by Toby (1) and (2).,Rainer As I have little real life WW experience I can only voice as an outsider. I would expect the tags to work excatly the same way using both usages. It's just a preference how you write XML. If we have a migration guide we could write that this behavior is changed. As the 2.2.2 release is out of the door soon; we could keep as it is and write comments in the javadoc; wiki about this odd behavior. And for 2.3 we could fix it.,Toby; Claus; what are your suggestions on this? My expectation would be; that both usages behave similar or it should be clearly outlined in the docs (wiki AND javadocs) pointing out the difference... What do you think?,Hi Toby Yeah I agree that breaking old components is dangerous. And does the unit test really cover all these situations? WW code coverage is < 40%. Yes I would be nice the hear others opinions and if anyone had a real use-case with this situation. And I really think the two different situations should be documented in the javadoc for the .class and at wiki docs. For a user this could be a hard defect to track down.,Hi Claus; Currently they are not working in the same way actually. If we change them it might break some components.... but then we have our little test case to check against.... > And I guess % { ... } expression should always be evaluated. I think it is evaluated in both case; just that in once case it is evaluated to a String while the other to object. I am not sure if we should change the current behaviour... maybe we could post this in the forum and see what others think about it. What do you think?,@tm Should both situations 1+2 not work excatly the same way? Otherwise users will get confued; I for sure would. And I guess % { ... } expression should always be evaluated.,If not mistaken <param>someThing</param> ----- (1) <param value='anotherThing'/> ---- (2) In (1); it would be evaluated to the stack as String while in (2) it will be evaluated to the stack as object. I guess; if one needs it as string then (1) could be used; it is possible to have eg. <param>hello % {user.name} </param> where user.name will be evaluated to the stack and its string value appended. If it works this way; i don't think it is a bug.,Is this still an issue? I cannot find that code in ParamTag. I see something in that type into Param; but it looks oke to me. ./alex _x0089_ÛÒ .w( the_mindstorm )p.,,,,,,,,,,,,,,,
58484,,,,,,x,,Build on Windows looks also okay but there are still other problem loading the model data for the entity hub.,,,,,,,,,,,,,,,,,,,,,,,,
34194,x,x,,,,,,Patch applied. Thanks!,Patch is provided. A celtix configuration file called server.xml is added.,,,,,,,,,,,,,,,,,,,,,,,
48779,x,x,,,,,,Thanks for the issue / steps to resolve. Pretty much did what you said verbatim. (as it worked out on the other regexp issue),,,,,,,,,,,,,,,,,,,,,,,,
41306,,,x,,,,,The above code is a part of a dataTable of course ...,,,,,,,,,,,,,,,,,,,,,,,,
33049,,x,x,,x,,,This is now fixed!,Axis2 1.3 patch that gets all the tests passing and a successful build,"'""I am running into a few test errors with this patch' A 'few' !""",Based on the analysis I just did; showing that Java code changes to port to Axis2 are very minimal and can be clearly identified; I recommend to do this port for the 1.0 release.,I did an evaluation of the changes required to port to Axis2 1.3. 1561-java.diff is a diff of the java source code changes only; to help people review the changes. They are very minimal (mostly Java package renames; plus a few method signature changes). I marked the actual logic changes with a // JIRA TUSCANY-1561 comment. 1561.patch is the complete patch including changes to the Maven pom.xml files and the axis2.xml configuration file. The rampart mar (for the security policy support) also needs to be upgraded to from 1.2 to 1.3; as shown in 1561.patch. I am running into a few test errors with this patch so it would be great if people involved in the binding-ws-axis2 work could review it and help see what's wrong; as I may have missed something... Thanks.,Moving out of 1.0 as it just doesn't seem like this is going to happen,,,,,,,,,,,,,,,,,,,
81230,,x,,,,,,The above commits were approved by Justin on the dev list; and have now been merged to the 0.18 branch.,0001-QPID-3999-Java-Broker-Get-the-user-name-from-HttpSer.patch (9th July) and 0001-QPID-3998-QPID-3999-System-tests-for-Rest-API-small-.patch (10 July) applied to trunk; after the branch for 0.18 was created. Commits were http://svn.apache.org/viewvc?view=revision&revision=1360120 and http://svn.apache.org/viewvc?view=revision&revision=1360121 respectively.,Robbie; I uploaded a newer version of a patch with REST API tests. Could you please review and commit it?,Attached a patch with changes in SaslServlet allowing to get username from HttpServletRequest#getRemoteUser(),Attached patch with system tests for REST API,Added patch changing management web layer to allow execution of DELETE and PUT methods functionality with POST requests. Change management UI to use POST requests for resource deletion.,Attached a patch adding RequestHeaderPreAuthenticatedCredentialsFilter into broker-web to allow set principal/subject from the specified request header. This filter can be used to set request credentials with Single Sign-On systems like Siteminder SS0. Possibly; the better place for the filter could be inside of management plugin; so; it could be used with stand-alone brokers. However; I am not sure about it as the filter adds the potential security hole into the web console. That's why this functionality is implemented as a filter instead of adding the code directly into AbstractServlet.,Attached a patch adding temporary authorization checks for message copy/delete/move in management web console,Attached a patch changing web console to use anonymous subject for non-authenticated requests,Attached a patch with a special module to build qpid war to deploy and run Qpid in servlet container.,Attached a patch adding default constructors to management servlets and making all links in web UI relative to the web application context,,,,,,,,,,,,,,
17964,,x,,,,,,Fixed.,,,,,,,,,,,,,,,,,,,,,,,,
73977,,x,,,,,,Applied patch from Jasvir. Also corrected case error in Enum type in Java,,,,,,,,,,,,,,,,,,,,,,,,
54763,,x,,,,,,Fixed.,,,,,,,,,,,,,,,,,,,,,,,,
76244,,,,,,,,merged into piper commit d5b96f571c6c43c9e42dfdc78fd906b6b5254e67,,,,,,,,,,,,,,,,,,,,,,,,
14371,,,,,,,,This is by design; as it allows us to support Velocity results; but only if the Velocity jars are available. The message is logged at DEBUG since most users won't have it enabled for development and certainly not for production.,Setting to future pending a patch.,Tested it with Struts 2.0.11 too: The velocity dependency remains; and there are other two dependencies on the following classes: java.lang.NoClassDefFoundError: org/python/core/PyException java.lang.NoClassDefFoundError: org/apache/commons/fileupload/RequestContext,,,,,,,,,,,,,,,,,,,,,,
