id,love,joy,surprise,anger,sadness,fear,notes,comment N,comment N-1,comment N-2,...,comment 2,comment1,,,,,,,,,,,,,,,
33049,,x,,,,,"beacuse fixing a bug is jouyful, and also becasue of the ""!"" at the end",This is now fixed!,,,,,,,,,,,,,,,,,,,,
81302,,,,,,,,Changes merged to the 0.16 branch; updating the fix-for version accordingly.,Reviewed by Alex. Approved for 0.16.,Reviewed with no comments,Thats right; if the priority differs then the decision can/must be made solely based on that since it means the entries are within entirely different QueueEntryLists; however if both are of the same priority then the entry IDs must be used to determine the relative position within a particular QueueEntryList.,Awesome...thanks a lot Robbie for the update...Now I understand the cause quite well. i looked at your CL..and it makes sense..I see that now you're actually comparing against the priority value itself; unlike earlier where the id's of the last seen/released messages were compared. Thanks a ton...I will try to play around with the updated code in trunk; and let you know if I find any issues (I guess I won't),Hi Alex; can you click the review button please,Hi praveen; The second consumer being present meant it would never work as-was; but it did indeed have nothing to do with why it failed to work originally; which actually seems to be identical in both test cases above in the end. The out-of-order queues (Priority; Sorted) make specific attempt during enqueues to ensure that when a message is added that would violate traditional FIFO behaviour that the consumer subscriptions are updated to reflect that they need to 'go back' and progress delivery from this 'earlier' point. This is ultimately done by leveraging the same underlying mechanism used to handle messages being acquired by consumers and then released back onto the queue again without actually being consumed (hence the 'released' field name references scattered throughout the process). There was a fairly clear defect in the way checking the need for such updates was performed with the PriorityQueues meaning it could fail to take the proper course of action and lead to the situation you observed; where a subscription had effectively already passed one or more higher priority messages and wouldnt be able to 'go back' for them meaning they would just sit on the queue. The update I made seems like it should fix the problem; and did allow both your examples to run reliably (after the modifications as mentioned above). In addition to the unit test(s) added with the update earlier; I have now also added a system test based on the process in your example which would sporadically fail to receive all the messages without the fix in place; and then reliably receives them all with it present. This is all on trunk now so you can try it out for yourself if you like. I forced the build of the nightly release job for the Java artefacts (https://builds.apache.org/view/M-R/view/Qpid/job/Qpid-Java-Artefact-Release) to run early; so the broker artefacts at this URL should now contain the fix: https://builds.apache.org/view/M-R/view/Qpid/job/Qpid-Java-Artefact-Release/lastSuccessfulBuild/artifact/trunk/qpid/java/broker/release/ Robbie,Hi Robbie; Thanks for the update. In the second case; I meant to close to consumer in the failing test that I sent you. I've updated the test and added it again. Even when I close the initial consumer the issue exists. Would that also be fixed by your change? Thanks a lot for taking this up immediately. It'd be great if we can get this in 0.16. Thanks; Praveen,I have taken a look at this today and noticed an issue in the PriorityQueue; which looks to have been possibly highlighted by a change made since 0.14 to resolve a not entirely dissimilar issue with the SortedQueue implementation which was added (see QPID-3704). I have committed a candidate fix to trunk; I'll request its inclusion in 0.16 once I do/add some further testing; although it is Justins call whether it makes the release. The example for your second case wasn't closing its initial consumer; so this will cause it to hold a prefetched message. Both examples were leaving messages on the broker when they were 'complete'. Modifying them to resolve those issues; I was able to repeatedly run them both successfully with the above mentioned change in place.,,,,,,,,,,,,
23248,,,,,,,,Fixed in trunk (r555005).,Ah; I see. I was evidently being a bit dense before; sorry. Will get around to this later today on trunk and 1.2.x branches.,Palette is constructed using a ChoiceRenderer as the 4th argument. There are 3 ways to construct a ChoiceRenderer; two of those do not require specifying an id expression because the item's index can be used instead. This works fine in most cases but not for the Palette. When creating a Palette object make sure you use a ChoiceRenderer that has been constructed with the 2-argument constructor; specifying both display and id expression.,Sorry; I don't quite follow you. How is this unclear? You need to implement an IChoiceRenderer. This clearly has two method signatures you need to implement; which are both properly javadoc'ed.,,,,,,,,,,,,,,,,,
30705,,,,,,,,Patch applied Eric.,Moving to 2.0,,,,,,,,,,,,,,,,,,,
68066,,,,,x,,,Fixed. Sorry for long waiting. I didn't find the time. Author: tterm Date: Mon Jul 21 01:53:35 2008 New Revision: 678365 URL: http://svn.apache.org/viewvc?rev=678365&view=rev Log: Preserving or configuring content-type of http-header Modified: servicemix/smx3/branches/servicemix-3.2/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/HttpEndpoint.java servicemix/smx3/branches/servicemix-3.2/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/processors/ProviderProcessor.java,,,,,,,,,,,,,,,,,,,,
14371,,,,,,,,This is by design; as it allows us to support Velocity results; but only if the Velocity jars are available. The message is logged at DEBUG since most users won't have it enabled for development and certainly not for production.,,,,,,,,,,,,,,,,,,,,
70265,,,,,,x,,If I see it correctly; the current implementation creates a resource provider for each symlink - I fear what happens if there are hundreds or thousands of symlinks,I'm still not 100% convinced that a resource decorator couldn't solve the simple use case. I wouldn't go into merging or overlaying etc. just plain linking :) So; if you have resources /a/b1 and /a/b2 and symlink resources: /s/x1 -> /a/b2 /s/x2 -> /a/b1 Listing the children of /s gives you x1 and x2 - you could also have a non symlink resource /s/x3 there When requesting /s/x1 the resource decorator detects the symlink and returns a resource with the path /s/x1 but forwards all other methods to the resource of /a/b2. This of course works only for this level; so the question is just what a list children of /s/x1 returns or it is desired to allow deep links like /s/x1/bla/bli/blo which is then resolved to /a/b2/bla/bli/blo.,Here my naive two cent to this topic: Why not simply extending the existing JcrResourceResolver to make it recognizing sling:symlink (or so) node types and make it return the referenced resource instead of the requested resource. This way there is no confusion in what this feature does: using a resource at one location as a 'placeholder' for a resource at some other location. Here some use cases where this feature would come in quite handy: 1. Site Navigation: Creating views to the content tailored to requirements of certain groups of users. These views are comparable to database views with the exception that they are static: a subtree contains only sling:symlink nodes to build up the 'view'... 2. Reducing redundancy by reusing existing resources in a different context.,What I'm thinking is let's say... Node /b/bar has property text1='one' Node /b/baz has property text2='three' Node /a/foo has property text='two' Node /a/foo also has sling:overlayPath = [/b/bar; /b/baz] /a/foo.json will return { åÊ'text' : 'two'; åÊ'sling:overlayPath' : ['/b/bar'; '/b/baz']; åÊ'text1' : 'one'; åÊ'text2' : 'three' },@Justin > Any reason you couldn't have this be a multivalued property? I cannot imagine how that would work. Could you elaborate? Ok; thank you very much for the plentiful feedback! I'll take this through another iteration to incorporate your feedback. I'll drop the symlink idea in favor of the overlay mechanism. This should simplify the code a little and does make sense for me; since I don't have the symlink use-case at the moment. Unfortunately I don't have much time on my hands to work on this during my day job; so it may take a little while.,>> Just thinking out loud here; but how about *only* supporting overlays. I can see how >> overlays and symlinks are related; but they actually seems like different use cases. > >Ok; that could be easily done. What about the following: if we think of the tree we want to overlay as the 'shadow'-tree (again; I'm open for >better names); we could define a property 'sling:shadow' (or sling:shadowPath; sling:shadowRoot?). 'sling:shadow' would contain a string >value; the root path of the 'shadow'-tree. I liked 'overlay' :) Any reason you couldn't have this be a multivalued property? > You suggest *only* supporting overlays. Would you drop the symlink use-case entirely; implement it using shareable nodes or support it via > a sling:symlink (aka sling:symlinkTarget; playing the names-game again) property? Supporting the last use-case would be trivial; however; it > might be confusing. I would say drop it entirely. It can be done with shareable nodes and it sounds like you don't need it. If someone needs it in the future; we can revisit.,I suggest sling:overlayPath for the property name. As for symlinks; I'd consider this a distinct problem; and if needed create a distinct component to handle them. I think that's what Justin meant.,> Just thinking out loud here; but how about *only* supporting overlays. I can see how > overlays and symlinks are related; but they actually seems like different use cases. Ok; that could be easily done. What about the following: if we think of the tree we want to overlay as the 'shadow'-tree (again; I'm open for better names); we could define a property 'sling:shadow' (or sling:shadowPath; sling:shadowRoot?). 'sling:shadow' would contain a string value; the root path of the 'shadow'-tree. You suggest *only* supporting overlays. Would you drop the symlink use-case entirely; implement it using shareable nodes or support it via a sling:symlink (aka sling:symlinkTarget; playing the names-game again) property? Supporting the last use-case would be trivial; however; it might be confusing.,> Just thinking out loud here; but how about *only* supporting overlays. I can see how > overlays and symlinks are related; but they actually seems like different use cases. I like that.,> However; the use-case I need to cover is creating a language tree in a WCM scenario; which can be gradually overlayed with translated > pages Just thinking out loud here; but how about *only* supporting overlays. I can see how overlays and symlinks are related; but they actually seems like different use cases.,Re-attached and granted license to ASF.,Thanks for the feedback so far! @Bertrand > Seems like this could be very confusing...if you really need it; I'd suggest making it configurable and turned off by default. It is configurable via the sling:overlayable boolean property and the default; i.e. if the property is missing; is off. @Felix > * As for the symlink query: I would look for sling:symlinkTarget properties agreed > * sling:overlayable: I understand the concept; but: can we come up with a nicer name ? ;-) Please feel free to suggest something more intuitive ;) > * The ResourceResolver field of the SymlinkManager should be private. Access to the field for the SymlinkResourceProvider > should be possible using a getter method Yes; that should be private. I think it is not used by SymlinkResourceProvider at all. > * SymlinkResourceProvider.listChildren should probably support non-Symlink resources; particularly if the symlink overlay is > enabled Yes; I was thinking about this. I don't think it's trivial; as the ResourceResolver might go into a recursion. That's the reason I'm using the JCR API in places. An option might be to directly query other ResourceProviders. > * As a convenience it would be usefull to add the rootPath to the service.description property of the provider service registration Purely for information? Yes; makes sense. A web console plugin might also be useful. I was also playing with the thought of exposing SymlinkManager as a service and provide an API to e.g. list registered symlinks. > * Not sure here: Would it make sense to have the sling:SymlinkResource type also extend sling:Resource ? Not sure either; probably won't hurt. What's the use of slingResource btw? > * How is the symlink resource accessible ? I used CRXDE lite for testing; which works via the Jackrabbit davx servlet. Therefore I don't know. Is the POST servlet purely JCR based? If that's the case; at least modifications would be possible. It seems; however; that a solution is needed to also view the symlink definition. Ideas welcome :) > ... one more thing: for us to be able to use this contribution you should upload it with the 'Grant license to ASF for inclusion in ASF works' button checked. Thanks. That's a mistake; I meant to check this of course. @Justin I agree that shareable nodes could be an alternative way to explore this. However; the use-case I need to cover is creating a language tree in a WCM scenario; which can be gradually overlayed with translated pages. So the 'with exception of overlayable' would have hurt.,with the exception of 'overlayable'; don't JCR 2 shareable nodes accomplish the same thing and have the advantage that the post servlet will work on all members of the shared set?,... one more thing: for us to be able to use this contribution you should upload it with the 'Grant license to ASF for inclusion in ASF works' button checked. Thanks.,Looks interesting to me .... @Carsten: I don't think ResourceDecorator would help here; because this functionality really creates a virtual subtree in the resource tree root et the symlink resource containing the subtree rooted at the symlink target. Some comments to the patch: åÊåÊ* As for the symlink query: I would look for sling:symlinkTarget properties and not the node type. The node type is mostly åÊåÊåÊåÊåÊåÊinteresting for applications/administrators but on an implementation level; the property is what we are interested in åÊåÊ* sling:overlayable: I understand the concept; but: can we come up with a nicer name ? ;-) åÊåÊ* The ResourceResolver field of the SymlinkManager should be private. Access to the field for the SymlinkResourceProvider åÊåÊåÊåÊåÊåÊshould be possible using a getter method åÊåÊ* SymlinkResourceProvider.listChildren should probably support non-Symlink resources; particularly if the symlink overlay is åÊåÊåÊåÊåÊåÊenabled åÊåÊ* As a convenience it would be usefull to add the rootPath to the service.description property of the provider service registration åÊåÊ* Not sure here: Would it make sense to have the sling:SymlinkResource type also extend sling:Resource ? åÊåÊ* How is the symlink resource accessible ? Symlink Resource Access: Provided you have a resource /content/symlink with a symlink target set to /content/target. Thus accessing /content/symlink would actually return you the /content/target resource; which makes perfect sense. But: How is the actual /content/symlink resource accessible ? For example; if we want to remove the symlink or if we want to retarget the symlink ?,Thanks for the clarifcation. > Then if /a/foo has property sling:overlayable=true > (in addition to sling:symlinkTarget = /b/bar) > /a/foo/4/text is 'four' Seems like this could be very confusing...if you really need it; I'd suggest making it configurable and turned off by default. IMO symlinks should mimic what happens in a unixish filesystem: if /a/foo has sling:simlinkTarget = /b/bar; I'd like /a/foo and everything under it to be the same tree as /b/bar.,@Carsten I didn't look into the ResourceDecorator mechanism; so I don't know if the same use-case could be implemented that way. But if you have input I'm certainly very interested. @Bertrand The example you gave is precisely what I had in mind and what the patch achieves. Additionally; extending your example; assume /a/foo/4 has property text='four' Then if /a/foo has property sling:overlayable=true (in addition to sling:symlinkTarget = /b/bar) /a/foo/text is 'one' /a/foo/4/text is 'four' /a/foo/4/2/text is 'three',> ...JCR content from the sling:symlinkTarget path is then exposed below the symlink node... Not sure if I understand this correctly; can you confirm that the use case is as follows? Node /b/bar has property text='one' Node /b/bar/4/2 has property text='three' Node /a/foo has property text='two' Then if /a/foo has sling:simlinkTarget = /b/bar /a/foo/text is 'one' /a/foo/4/2/text is 'three' Is that correct?,I haven't looked into your patch yet; but what about using a ResourceDecorator instead of a provider - this avoids all observation stuff etc.,,
5713,,,,,,,,Venu committed your patch for Xerces 2.6.0. Please verify.,Created an attachment (id=9160) Test program to display the problem (2) explained in bug report,Created an attachment (id=9159) Patch file for fixing DOMSerializerImpl class bugs,,,,,,,,,,,,,,,,,,
23562,,,,,,,,Rolled back the change to Resource and included a FIXME that notes we don't cover all cases. But that doesn't lead to very serious problems anymore as it least the exception isn't thrown up in ComponentResourceRequestTarget anymore.,,,,,,,,,,,,,,,,,,,,
43983,,,,,,,,Closed due to the release of Tiles 2.1.1,,,,,,,,,,,,,,,,,,,,
51694,,,,,,,,Yes; it's my mistake; I'm overlooked this property.,,,,,,,,,,,,,,,,,,,,
19946,,,,,,,,Is there any documentation such as 'getting started with swarm' available? If there is; could you share links? Thanks.,Changed the link to point to the project's code and examples in its new home - github.org/wicketstuff,,,,,,,,,,,,,,,,,,,
60192,,,,,,,,[branch_4x commit] Mark Robert Miller http://svn.apache.org/viewvc?view=revision&revision=1427873 SOLR-4254: Harden the 'leader requests replica to recover' code path.,[trunk commit] Mark Robert Miller http://svn.apache.org/viewvc?view=revision&revision=1427872 SOLR-4254: Harden the 'leader requests replica to recover' code path.,,,,,,,,,,,,,,,,,,,
74301,,,,,,,,Applied in r648154. Thanks!,The OAuth parameters are always urlencoded. The question is; where do they go. The OAuth spec specifies three potential places: the Authorization: header; the URI query part; or the POST body. The latter location only works; however; if the POST body is already of the right type (x-www-form-urlencoded). The code currently gets this wrong (attempting to add urlencoded OAuth parameters to any kind of POST body); and generally doesn't let you specify which of the three places you want your parameters to go. After the patch; they will go by default into the Authorization: header; which will work both with GETs and with POSTs of any MIME type.,I seem to recall Brian mentioning that OAuth only supported urlencoded (using their strict urlencoding definiton) requests. Is this not the case? Maybe I should just read the spec; eh?,,,,,,,,,,,,,,,,,,
14921,,,,,,,,Makes sense to me.,Any comments about this? This makes sense to me. If there's no objection; I will commit the fix for this.,From: if (tempdir != null) { saveDir = tempdir.toString(); } To: if (tempdir != null) { saveDir = tempdir.toString(); setMultipartSaveDir(saveDir); } This should set it to only log the error once; and use the tempdir for subsequent requests.,,,,,,,,,,,,,,,,,,
17964,,,,,,,,Fixed.,r611033 committed a testcase.,r611032 Fixed NPE and changed WSDL520 error handling so that a null NS uri will not result in this error being reported.,Attached patch file with code fix and supporting test case.,Attaching WSDL,,,,,,,,,,,,,,,,
28865,,,,,,,,Fixed a prompt that asks user to enter either 's' or 'q'.,Missed another prompt message to update in UIMA_Service.,The log4j warning is actually described in UIMA-1649. It will be addressed there.,,,,,,,,,,,,,,,,,,
