id,love,joy,surprise,anger,sadness,fear,notes,comment N,comment N-1,comment N-2,...,comment 2,comment1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57081,,x,,,,,,Closing as fixed.,The output from the test is below. Looks like the assertion is unrelated to the SIGHUP problem. INFO (S1) (10 lines): TEXT: COMPILER: IBM VisualAge C++; _IBMCPP_ = 900 ENVIRONMENT: powerpc/LP64 running aix-5.3 FILE: 18.setjmp.cpp COMPILED: Nov 21 2007; 16:53:28 COMMENT: header <setjmp.h> ############################################################ CLAUSE: support.runtime ASSERTION (S7) (4 lines): TEXT: macro setjmp not #defined CLAUSE: support.runtime LINE: 66 ---------------------- -------- -------- ---------+ DIAGNOSTIC ACTIVE TOTAL INACTIVE ---------------------- -------- -------- ---------+ (S1) INFO 1 1 0% (S7) ASSERTION 1 4 75% ---------------------- -------- -------- ---------+,Looks like the SIGHUP has disappeared from nightly AIX/XLC++ builds after fixing STDCXX-654 even though 18.setjmp now fails 1 assertion. Travis; can you look into it (and maybe open a new issue; if necessary)?,Now that 4.2.0 is released; set Affects Version(s) accordingly.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20954,,,,,,x,,this setting is global for all modal windows and so tweaking it from the modalwindow class doesnt really make sense. a cleaner solution then overriding the method with an empty function is to use iheadercontributor and output a bit of js into the page 'Wicket.Window.unloadConfirmation = false;',Proposed solution: In modal.js instead of if (Wicket.Window.unloadConfirmation == true) use (this.settings.unloadConfirmation == true) In ModalWindow in getWindowOpenJavascript() method add appendAssignment(buffer; 'settings.unloadConfirmation '; getUnloadConfirmation()); getUnloadConfirmation() simple getter; true for default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78973,,,,,,x,,Point taken. Migration query is following in this case 'Update person set username='rave2011.myopenid.com'; openid='http://rave2011.myopenid.com/&#39; where username='http://rave2011.myopenid.com/&#39;'. We can add such migration steps in release also with some migration.txt or in change log file itself. Ideas?,The reason I asked was that there may be deployed instances of Apache Rave that use a different backend (MySQL; Oracle). Simply throwing these databases away may not be an option. As community we should start thinking about how to handle upgrades.,[~jashajoachimsthal] The column existed already but for openid URL was in username column for openid user and openid column was empty. Now we are validating openid URL with openid column. Now a user can have his openid url also to login along with his regular username.,[~raminder] is the DB change: 'ALTER TABLE person ADD COLUMN openid VARCHAR(255) default null' ?,Applied the patch. Thanks Viknes. There is a change in DB so remove the h2 database file.,Added more test cases,I am able to find a solution for this problem. If you use always-use-default-target='true' in security:openid-login then the behavior is right. Now the issue is if user dont take any action then we have a temporary authenticated user( its just in memory not in DB) in the context and if user try to type http://localhost:8080/portal/ the above exception will come. To solve this problem we can create our own openid failure handler and dont create/authenticate temporary user. here is a example i found http://stackoverflow.com/questions/12140519/spring-security-with-openid-for-google-not-working-in-production-environment,Working fine scenario: 1. Close all the open windows of a particular browser 2. Open a new one 3. Try loggin in as a new openid user and it works fine. It redirects the user to /openidregister openid user registration page. Not working scenario : 1. Close all the open windows of a particular browser 2. Open a new one 3. Login to rave as a different user/openiduser. 4. Logout the user 5. Now try loggin in as a new openid user The user instead of being redirected to /openidregister; is redirected to profile page. Since this is a new user; there would not be a home page for the particular user in the DB; we get a null pointer exception. So i would say even after logging out; something is retained in the browser cache by spring security (maybe or something else is the culprit). If anyone has a better idea of what the problem; pls share it.,This is the error stack. [INFO] [talledLocalContainer] WARN : org.openid4java.consumer.ConsumerManager - Could not create association of type: no-encryption:HMAC-SHA1:OpenID2 [INFO] [talledLocalContainer] WARN : org.openid4java.consumer.ConsumerManager - Could not create association of type: no-encryption:HMAC-SHA256:OpenID2 [INFO] [talledLocalContainer] WARN : org.springframework.security.web.authentication.session.SessionFixationProtectionStrategy - Your servlet container did not change the session ID when a new session was created. You will not be adequately protected against session-fixation attacks [WARNING] [talledLocalContainer] Sep 24; 2012 3:25:55 PM org.apache.catalina.core.StandardWrapperValve invoke [WARNING] [talledLocalContainer] SEVERE: Servlet.service() for servlet dispatcher threw exception [WARNING] [talledLocalContainer] java.lang.NullPointerException [WARNING] [talledLocalContainer] at org.apache.rave.portal.web.controller.PageController.getAllPagesForAuthenticatedUser(PageController.java:111) [WARNING] [talledLocalContainer] at org.apache.rave.portal.web.controller.PageController.viewDefault(PageController.java:69) [WARNING] [talledLocalContainer] at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) [WARNING] [talledLocalContainer] at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:39) [WARNING] [talledLocalContainer] at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25) [WARNING] [talledLocalContainer] at java.lang.reflect.Method.invoke(Method.java:597) [WARNING] [talledLocalContainer] at org.springframework.web.method.support.InvocableHandlerMethod.invoke(InvocableHandlerMethod.java:213) [WARNING] [talledLocalContainer] at org.springframework.web.method.support.InvocableHandlerMethod.invokeForRequest(InvocableHandlerMethod.java:126) [WARNING] [talledLocalContainer] at org.springframework.web.servlet.mvc.method.annotation.ServletInvocableHandlerMethod.invokeAndHandle(ServletInvocableHandlerMethod.java:96) [WARNING] [talledLocalContainer] at org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.invokeHandlerMethod(RequestMappingHandlerAdapter.java:617) [WARNING] [talledLocalContainer] at org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.handleInternal(RequestMappingHandlerAdapter.java:578) [WARNING] [talledLocalContainer] at org.springframework.web.servlet.mvc.method.AbstractHandlerMethodAdapter.handle(AbstractHandlerMethodAdapter.java:80) [WARNING] [talledLocalContainer] at org.springframework.web.servlet.DispatcherServlet.doDispatch(DispatcherServlet.java:923) [WARNING] [talledLocalContainer] at org.springframework.web.servlet.DispatcherServlet.doService(DispatcherServlet.java:852) [WARNING] [talledLocalContainer] at org.springframework.web.servlet.FrameworkServlet.processRequest(FrameworkServlet.java:882) [WARNING] [talledLocalContainer] at org.springframework.web.servlet.FrameworkServlet.doGet(FrameworkServlet.java:778) [WARNING] [talledLocalContainer] at javax.servlet.http.HttpServlet.service(HttpServlet.java:617) [WARNING] [talledLocalContainer] at javax.servlet.http.HttpServlet.service(HttpServlet.java:717) [WARNING] [talledLocalContainer] at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:290) [WARNING] [talledLocalContainer] at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:206) [WARNING] [talledLocalContainer] at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:322) [WARNING] [talledLocalContainer] at org.springframework.security.web.access.intercept.FilterSecurityInterceptor.invoke(FilterSecurityInterceptor.java:116) [WARNING] [talledLocalContainer] at org.springframework.security.web.access.intercept.FilterSecurityInterceptor.doFilter(FilterSecurityInterceptor.java:83) [WARNING] [talledLocalContainer] at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:334) [WARNING] [talledLocalContainer] at org.springframework.security.web.access.ExceptionTranslationFilter.doFilter(ExceptionTranslationFilter.java:113) [WARNING] [talledLocalContainer] at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:334) [WARNING] [talledLocalContainer] at org.springframework.security.web.session.SessionManagementFilter.doFilter(SessionManagementFilter.java:103) [WARNING] [talledLocalContainer] at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:334) [WARNING] [talledLocalContainer] at org.springframework.security.web.authentication.AnonymousAuthenticationFilter.doFilter(AnonymousAuthenticationFilter.java:113) [WARNING] [talledLocalContainer] at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:334) [WARNING] [talledLocalContainer] at org.springframework.security.web.authentication.rememberme.RememberMeAuthenticationFilter.doFilter(RememberMeAuthenticationFilter.java:146) [WARNING] [talledLocalContainer] at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:334) [WARNING] [talledLocalContainer] at org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter.doFilter(SecurityContextHolderAwareRequestFilter.java:54) [WARNING] [talledLocalContainer] at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:334) [WARNING] [talledLocalContainer] at org.springframework.security.web.savedrequest.RequestCacheAwareFilter.doFilter(RequestCacheAwareFilter.java:45) [WARNING] [talledLocalContainer] at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:334) [WARNING] [talledLocalContainer] at org.springframework.security.web.authentication.www.BasicAuthenticationFilter.doFilter(BasicAuthenticationFilter.java:150) [WARNING] [talledLocalContainer] at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:334) [WARNING] [talledLocalContainer] at org.springframework.security.web.authentication.AbstractAuthenticationProcessingFilter.doFilter(AbstractAuthenticationProcessingFilter.java:182) [WARNING] [talledLocalContainer] at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:334) [WARNING] [talledLocalContainer] at org.springframework.security.web.authentication.AbstractAuthenticationProcessingFilter.doFilter(AbstractAuthenticationProcessingFilter.java:182) [WARNING] [talledLocalContainer] at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:334) [WARNING] [talledLocalContainer] at org.springframework.security.web.authentication.logout.LogoutFilter.doFilter(LogoutFilter.java:105) [WARNING] [talledLocalContainer] at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:334) [WARNING] [talledLocalContainer] at org.springframework.security.web.context.SecurityContextPersistenceFilter.doFilter(SecurityContextPersistenceFilter.java:87) [WARNING] [talledLocalContainer] at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:334) [WARNING] [talledLocalContainer] at org.springframework.security.web.FilterChainProxy.doFilterInternal(FilterChainProxy.java:184) [WARNING] [talledLocalContainer] at org.springframework.security.web.FilterChainProxy.doFilter(FilterChainProxy.java:155) [WARNING] [talledLocalContainer] at org.springframework.web.filter.DelegatingFilterProxy.invokeDelegate(DelegatingFilterProxy.java:346) [WARNING] [talledLocalContainer] at org.springframework.web.filter.DelegatingFilterProxy.doFilter(DelegatingFilterProxy.java:259) [WARNING] [talledLocalContainer] at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:235) [WARNING] [talledLocalContainer] at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:206) [WARNING] [talledLocalContainer] at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:233) [WARNING] [talledLocalContainer] at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:191) [WARNING] [talledLocalContainer] at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:127) [WARNING] [talledLocalContainer] at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:102) [WARNING] [talledLocalContainer] at org.apache.catalina.valves.AccessLogValve.invoke(AccessLogValve.java:615) [WARNING] [talledLocalContainer] at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:109) [WARNING] [talledLocalContainer] at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:293) [WARNING] [talledLocalContainer] at org.apache.coyote.http11.Http11Processor.process(Http11Processor.java:859) [WARNING] [talledLocalContainer] at org.apache.coyote.http11.Http11Protocol$Http11ConnectionHandler.process(Http11Protocol.java:602) [WARNING] [talledLocalContainer] at org.apache.tomcat.util.net.JIoEndpoint$Worker.run(JIoEndpoint.java:489) [WARNING] [talledLocalContainer] at java.lang.Thread.run(Thread.java:680),Did code cleanup and added test cases,Google; yahoo openid login works fine. openid.com login works but does not send email;name parameters when redirecting to rave from openid.com.,Attached the progress so far. Need to add unit test cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61559,,,,x,,,,The other precedences are OK; as far as I can tell... not worth messing around in the code for no demonstrable benefit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12989,,x,,,,,,Already resolved with WW-3414,Yeah; it can be the same. Could you check with the latest snapshot ?,Issue seems similar to WW-3414. Will update if that same fix will work with me or i should change the code to not use ArrayList in action with some null values.,It looks a bit strange; did you try to ask on the User Mailing List ? XWorkConverter shouldn't be put in the Session.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8502,,,,,,x,,I tried using your testcase on Win95/IE4; using old versions of Xerces (back until 1.5.1); but I never got the crash you report. So; I am closing this bug; if you still see it; please reopen it. Alberto,Created an attachment (id=148) MFC VC6 project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11149,,,,,x,,,I wasn't able to reproduce the problem with the attachments. I saw appropriate error messages; line numbers; etc. However; line number information was missing for the testcase idkeyerr10; so I've committed a patch which remedies this.,Doesn't look like it to me.,Is this the same bug as #5972? That involves a different function; but it's a situation where a function refers to an object that was declared in a top-level XSLT element.,See idkeyerr10 for a test case. We put out a suitable message; just not the line number. This is probably a generic expression-evaluation issue. In the attachment; the first argument to key is always a variable; so the name of the key being searched for is set dynamically. Somehow; the value 'N400561' (which likely came from generate-id) got into that variable.,Created an attachment (id=1084) this is the xsl. run it against the XMLSchema.xsd (schema for schema) from w3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18707,,x,,,,,,Ah; I can close it myself...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34779,,,,x,,,,fix works~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52597,,x,,,,,,thanks Malith for your contribution...patch committed under rev. 1326522,Attaching a patch .Please review & commit. Thanks; Malith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45983,,x,,,,,,No longer required; solved with THRIFT-1366. There will be no D7 support.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46218,,,,,,,,was introduced with THRIFT-1267,JavaScript testsuite with jslint; gjslint; QUnit and phantomjs might be a look worth to achieve this.,I can take this on since I wrote the original code.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74046,,x,,,,,,Looks good; the other services had the type hinting too; so this was indeed an erroneous situation. Applied & Committed; thanks!,attached a patch for fixing this issue. I do not have a working version of the samplecontainer available; so it would be great if someone could check if it still works with the samplecontainer before commiting.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36052,,,,x,,,,Moving these all to a 'Doc 3.x' release version.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48885,,,,,x,,,I'm working with Liferay 5.1.2 / Tapestry 4.0.2 and that patch did not work for me. The IllegalStateException I obtain is thrown by service method of AbstractEngine: Error producing exception report: java.lang.IllegalStateException ERROR [STDERR] Session id : ERROR [STDERR] ERROR [STDERR] java.lang.IllegalStateException ERROR [STDERR] com.liferay.portlet.StateAwareResponseImpl.setRenderParameter(StateAwareResponseImpl.java:154) ... ERROR [[RP]] Servlet.service() for servlet RP threw exception [exec] java.lang.IllegalStateException Code: @InjectObject('service:tapestry.portlet.ActionResponse') public abstract javax.portlet.ActionResponse getActionResponse(); getActionResponse().sendRedirect(Portal-Login-Url); The Exception is thrown; but the redirect still works and every action done before seems to be rolled back (redirect to Portal-Login works; but Portlet-Login not) So i modified the service method of AbstractEngine to catch IllegalStateException: public void service(WebRequest request; WebResponse response) throws IOException { ... catch (PageRedirectException ex) { åÊåÊåÊåÊhandlePageRedirectException(cycle; ex); } catch (RedirectException ex) { åÊåÊåÊåÊhandleRedirectException(cycle; ex); } catch (StaleLinkException ex) { åÊåÊåÊåÊhandleStaleLinkException(cycle; ex); } catch (StaleSessionException ex) { åÊåÊåÊåÊhandleStaleSessionException(cycle; ex); } //New catch(IllegalStateException ex) { åÊåÊåÊåÊåÊhandleIllegalStateException(cycle; ex); } ... I know; thats not the ideal solution; but it works with Liferay.,Thomas; Please find attached a patch for this particular issue. It is a precise patch to allow for easy review. I have patched the Tapestry 4 I am using a bit more than just this. I am interested in your experience with T4 and portlets; in particular with respect to TAPESTRY-2548. Regards; Pieter Schoenmakers,Actually I'm facing the same Problem: trying to redirect to the Loginpage of my Portal; but I get the IllegalStateException. (getActionResponse().sendRedirect(myurl);) Could you please post your solution for me Pieter? Thanks in advance!,I've extended WebResponse to implement sendRedirect for a ServletResponse and ActionResponse; throwing for a RenderResponse. AbstractEngine.handleRedirect is fixed to invoke sendRedirect on the reponse. Works like a charm. Add a comment to this bug if you're interested in a patch.,Interestingly; redirection from within a portlet works (more or less) by doing a getActionResponse().sendRedirect('foo'). Any attempt by Tapestry to set render parameters in order to influence the next service invoked will fail. That includes the exception page triggered by the attempt to set render parameters. The only downside is the amount of litter in the log. The real solution is for AbstractEngine.handleRedirectException to be overridden for the situation in which we're handling an ActionRequest. In that case the sendRedirect of the ActionReponse should be invoked instead of the forward of the WebRequest (which does the wrong thing for absolute URLs anyway). I am becoming disappointed in Tapestry-4 and the way it is maintained. A bug like this should not remain open for 2 years (minus 3 days). I know moaning does not speed up the bug being fixed but at least the moaning may be noticed. I'll probably fix the bug myself anyway. Add a comment to this bug if you're interested in a patch.,I'm sorry; I forgot to say about environment. I've tried run portlet in pluto 1.0.1 and jetspeed-2.1-dev. But result is still the same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63070,,x,,,,,,Bulk close for Solr 1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5721,,,x,,,,,All of the components in the configuration get reset before parsing begins. This gives each component an opportunity to read features and properties from the configuration; and also to set its internals to the state it needs to be in before it is used by the configuration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
